;x
de destituição do poder familiar;22
da criança e do adolescente;22
ação de destituição do poder;19
estatuto da criança e do;14
caso dos autos em que;14
à convivência familiar e comunitária;13
do melhor interesse da criança;12
é dever da família da;12
dever da família da sociedade;12
da família da sociedade e;12
família da sociedade e do;12
da sociedade e do estado;12
sociedade e do estado assegurar;12
e do estado assegurar à;12
do estado assegurar à criança;12
o direito à vida à;12
direito à vida à saúde;12
à vida à saúde à;12
vida à saúde à alimentação;12
à saúde à alimentação à;12
saúde à alimentação à educação;12
à alimentação à educação ao;12
alimentação à educação ao lazer;12
à educação ao lazer à;12
educação ao lazer à profissionalização;12
ao lazer à profissionalização à;12
lazer à profissionalização à cultura;12
à profissionalização à cultura à;12
profissionalização à cultura à dignidade;12
à cultura à dignidade ao;12
cultura à dignidade ao respeito;12
à dignidade ao respeito à;12
dignidade ao respeito à liberdade;12
ao respeito à liberdade e;12
respeito à liberdade e à;12
à liberdade e à convivência;12
liberdade e à convivência familiar;12
e à convivência familiar e;12
convivência familiar e comunitária além;12
familiar e comunitária além de;12
e comunitária além de colocá;12
comunitária além de colocá los;12
além de colocá los a;12
de colocá los a salvo;12
colocá los a salvo de;12
los a salvo de toda;12
a salvo de toda forma;12
salvo de toda forma de;12
de toda forma de negligência;12
toda forma de negligência discriminação;12
forma de negligência discriminação exploração;12
de negligência discriminação exploração violência;12
negligência discriminação exploração violência crueldade;12
discriminação exploração violência crueldade e;12
exploração violência crueldade e opressão;12
eca destituição do poder familiar;11
com absoluta prioridade o direito;11
absoluta prioridade o direito à;11
prioridade o direito à vida;11
agravo de instrumento eca ação;10
de instrumento eca ação de;10
estado assegurar à criança ao;10
assegurar à criança ao adolescente;10
à criança ao adolescente e;10
criança ao adolescente e ao;10
ao adolescente e ao jovem;10
adolescente e ao jovem com;10
e ao jovem com absoluta;10
ao jovem com absoluta prioridade;10
jovem com absoluta prioridade o;10
o art da constituição federal;9
princípio do melhor interesse da;8
art da constituição federal prevê;8
da constituição federal prevê que;8
constituição federal prevê que é;8
federal prevê que é dever;8
prevê que é dever da;8
que é dever da família;8
instrumento eca ação de destituição;7
agravo de instrumento ação de;7
de reforma da decisão que;7
no artigo da constituição federal;7
eca ação de destituição do;6
medida de proteção acolhimento institucional;6
dos autos em que a;6
manutenção da decisão da origem;6
direito da criança e do;5
prevalência do princípio do melhor;5
do princípio do melhor interesse;5
a suspensão do poder familiar;5
suspensão do poder familiar e;5
agravo de instrumento eca acolhimento;5
de instrumento eca acolhimento institucional;5
direito da criança previsto no;5
da criança previsto no artigo;5
criança previsto no artigo da;5
previsto no artigo da constituição;5
agravo de instrumento eca destituição;5
de instrumento eca destituição do;5
instrumento eca destituição do poder;5
situação de fato em que;5
criança e do adolescente medida;4
pedido de reforma da decisão;4
medida de proteção de acolhimento;4
de proteção de acolhimento institucional;4
agravo de instrumento possibilidade de;4
de instrumento possibilidade de julgamento;4
violência crueldade e opressão contexto;4
crueldade e opressão contexto em;4
e opressão contexto em que;4
agravo de instrumento medida de;4
de instrumento medida de proteção;4
da decisão da origem o;4
decisão da origem o art;4
da origem o art da;4
origem o art da constituição;4
aplicação de medida de proteção;4
condições de exercer o poder;4
prevalência do interesse do menor;4
verificada situação de risco desde;4
convivência com a mãe biológica;4
assumir os cuidados com os;3
agravo de instrumento estatuto da;3
de instrumento estatuto da criança;3
instrumento estatuto da criança e;3
e do adolescente medida de;3
do adolescente medida de proteção;3
do adolescente agravo de instrumento;3
de instrumento ação de destituição;3
instrumento ação de destituição do;3
menor em situação de risco;3
agravo de instrumento eca medida;3
de instrumento eca medida de;3
instrumento eca medida de proteção;3
deve ser mantida a decisão;3
criança e do adolescente ser;3
e do adolescente ser criado;3
do adolescente ser criado e;3
adolescente ser criado e educado;3
no seio de sua família;3
aplicação de medidas de proteção;3
reforma da decisão que determinou;3
à criança e ao adolescente;3
agravo interno em agravo de;3
interno em agravo de instrumento;3
a julgamento pelo órgão colegiado;3
qualquer prejuízo que se possa;3
prejuízo que se possa cogitar;3
da destituição do poder familiar;3
apelação cível estatuto da criança;3
cível estatuto da criança e;3
em agravo de instrumento possibilidade;3
instrumento possibilidade de julgamento monocrático;3
possibilidade de julgamento monocrático quando;3
de julgamento monocrático quando em;3
julgamento monocrático quando em conformidade;3
monocrático quando em conformidade com;3
quando em conformidade com o;3
em conformidade com o entendimento;3
conformidade com o entendimento da;3
com o entendimento da câmara;3
decisão mantida caso dos autos;3
mantida caso dos autos em;3
apelação cível eca destituição do;3
cível eca destituição do poder;3
a destituição do poder familiar;3
destituição do poder familiar da;3
medida protetiva de acolhimento institucional;3
ação de destituição de poder;3
de destituição de poder familiar;3
da criança em família substituta;3
reforma da decisão que deferiu;3
em razão da negligência familiar;3
da constituição federal é dever;3
constituição federal é dever da;3
federal é dever da família;3
instrumento medida de proteção acolhimento;3
ditames do eca priorizam a;3
do eca priorizam a proteção;3
eca priorizam a proteção à;3
priorizam a proteção à infância;3
em família substituta respeitada a;3
família substituta respeitada a habilitação;3
substituta respeitada a habilitação pelo;3
respeitada a habilitação pelo cna;3
a habilitação pelo cna direito;3
habilitação pelo cna direito da;3
pelo cna direito da criança;3
cna direito da criança previsto;3
artigo da constituição federal que;3
da constituição federal que assegura;3
constituição federal que assegura a;3
federal que assegura a convivência;3
que assegura a convivência familiar;3
assegura a convivência familiar agravo;3
a convivência familiar agravo desprovido;3
melhor interesse da criança que;3
de afinidade e afetividade entre;3
inserção imediata no rol de;3
imediata no rol de crianças;3
no rol de crianças aptas;3
rol de crianças aptas para;3
de crianças aptas para adoção;3
crianças aptas para adoção possibilidade;3
ação de aplicação de medida;3
destituição do poder familiar pedido;3
nos termos do artigo do;3
ação de acolhimento institucional pleito;3
de acolhimento institucional pleito de;3
acolhimento institucional e suspensão do;3
institucional e suspensão do poder;3
e suspensão do poder familiar;3
suspensão do poder familiar determinado;3
do poder familiar determinado pelo;3
poder familiar determinado pelo juízo;3
de colocação em família substituta;3
o direito de convivência familiar;3
direito de convivência familiar visto;3
de convivência familiar visto ser;3
convivência familiar visto ser um;3
familiar visto ser um princípio;3
visto ser um princípio norteador;3
ser um princípio norteador da;3
um princípio norteador da proteção;3
princípio norteador da proteção integral;3
previsto no eca em seu;3
com o objetivo de assegurar;3
o objetivo de assegurar o;3
objetivo de assegurar o seu;3
de assegurar o seu bem;3
assegurar o seu bem estar;3
sua colocação em família substituta;3
da doutrina da proteção integral;3
de convivência e de vínculos;3
situação de risco desde o;3
de risco desde o nascimento;3
apelação cível processual civil citação;3
cível processual civil citação por;3
processual civil citação por edital;3
é válida a citação realizada;3
válida a citação realizada por;3
a citação realizada por edital;3
citação realizada por edital tendo;3
realizada por edital tendo sido;3
por edital tendo sido envidados;3
edital tendo sido envidados todos;3
tendo sido envidados todos os;3
sido envidados todos os esforços;3
envidados todos os esforços possíveis;3
todos os esforços possíveis para;3
os esforços possíveis para localização;3
esforços possíveis para localização da;3
possíveis para localização da demandada;3
para localização da demandada não;3
localização da demandada não há;3
da demandada não há cogitar;3
demandada não há cogitar cerceamento;3
não há cogitar cerceamento de;3
nomeada curadora especial atuante no;3
curadora especial atuante no feito;3
destituição do poder familiar prevalência;3
do poder familiar prevalência do;3
poder familiar prevalência do interesse;3
impossibilidade de manter a guarda;3
de manter a guarda com;3
manter a guarda com a;3
a guarda com a família;3
guarda com a família extensa;3
medida protetiva de inserção em;3
protetiva de inserção em família;3
de inserção em família substituta;3
inserção em família substituta consolidada;3
em família substituta consolidada sentença;3
família substituta consolidada sentença confirmada;3
substituta consolidada sentença confirmada em;3
consolidada sentença confirmada em cotejo;3
sentença confirmada em cotejo com;3
confirmada em cotejo com o;3
em cotejo com o princípio;3
cotejo com o princípio da;3
com o princípio da prevalência;3
o princípio da prevalência da;3
princípio da prevalência da família;3
da prevalência da família natural;3
prevalência da família natural não;3
da família natural não há;3
família natural não há olvidar;3
natural não há olvidar a;3
não há olvidar a prevalência;3
há olvidar a prevalência do;3
olvidar a prevalência do princípio;3
a prevalência do princípio maior;3
prevalência do princípio maior que;3
do princípio maior que norteia;3
princípio maior que norteia as;3
maior que norteia as normas;3
que norteia as normas atinentes;3
norteia as normas atinentes ao;3
as normas atinentes ao direito;3
normas atinentes ao direito posto;3
atinentes ao direito posto em;3
ao direito posto em liça;3
direito posto em liça qual;3
posto em liça qual seja;3
em liça qual seja o;3
liça qual seja o bem;3
qual seja o bem estar;3
seja o bem estar dos;3
o bem estar dos menores;3
bem estar dos menores situação;3
estar dos menores situação de;3
dos menores situação de fato;3
menores situação de fato em;3
por meio de medida protetiva;3
meio de medida protetiva em;3
de medida protetiva em decorrência;3
e da inviabilidade de manutenção;3
da inviabilidade de manutenção da;3
inviabilidade de manutenção da guarda;3
com a mãe biológica ou;3
a mãe biológica ou qualquer;3
mãe biológica ou qualquer integrante;3
biológica ou qualquer integrante da;3
ou qualquer integrante da sua;3
qualquer integrante da sua família;3
integrante da sua família extensa;3
menor verificada situação de risco;3
manteve convivência com a mãe;3
ao passo que não manteve;3
passo que não manteve convivência;3
que não manteve convivência com;3
lf de art lf de;3
de art lf de art;3
processo de destituição do poder;3
adolescente medida de proteção acolhimento;2
acolhimento institucional melhor interesse da;2
institucional melhor interesse da criança;2
agravo de instrumento medida protetiva;2
destituição do poder familiar determinação;2
do poder familiar determinação de;2
adolescente agravo de instrumento desprovido;2
eca medida de proteção de;2
acolhimento institucional pretensão do genitor;2
inexistem elementos suficientes a autorizar;2
elementos suficientes a autorizar a;2
suficientes a autorizar a reforma;2
a autorizar a reforma da;2
autorizar a reforma da decisão;2
melhor interesse da criança juízo;2
interesse da criança juízo a;2
da criança juízo a quo;2
criança juízo a quo observou;2
juízo a quo observou devidamente;2
a quo observou devidamente o;2
quo observou devidamente o caso;2
observou devidamente o caso concreto;2
devidamente o caso concreto motivo;2
o caso concreto motivo pelo;2
caso concreto motivo pelo qual;2
concreto motivo pelo qual deve;2
motivo pelo qual deve ser;2
pelo qual deve ser mantida;2
qual deve ser mantida a;2
ser mantida a decisão que;2
mantida a decisão que determinou;2
a decisão que determinou a;2
decisão que determinou a suspensão;2
que determinou a suspensão do;2
determinou a suspensão do poder;2
do poder familiar e da;2
poder familiar e da convivência;2
medidas protetivas mantidas precedentes decisão;2
protetivas mantidas precedentes decisão agravada;2
mantidas precedentes decisão agravada mantida;2
precedentes decisão agravada mantida recurso;2
decisão agravada mantida recurso desprovido;2
da proteção integral e prioritária;2
ser criado e educado no;2
criado e educado no seio;2
da aplicação de medidas de;2
que determinou o acolhimento institucional;2
condições de exercer os cuidados;2
pelo colegiado agravo interno desprovido;2
possibilidade de julgamento na forma;2
de julgamento na forma monocrática;2
julgamento na forma monocrática ausente;2
na forma monocrática ausente prejuízo;2
forma monocrática ausente prejuízo tratando;2
