"";"";"";"";"curador";""
"1";"curador";"1.73386842632852";"2.07172642398956";"1.2000856057991";"99"
"2";"reintegração";"-3.13596964461707";"1.25887119623009";"1.19042595788747";"103"
"3";"preservação";"-3.13596964461707";"1.25887119623009";"1.19042595788747";"105"
"4";"habilitação";"-3.13596964461707";"1.25887119623009";"1.19042595788747";"106"
"5";"indeferimento";"0.113347951459724";"-1.50979035032122";"1.11779634104246";"123"
"6";"cabimento";"0.166493359671552";"-0.873596317121766";"1.10215257162582";"130"
"7";"autorizar";"0.150549737208003";"-1.0644545270816";"1.09464963755609";"142"
"8";"especial";"0.861263757957357";"1.31011939409147";"1.02332619951674";"170"
"9";"retorno";"0.175350927706856";"-0.767563978255191";"1.00874559889541";"172"
"10";"desprover";"0.279332867622516";"0.45958185524223";"1.00306523990335";"174"
"11";"aproximação";"0.20887941826378";"-1.74400965212532";"0.994104245771488";"176"
"12";"vista";"0.20887941826378";"-1.74400965212532";"0.994104245771488";"177"
"13";"programa";"0.20887941826378";"-1.74400965212532";"0.994104245771488";"180"
"14";"convivência";"-0.288361812482968";"-0.00908528358333366";"0.991765274421816";"182"
"15";"psicológico";"0.399942351871891";"-2.21244825573351";"0.981467725233";"186"
"16";"contar";"0.44644458405724";"-1.65577847668399";"0.981467725233";"187"
"17";"técnica";"-0.0147275297907516";"-1.47523983624706";"0.96266482568174";"200"
"18";"realizar";"0.897070024420872";"1.28140445675716";"0.949542285122541";"205"
"19";"nulidade";"0.897070024420872";"1.28140445675716";"0.949542285122541";"206"
"20";"comarca";"0.364729193026062";"-0.337630008594627";"0.949542285122541";"209"
"21";"psíquico";"0.237353903953988";"-0.0253376061891633";"0.949542285122541";"210"
"22";"habilitado";"0.897070024420872";"1.28140445675716";"0.949542285122541";"214"
"23";"especialmente";"0.364729193026062";"-0.337630008594627";"0.949542285122541";"215"
"24";"drástico";"0.237353903953988";"-0.0253376061891633";"0.949542285122541";"216"
"25";"autorização";"0.237353903953988";"-0.0253376061891633";"0.949542285122541";"217"
"26";"ajuizado";"0.237353903953988";"-0.0253376061891633";"0.949542285122541";"218"
"27";"afinidade";"1.43278019239349";"1.10369377557142";"0.943436658612358";"230"
"28";"afetividade";"1.43278019239349";"1.10369377557142";"0.943436658612358";"231"
"29";"exercer";"0.370709695364113";"-0.363045014188758";"0.940186399723852";"232"
"30";"menina";"0.358278293974908";"-1.72705173784514";"0.937148774594408";"234"
"31";"momento";"0.284799191220353";"-1.66187332158797";"0.936814635830169";"235"
"32";"presente";"0.599898120599901";"0.10077403804825";"0.931954435623058";"244"
"33";"institucionalmente";"0.723463086724871";"0.294561055775558";"0.93052675181222";"245"
"34";"genitora";"0.114970658125244";"-0.855893572403829";"0.926122195374525";"246"
"35";"ausência";"0.266198298346213";"-1.88454123320777";"0.923114946496376";"248"
"36";"filial";"0.266198298346213";"-1.88454123320777";"0.923114946496376";"251"
"37";"deferir";"0.226974910651248";"-1.25182996852488";"0.923114946496376";"252"
"38";"demonstrar";"0.0683829872061347";"-1.38665523219436";"0.919348291335865";"253"
"39";"discriminação";"-0.307240047425901";"-1.51818436534079";"0.913242664825682";"255"
"40";"acolhido";"0.249736075702316";"-0.300760760694615";"0.907380048325854";"259"
"41";"questão";"0.240723240531799";"-1.82208275272668";"0.900454263030722";"261"
"42";"efeito";"0.240723240531799";"-1.82208275272668";"0.900454263030722";"262"
"43";"recomendado";"0.773064071926608";"-0.2030482873749";"0.900454263030722";"263"
"44";"promover";"0.175350927706856";"-0.767563978255191";"0.900454263030722";"265"
"45";"inclusão";"0.175350927706856";"-0.767563978255191";"0.900454263030722";"267"
"46";"estágio";"0.240723240531799";"-1.82208275272668";"0.900454263030722";"268"
"47";"pessoa";"0.430101505851005";"-1.39214878306612";"0.893072833966172";"280"
"48";"nascer";"0.430101505851005";"-1.39214878306612";"0.893072833966172";"282"
"49";"desejo";"0.368098529603873";"-2.13437515513215";"0.893072833966172";"283"
"50";"busca";"0.368098529603873";"-2.13437515513215";"0.893072833966172";"284"
"51";"alto";"0.368098529603873";"-2.13437515513215";"0.893072833966172";"285"
"52";"reunir";"-0.16194334502887";"-0.427655424505108";"0.892738695201933";"286"
"53";"produzir";"0.206352415830422";"-0.396450792222177";"0.885509147393856";"294"
"54";"procedimento";"0.301883882634478";"-0.630670094026275";"0.885509147393856";"295"
