"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Coord. facteur 4";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"Corr. facteur 4";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"COR -facteur 4";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"CTR -facteur 4";"mass";"chi.distance";"inertie"
"criança";-0,485822243919024;0,131799467655297;-0,184364764124741;0,0444068722484962;-0,903151551849241;0,245017380813107;-0,342737132582452;0,082553106791638;0,851266247275075;0,053356906606742;0,0912902415263825;0,00408660459177994;0,00574688554106464;0,000422965620606708;0,000827624999310967;4,80151319504266e-05;0,0243488108720272;0,316752099354103;0,00244296227358152
"acolhimento_institucional";-0,253717712731387;-0,321663644379795;-1,03505405880244;-0,341218874081679;-0,21791334223325;-0,276270817149998;-0,888988344241164;-0,293066433887201;0,0632861025138257;0,0866290276196817;0,784315377175222;0,0657694926912671;0,00114821027703277;0,00184554147997978;0,019109350224387;0,00207675825647305;0,017836919592299;0,606696410865855;0,00656542290552752
"poder_familiar";0,504975499013549;0,236673822820582;-0,633959598743292;0,238206172632725;0,575599446100636;0,269774120899264;-0,722622770014886;0,271520779311057;0,401835039541004;0,0751727346708633;0,471615687579177;0,0513765382089678;0,00462061616496458;0,00101498524862529;0,00728253269016997;0,00102817088435482;0,0181200453001133;0,479204864886816;0,00416103832446101
"convivência";-0,288361812482968;-0,00908528358333366;-0,151797962342133;-0,752866240034947;-0,351481686894962;-0,0110739725634712;-0,185025206395462;-0,91766206411045;0,195166768397121;0,000164990926552486;0,0402735720311711;0,764394668645144;0,00129484411648228;1,28534280249931e-06;0,000358817716709313;0,00882627877863525;0,0155719139297848;0,392653636910572;0,00240082908319662
"agravo_de_instrumento";-0,292783200014393;-0,458261164242896;-1,15090578838399;-0,472116292807657;-0,215655005268133;-0,337540930572944;-0,847721432940393;-0,34774618764875;0,0621623034555019;0,129692125894809;0,715273656907161;0,092871913742528;0,00128631543521104;0,00315123856642766;0,0198762624824452;0,00334466904828018;0,0150056625141563;0,706410940867575;0,0074880719481888
"infante";0,0549297695527379;0,0119964177835541;-0,203045079197933;0,178222881300039;0,199052402880648;0,0434721610015849;-0,735787010150043;0,645837276579599;0,0579234473179297;0,00235285259152052;0,589361379967299;0,350362320123252;4,69848179703933e-05;2,24101703852393e-06;0,000641988032349155;0,000494616859580643;0,0155719139297848;0,137295211317902;0,000293530189070075
"decisão";-0,439910005312293;-0,375537114613542;-1,19569168451787;-0,480643508355346;-0,311433728603495;-0,265861022529066;-0,84648840688504;-0,340270960261306;0,128075679525016;0,079487241897766;0,704588087720647;0,087848990856571;0,0021368379666423;0,00155721881473339;0,015786371906167;0,0025508802669426;0,0110419026047565;0,739444049899823;0,0060374639338499
"familiar";-1,05513019739726;-0,284497634129409;0,184415558581682;-0,26104217735664;-0,926697710590055;-0,249868032273508;0,161968140383426;-0,229267619029923;0,892990899979301;0,0552897918132959;0,0203136485330752;0,0314056596743249;0,0132385585518976;0,000962467146279646;0,000404411700558818;0,000810307692831827;0,0118912797281993;0,671672162454368;0,00536467348252473
"menor";1,00023586586391;0,367553817213216;0,305659012513994;-0,45693373583565;0,834172139023052;0,306530853746201;0,254912107216082;-0,381071510052887;0,766608910595297;0,0881583797361549;0,0533090959011354;0,0919236137674102;0,011613630600731;0,0015682129531337;0,00108452001958444;0,00242364835694611;0,0116081540203851;0,687211320489823;0,00548205984127521
"eca";-0,52747028710274;0,764363707375984;-0,186847726161475;-0,367543451367971;-0,519108091725762;0,752245946780866;-0,183885555153723;-0,361716639460234;0,316376732910961;0,5657979383866;0,029562561350869;0,08826276735157;0,00401740376347356;0,00843625303930677;0,000504109771052489;0,00195059389037868;0,0144394110985277;0,564118763511168;0,00459505349564378
"direito";-1,1176995504182;0,712982127079831;0,33163954501657;-0,389486599078883;-0,786550771929889;0,501741852018305;0,233382343258221;-0,274090640053686;0,674819277703372;0,233855356901176;0,0442412957931365;0,0470840696023134;0,0141478174972259;0,00575700468329876;0,00124558083599997;0,00171800465302417;0,0113250283125708;0,818476377003277;0,00758667700693557
"ação";0,0728910907711834;0,145670586825953;-1,083459054713;0,160126650693758;0,0658292794099729;0,131557775587184;-0,97849172083132;0,144613311695286;0,00582411222406729;0,0198096719656152;0,958216692734616;0,0161495230757025;7,07010822053245e-05;0,000282371527098592;0,0156207603602097;0,00034119637042266;0,0133069082672707;0,574558686848981;0,00439284574682345
"destituição";0,836770622394273;0,483377851525725;-0,798189496326953;0,347646811932826;0,64332643995275;0,37163081978699;-0,613664477859437;0,267278008926427;0,485214195090246;0,137894470399317;0,328768768535144;0,0481225659752923;0,00872257737205332;0,00291075381744268;0,00793677371745575;0,00150559610907999;0,0124575311438279;0,722627506693795;0,00650520458407181
"desprover";0,279332867622516;0,45958185524223;0,452116368408985;-0,240957906480852;0,376067431605622;0,618737670881809;0,608686843412204;-0,324403002720678;0,175941834590874;0,405605179840532;0,343228534981438;0,075224450587156;0,000706925036776607;0,0019136170479537;0,00185195207776515;0,000526031372100883;0,00906002265005663;0,400601245406568;0,00145396473677276
