"V1";"V2";"V3";"V4";"V5";"V6"
"***";"nb classes";"5";"***";"";""
"**";"classe";"1";"**";"";""
"****";"40";"211";"18.96";"****";""
"1";"56";" 1.79";"-33.25";"do poder_familiar";"8.122677e-09"
"0";"42";" 0.00";"-27.29";"destituição do";"1.747820e-07"
"0";"39";" 0.00";"-25.33";"destituição do poder_familiar";"4.834922e-07"
"2";"42";" 4.76";"-21.06";"em que";"4.444310e-06"
"2";"36";" 5.56";"-17.21";"ação de";"3.346815e-05"
"0";"26";" 0.00";"-16.84";"de destituição";"4.064695e-05"
"1";"27";" 3.70";"-14.34";"com a";"1.524445e-04"
"0";"22";" 0.00";"-14.24";"ação de destituição";"1.610499e-04"
"0";"22";" 0.00";"-14.24";"de destituição do";"1.610499e-04"
"0";"21";" 0.00";"-13.59";"de destituição do poder_familiar";"2.275832e-04"
"0";"20";" 0.00";"-12.94";"a guarda";"3.218532e-04"
"0";"19";" 0.00";"-12.29";"ação de destituição do";"4.555650e-04"
"0";"19";" 0.00";"-12.29";"ação de destituição do poder_familiar";"4.555650e-04"
"0";"16";" 0.00";"-10.34";"os cuidados";"1.299979e-03"
"0";"15";" 0.00";" -9.69";"pedido de";"1.848534e-03"
"0";"14";" 0.00";" -9.05";"situação de";"2.632626e-03"
"0";"13";" 0.00";" -8.40";"condições de";"3.755933e-03"
"0";"11";" 0.00";" -7.10";"desde o";"7.694318e-03"
"0";"11";" 0.00";" -7.10";"eca destituição";"7.694318e-03"
"0";"11";" 0.00";" -7.10";"eca destituição do";"7.694318e-03"
"0";"11";" 0.00";" -7.10";"decisão agravada";"7.694318e-03"
"0";"10";" 0.00";" -6.46";"de idade";"1.105652e-02"
"0";"10";" 0.00";" -6.46";"avó materna";"1.105652e-02"
"0";"10";" 0.00";" -6.46";"o poder_familiar";"1.105652e-02"
"0";"10";" 0.00";" -6.46";"eca destituição do poder_familiar";"1.105652e-02"
"0";"10";" 0.00";" -6.46";"reforma da";"1.105652e-02"
"0";"10";" 0.00";" -6.46";"reforma da decisão";"1.105652e-02"
"1";"14";" 7.14";" -6.05";"decisão que";"1.391689e-02"
"1";"14";" 7.14";" -6.05";"prevalência do";"1.391689e-02"
"1";"14";" 7.14";" -6.05";"dos autos";"1.391689e-02"
"1";"14";" 7.14";" -6.05";"autos em";"1.391689e-02"
"1";"14";" 7.14";" -6.05";"autos em que";"1.391689e-02"
"0";" 9";" 0.00";" -5.81";"a criança";"1.594065e-02"
"0";" 9";" 0.00";" -5.81";"do menor";"1.594065e-02"
"0";" 9";" 0.00";" -5.81";"dos genitores";"1.594065e-02"
"0";" 9";" 0.00";" -5.81";"eca ação de destituição";"1.594065e-02"
"0";" 8";" 0.00";" -5.16";"pelo juízo";"2.307475e-02"
"0";" 8";" 0.00";" -5.16";"a situação";"2.307475e-02"
"0";" 8";" 0.00";" -5.16";"anos de";"2.307475e-02"
"0";" 8";" 0.00";" -5.16";"da genitora";"2.307475e-02"
"0";" 8";" 0.00";" -5.16";"em decorrência";"2.307475e-02"
"0";" 8";" 0.00";" -5.16";"do genitor";"2.307475e-02"
"0";" 8";" 0.00";" -5.16";"caso concreto";"2.307475e-02"
"0";" 8";" 0.00";" -5.16";"mãe biológica";"2.307475e-02"
"0";" 8";" 0.00";" -5.16";"que determinou";"2.307475e-02"
"8";"37";"21.62";" -4.83";"que a";"2.804462e-02"
"1";"12";" 8.33";" -4.80";"dos autos em";"2.838541e-02"
"1";"12";" 8.33";" -4.80";"dos autos em que";"2.838541e-02"
"0";" 7";" 0.00";" -4.52";"o que";"3.356762e-02"
"0";" 7";" 0.00";" -4.52";"cuidados da";"3.356762e-02"
"0";" 7";" 0.00";" -4.52";"tentativas de";"3.356762e-02"
"0";" 7";" 0.00";" -4.52";"anos de idade";"3.356762e-02"
"0";" 7";" 0.00";" -4.52";"poder_familiar e";"3.356762e-02"
"0";" 7";" 0.00";" -4.52";"do interesse";"3.356762e-02"
"0";" 7";" 0.00";" -4.52";"da família_extensa";"3.356762e-02"
"0";" 7";" 0.00";" -4.52";"agravo_de_instrumento eca ação de destituição";"3.356762e-02"
"0";" 7";" 0.00";" -4.52";"agravo_de_instrumento ação de";"3.356762e-02"
"0";" 7";" 0.00";" -4.52";"de medida_de_proteção";"3.356762e-02"
"0";" 7";" 0.00";" -4.52";"de reforma";"3.356762e-02"
"0";" 7";" 0.00";" -4.52";"de reforma da";"3.356762e-02"
"0";" 7";" 0.00";" -4.52";"da decisão que";"3.356762e-02"
"0";" 7";" 0.00";" -4.52";"de reforma da decisão";"3.356762e-02"
"0";" 7";" 0.00";" -4.52";"reforma da decisão que";"3.356762e-02"
"0";" 7";" 0.00";" -4.52";"de reforma da decisão que";"3.356762e-02"
"0";" 7";" 0.00";" -4.52";"de desacolhimento";"3.356762e-02"
"2";"15";"13.33";" -4.22";"com os";"3.996683e-02"
"1";"11";" 9.09";" -4.19";"da convivência";"4.067179e-02"
"1";"11";" 9.09";" -4.19";"suspensão do";"4.067179e-02"
"1";"11";" 9.09";" -4.19";"suspensão do poder_familiar";"4.067179e-02"
"1";"11";" 9.09";" -4.19";"caso dos";"4.067179e-02"
"1";"11";" 9.09";" -4.19";"caso dos autos";"4.067179e-02"
"1";"11";" 9.09";" -4.19";"em que a";"4.067179e-02"
"1";"11";" 9.09";" -4.19";"caso dos autos em";"4.067179e-02"
"1";"11";" 9.09";" -4.19";"caso dos autos em que";"4.067179e-02"
"1";"11";" 9.09";" -4.19";"do infante";"4.067179e-02"
"4";"22";"18.18";" -4.09";"agravo_de_instrumento eca";"4.312461e-02"
"0";" 6";" 0.00";" -3.87";"e o";"4.913958e-02"
"0";" 6";" 0.00";" -3.87";"de exercer";"4.913958e-02"
"0";" 6";" 0.00";" -3.87";"condições de exercer";"4.913958e-02"
"0";" 6";" 0.00";" -3.87";"os cuidados da";"4.913958e-02"
"0";" 6";" 0.00";" -3.87";"os genitores";"4.913958e-02"
"0";" 6";" 0.00";" -3.87";"e de";"4.913958e-02"
"0";" 6";" 0.00";" -3.87";"a filha";"4.913958e-02"
"0";" 6";" 0.00";" -3.87";"sob a guarda";"4.913958e-02"
"0";" 6";" 0.00";" -3.87";"em situação_de_risco";"4.913958e-02"
"0";" 6";" 0.00";" -3.87";"da apelante";"4.913958e-02"
"0";" 6";" 0.00";" -3.87";"convivência e";"4.913958e-02"
"0";" 6";" 0.00";" -3.87";"negaram provimento";"4.913958e-02"
"0";" 6";" 0.00";" -3.87";"impossibilidade de";"4.913958e-02"
"0";" 6";" 0.00";" -3.87";"de que a";"4.913958e-02"
"0";" 6";" 0.00";" -3.87";"decorrência da";"4.913958e-02"
"0";" 6";" 0.00";" -3.87";"a mãe";"4.913958e-02"
"0";" 6";" 0.00";" -3.87";"com a mãe";"4.913958e-02"
"0";" 6";" 0.00";" -3.87";"interesse do";"4.913958e-02"
