"";"V1"
"1";4
"2";1
"3";5
"4";5
"5";2
"6";2
"7";4
"8";4
"9";5
"10";0
"11";5
"12";4
"13";3
"14";1
"15";1
"16";5
"17";2
"18";2
"19";2
"20";2
"21";1
"22";5
"23";5
"24";5
"25";0
"26";0
"27";0
"28";5
"29";0
"30";5
"31";1
"32";5
"33";0
"34";0
"35";4
"36";5
"37";2
"38";0
"39";3
"40";5
"41";4
"42";0
"43";5
"44";0
"45";5
"46";0
"47";2
"48";2
"49";0
"50";2
"51";2
"52";2
"53";2
"54";2
"55";3
"56";2
"57";0
"58";2
"59";2
"60";4
"61";4
"62";2
"63";2
"64";2
"65";0
"66";4
"67";0
"68";5
"69";5
"70";3
"71";0
"72";5
"73";4
"74";0
"75";0
"76";0
"77";4
"78";0
"79";3
"80";5
"81";0
"82";0
"83";4
"84";1
"85";5
"86";1
"87";0
"88";5
"89";1
"90";0
"91";1
"92";0
"93";5
"94";2
"95";5
"96";5
"97";0
"98";0
"99";5
"100";1
"101";0
"102";2
"103";0
"104";5
"105";5
"106";1
"107";4
"108";1
"109";0
"110";2
"111";3
"112";5
"113";2
"114";1
"115";0
"116";1
"117";2
"118";3
"119";3
"120";5
"121";5
"122";1
"123";1
"124";0
"125";2
"126";2
"127";3
"128";1
"129";0
"130";2
"131";0
"132";4
"133";2
"134";4
"135";1
"136";0
"137";4
"138";1
"139";0
"140";2
"141";0
"142";0
"143";4
"144";4
"145";4
"146";0
"147";2
"148";5
"149";2
"150";2
"151";0
"152";5
"153";1
"154";0
"155";0
"156";1
"157";2
"158";0
"159";0
"160";5
"161";4
"162";1
"163";1
"164";4
"165";1
"166";0
"167";2
"168";5
"169";5
"170";2
"171";5
"172";5
"173";4
"174";4
"175";0
"176";4
"177";0
"178";3
"179";4
"180";4
"181";0
"182";4
"183";0
"184";3
"185";2
"186";2
"187";4
"188";1
"189";1
"190";5
"191";5
"192";5
"193";1
"194";5
"195";2
"196";1
"197";2
"198";3
"199";3
"200";3
"201";4
"202";1
"203";2
"204";4
"205";4
"206";1
"207";4
"208";3
"209";3
"210";3
"211";0
"212";0
"213";0
"214";0
"215";3
"216";3
"217";3
"218";5
"219";1
"220";1
"221";2
"222";3
"223";3
"224";3
"225";3
"226";4
"227";4
"228";5
"229";1
"230";0
"231";4
"232";3
"233";3
"234";3
"235";4
"236";2
"237";1
"238";2
"239";2
"240";2
"241";0
"242";4
"243";2
"244";0
"245";3
"246";3
"247";3
"248";3
"249";1
"250";1
"251";1
"252";0
"253";1
"254";3
"255";3
"256";3
"257";3
"258";1
"259";2
"260";2
"261";1
"262";5
"263";5
"264";5
"265";5
"266";3
"267";3
"268";3
