"V1";"V2";"V3";"V4";"V5";"V6"
"***";"nb classes";"5";"***";"";""
"**";"classe";"1";"**";"";""
"****";"40";"211";"18.96";"****";""
"14";"14";"100.00";"21.79";"da constituição_federal";"3.040953e-06"
"10";"10";"100.00";"15.55";"do estado";"8.026609e-05"
" 9";" 9";"100.00";"13.99";"é dever";"1.833981e-04"
" 9";" 9";"100.00";"13.99";"dever da";"1.833981e-04"
" 9";" 9";"100.00";"13.99";"família da";"1.833981e-04"
" 9";" 9";"100.00";"13.99";"da sociedade";"1.833981e-04"
" 9";" 9";"100.00";"13.99";"sociedade e";"1.833981e-04"
" 9";" 9";"100.00";"13.99";"é dever da";"1.833981e-04"
" 9";" 9";"100.00";"13.99";"dever da família";"1.833981e-04"
" 9";" 9";"100.00";"13.99";"da família da";"1.833981e-04"
" 9";" 9";"100.00";"13.99";"família da sociedade";"1.833981e-04"
" 9";" 9";"100.00";"13.99";"da sociedade e";"1.833981e-04"
" 9";" 9";"100.00";"13.99";"sociedade e do";"1.833981e-04"
" 9";" 9";"100.00";"13.99";"e do estado";"1.833981e-04"
" 9";" 9";"100.00";"13.99";"é dever da família";"1.833981e-04"
" 9";" 9";"100.00";"13.99";"dever da família da";"1.833981e-04"
" 9";" 9";"100.00";"13.99";"da família da sociedade";"1.833981e-04"
" 9";" 9";"100.00";"13.99";"família da sociedade e";"1.833981e-04"
" 9";" 9";"100.00";"13.99";"da sociedade e do";"1.833981e-04"
" 9";" 9";"100.00";"13.99";"sociedade e do estado";"1.833981e-04"
" 9";" 9";"100.00";"13.99";"é dever da família da";"1.833981e-04"
" 9";" 9";"100.00";"13.99";"dever da família da sociedade";"1.833981e-04"
" 9";" 9";"100.00";"13.99";"da família da sociedade e";"1.833981e-04"
" 9";" 9";"100.00";"13.99";"família da sociedade e do";"1.833981e-04"
" 9";" 9";"100.00";"13.99";"da sociedade e do estado";"1.833981e-04"
" 9";" 9";"100.00";"13.99";"é dever da família da sociedade";"1.833981e-04"
" 9";" 9";"100.00";"13.99";"dever da família da sociedade e";"1.833981e-04"
" 9";" 9";"100.00";"13.99";"da família da sociedade e do";"1.833981e-04"
" 9";" 9";"100.00";"13.99";"família da sociedade e do estado";"1.833981e-04"
" 9";" 9";"100.00";"13.99";"é dever da família da sociedade e";"1.833981e-04"
" 9";" 9";"100.00";"13.99";"dever da família da sociedade e do";"1.833981e-04"
" 9";" 9";"100.00";"13.99";"da família da sociedade e do estado";"1.833981e-04"
" 9";" 9";"100.00";"13.99";"é dever da família da sociedade e do";"1.833981e-04"
" 9";" 9";"100.00";"13.99";"dever da família da sociedade e do estado";"1.833981e-04"
" 9";" 9";"100.00";"13.99";"é dever da família da sociedade e do estado";"1.833981e-04"
" 8";" 8";"100.00";"12.44";"art da";"4.210119e-04"
" 8";" 8";"100.00";"12.44";"o art da";"4.210119e-04"
" 8";" 8";"100.00";"12.44";"art da constituição_federal";"4.210119e-04"
" 8";" 8";"100.00";"12.44";"o art da constituição_federal";"4.210119e-04"
" 8";" 8";"100.00";"12.44";"previsto no";"4.210119e-04"
"14";"18";" 77.78";"11.29";"e do";"7.785038e-04"
" 7";" 7";"100.00";"10.88";"constituição_federal prevê";"9.722015e-04"
" 7";" 7";"100.00";"10.88";"prevê que";"9.722015e-04"
" 7";" 7";"100.00";"10.88";"que é";"9.722015e-04"
" 7";" 7";"100.00";"10.88";"estado assegurar";"9.722015e-04"
" 7";" 7";"100.00";"10.88";"da constituição_federal prevê";"9.722015e-04"
" 7";" 7";"100.00";"10.88";"constituição_federal prevê que";"9.722015e-04"
" 7";" 7";"100.00";"10.88";"prevê que é";"9.722015e-04"
" 7";" 7";"100.00";"10.88";"que é dever";"9.722015e-04"
" 7";" 7";"100.00";"10.88";"do estado assegurar";"9.722015e-04"
" 7";" 7";"100.00";"10.88";"art da constituição_federal prevê";"9.722015e-04"
" 7";" 7";"100.00";"10.88";"da constituição_federal prevê que";"9.722015e-04"
" 7";" 7";"100.00";"10.88";"constituição_federal prevê que é";"9.722015e-04"
" 7";" 7";"100.00";"10.88";"prevê que é dever";"9.722015e-04"
" 7";" 7";"100.00";"10.88";"que é dever da";"9.722015e-04"
" 7";" 7";"100.00";"10.88";"e do estado assegurar";"9.722015e-04"
" 7";" 7";"100.00";"10.88";"o art da constituição_federal prevê";"9.722015e-04"
" 7";" 7";"100.00";"10.88";"art da constituição_federal prevê que";"9.722015e-04"
" 7";" 7";"100.00";"10.88";"da constituição_federal prevê que é";"9.722015e-04"
" 7";" 7";"100.00";"10.88";"constituição_federal prevê que é dever";"9.722015e-04"
" 7";" 7";"100.00";"10.88";"prevê que é dever da";"9.722015e-04"
" 7";" 7";"100.00";"10.88";"que é dever da família";"9.722015e-04"
" 7";" 7";"100.00";"10.88";"sociedade e do estado assegurar";"9.722015e-04"
" 7";" 7";"100.00";"10.88";"o art da constituição_federal prevê que";"9.722015e-04"
" 7";" 7";"100.00";"10.88";"art da constituição_federal prevê que é";"9.722015e-04"
" 7";" 7";"100.00";"10.88";"da constituição_federal prevê que é dever";"9.722015e-04"
" 7";" 7";"100.00";"10.88";"constituição_federal prevê que é dever da";"9.722015e-04"
" 7";" 7";"100.00";"10.88";"prevê que é dever da família";"9.722015e-04"
" 7";" 7";"100.00";"10.88";"que é dever da família da";"9.722015e-04"
" 7";" 7";"100.00";"10.88";"da sociedade e do estado assegurar";"9.722015e-04"
" 7";" 7";"100.00";"10.88";"o art da constituição_federal prevê que é";"9.722015e-04"
" 7";" 7";"100.00";"10.88";"art da constituição_federal prevê que é dever";"9.722015e-04"
" 7";" 7";"100.00";"10.88";"da constituição_federal prevê que é dever da";"9.722015e-04"
" 7";" 7";"100.00";"10.88";"constituição_federal prevê que é dever da família";"9.722015e-04"
" 7";" 7";"100.00";"10.88";"prevê que é dever da família da";"9.722015e-04"
" 7";" 7";"100.00";"10.88";"que é dever da família da sociedade";"9.722015e-04"
" 7";" 7";"100.00";"10.88";"família da sociedade e do estado assegurar";"9.722015e-04"
" 7";" 7";"100.00";"10.88";"o art da constituição_federal prevê que é dever";"9.722015e-04"
" 7";" 7";"100.00";"10.88";"art da constituição_federal prevê que é dever da";"9.722015e-04"
" 7";" 7";"100.00";"10.88";"da constituição_federal prevê que é dever da família";"9.722015e-04"
" 7";" 7";"100.00";"10.88";"constituição_federal prevê que é dever da família da";"9.722015e-04"
" 7";" 7";"100.00";"10.88";"prevê que é dever da família da sociedade";"9.722015e-04"
" 7";" 7";"100.00";"10.88";"que é dever da família da sociedade e";"9.722015e-04"
" 7";" 7";"100.00";"10.88";"da família da sociedade e do estado assegurar";"9.722015e-04"
" 7";" 7";"100.00";"10.88";"o art da constituição_federal prevê que é dever da";"9.722015e-04"
" 7";" 7";"100.00";"10.88";"art da constituição_federal prevê que é dever da família";"9.722015e-04"
