"V1";"V2";"V3";"V4";"V5";"V6"
"***";"nb classes";"5";"***";"";""
"**";"classe";"1";"**";"";""
"****";"40";"211";"18.96";"****";""
"18";"20";" 90.00";"72.582";"assegurar";"1.602703e-17"
"15";"15";"100.00";"69.033";"prever";"9.685290e-17"
"14";"15";" 93.33";"58.142";"constituição_federal";"2.438311e-14"
"15";"21";" 71.43";"41.793";"art";"1.014869e-10"
" 9";" 9";"100.00";"40.189";"sociedade";"2.305153e-10"
"17";"28";" 60.71";"36.640";"família";"1.420856e-09"
"20";"37";" 54.05";"35.973";"dever";"2.000720e-09"
"10";"12";" 83.33";"34.322";"artigo";"4.671734e-09"
"10";"12";" 83.33";"34.322";"proteção_integral";"4.671734e-09"
"20";"40";" 50.00";"30.958";"direito";"2.636736e-08"
"13";"23";" 56.52";"23.709";"adolescente";"1.120548e-06"
" 5";" 5";"100.00";"21.894";"preconizar";"2.881618e-06"
" 5";" 5";"100.00";"21.894";"norteador";"2.881618e-06"
" 5";" 5";"100.00";"21.894";"educado";"2.881618e-06"
" 4";" 4";"100.00";"17.430";"prioridade";"2.980159e-05"
" 4";" 4";"100.00";"17.430";"modo";"2.980159e-05"
" 4";" 4";"100.00";"17.430";"doutrina";"2.980159e-05"
" 6";" 8";" 75.00";"16.999";"absoluto";"3.740011e-05"
" 5";" 6";" 83.33";"16.659";"seio";"4.474882e-05"
"17";"42";" 40.48";"15.805";"familiar";"7.022043e-05"
" 3";" 3";"100.00";"13.010";"extenso";"3.098359e-04"
" 3";" 3";"100.00";"13.010";"respeitado";"3.098359e-04"
" 3";" 3";"100.00";"13.010";"reintegração";"3.098359e-04"
" 3";" 3";"100.00";"13.010";"priorizam";"3.098359e-04"
" 3";" 3";"100.00";"13.010";"preservação";"3.098359e-04"
" 3";" 3";"100.00";"13.010";"habilitação";"3.098359e-04"
" 3";" 3";"100.00";"13.010";"ditame";"3.098359e-04"
" 4";" 5";" 80.00";"12.421";"jovem";"4.245049e-04"
" 8";"15";" 53.33";"12.420";"proteção";"4.246613e-04"
"18";"51";" 35.29";"11.684";"eca";"6.305591e-04"
" 7";"13";" 53.85";"10.976";"origem";"9.230247e-04"
"25";"86";" 29.07";" 9.663";"criança";"1.880663e-03"
" 4";" 6";" 66.67";" 9.149";"embora";"2.487925e-03"
" 4";" 6";" 66.67";" 9.149";"criar";"2.487925e-03"
" 3";" 4";" 75.00";" 8.335";"infância";"3.888326e-03"
" 3";" 4";" 75.00";" 8.335";"indício";"3.888326e-03"
" 9";"24";" 37.50";" 6.060";"colocação";"1.382427e-02"
" 3";" 5";" 60.00";" 5.615";"tenro";"1.780539e-02"
" 3";" 5";" 60.00";" 5.615";"excepcional";"1.780539e-02"
" 3";" 5";" 60.00";" 5.615";"cna";"1.780539e-02"
" 4";" 8";" 50.00";" 5.216";"agravo";"2.238533e-02"
" 2";" 3";" 66.67";" 4.509";"melhor";"3.372198e-02"
" 2";" 3";" 66.67";" 4.509";"primordialmente";"3.372198e-02"
" 2";" 3";" 66.67";" 4.509";"objectivo";"3.372198e-02"
" 2";" 3";" 66.67";" 4.509";"junto";"3.372198e-02"
" 2";" 3";" 66.67";" 4.509";"prioritário";"3.372198e-02"
" 2";" 3";" 66.67";" 4.509";"perspectiva";"3.372198e-02"
" 2";" 3";" 66.67";" 4.509";"inc";"3.372198e-02"
" 3";" 6";" 50.00";" 3.874";"possível";"4.905340e-02"
" 7";"20";" 35.00";" 3.701";"medida";"5.437397e-02"
" 8";"24";" 33.33";" 3.643";"princípio";"5.631189e-02"
" 5";"13";" 38.46";" 3.430";"aplicação";"6.401253e-02"
" 9";"29";" 31.03";" 3.192";"manutenção";"7.400509e-02"
"11";"38";" 28.95";" 3.011";"família_substituta";"8.271861e-02"
" 3";" 7";" 42.86";" 2.692";"observar";"1.008639e-01"
" 2";" 4";" 50.00";" 2.557";"atendimento";"1.097790e-01"
" 2";" 4";" 50.00";" 2.557";"recomendar";"1.097790e-01"
" 2";" 4";" 50.00";" 2.557";"permitir";"1.097790e-01"
" 2";" 4";" 50.00";" 2.557";"tutela";"1.097790e-01"
" 2";" 4";" 50.00";" 2.557";"termo";"1.097790e-01"
" 2";" 4";" 50.00";" 2.557";"retornar";"1.097790e-01"
" 2";" 4";" 50.00";" 2.557";"referência";"1.097790e-01"
" 2";" 4";" 50.00";" 2.557";"menino";"1.097790e-01"
"14";"55";" 25.45";" 2.044";"convivência";"1.528070e-01"
"*****";"*";"*";"*";"*";"*"
"10";"12";"83.33";"34.322";"estado";"4.671734e-09"
"32";"87";"36.78";"30.613";"ser";"3.149063e-08"
" 3";" 4";"75.00";" 8.335";"lhe";"3.888326e-03"
" 9";"30";"30.00";" 2.776";"sua";"9.570162e-02"
" 2";" 4";"50.00";" 2.557";"ver";"1.097790e-01"
" 2";" 4";"50.00";" 2.557";"isso";"1.097790e-01"
" 2";" 4";"50.00";" 2.557";"esta";"1.097790e-01"
" 5";"15";"33.33";" 2.172";"um";"1.405242e-01"
"*";"*";"*";"*";"*";"*"
"3";"3";"100.00";"13.010";"*cod_5765606";"0.0003098359"
"3";"3";"100.00";"13.010";"*tipo_proc_reexame_necessário";"0.0003098359"
"3";"3";"100.00";"13.010";"*ano_2014";"0.0003098359"
"2";"2";"100.00";" 8.632";"*cod_9969615";"0.0033034171"
"2";"2";"100.00";" 8.632";"*ori_rio_grande";"0.0033034171"
"2";"3";" 66.67";" 4.509";"*cod_10530261";"0.0337219798"
"2";"3";" 66.67";" 4.509";"*cod_8694393";"0.0337219798"
"2";"3";" 66.67";" 4.509";"*cod_8054835";"0.0337219798"
"4";"9";" 44.44";" 3.975";"*ori_viamão";"0.0461839508"
"3";"6";" 50.00";" 3.874";"*ori_osório";"0.0490533998"
"2";"4";" 50.00";" 2.557";"*cod_9386069";"0.1097790179"
"2";"4";" 50.00";" 2.557";"*ori_sobradinho";"0.1097790179"
"2";"4";" 50.00";" 2.557";"*cod_7106842";"0.1097790179"
"2";"4";" 50.00";" 2.557";"*ori_dom_pedrito";"0.1097790179"
"**";"classe";"2";"**";"";""
"****";"49";"211";"23.22";"****";""
" 9";"10";" 90.00";"26.254";"unânime";"2.993172e-07"
" 5";" 5";"100.00";"16.932";"além";"3.874619e-05"
" 5";" 5";"100.00";"16.932";"longo";"3.874619e-05"
" 5";" 5";"100.00";"16.932";"relatório";"3.874619e-05"
" 7";" 9";" 77.78";"15.693";"provimento";"7.451216e-05"
" 9";"14";" 64.29";"14.181";"ano";"1.660622e-04"
" 4";" 4";"100.00";"13.480";"menos";"2.411152e-04"
" 4";" 4";"100.00";"13.480";"conselho";"2.411152e-04"
" 4";" 4";"100.00";"13.480";"colocar";"2.411152e-04"
" 4";" 4";"100.00";"13.480";"atual";"2.411152e-04"
" 8";"12";" 66.67";"13.469";"contexto";"2.425894e-04"
