"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5"
"criança";0,002;1;1;0,282;0,776
"acolhimento_institucional";1;1;1;0,118;0
"poder_familiar";1;1;0,081;0,001;0,323
"convivência";0,153;1;0,969;1;0,011
"agravo_de_instrumento";1;1;1;0,259;0
"infante";1;1;0,969;0,166;0,778
"decisão";0,784;1;1;0,313;0
"familiar";0;1;1;1;0,496
"menor";1;1;0;1;1
"eca";0,001;1;0,239;0,981;1
"direito";0;1;1;1;1
"ação";1;1;1;0,001;0,028
"destituição";1;1;0,007;0;0,625
"desprover";1;1;0,009;1;1
"manter";1;1;0,001;0,06;1
"guarda";1;0,702;0;1;1
"dever";0;1;1;1;1
"filho";1;0,004;1;1;0,034
"família_substituta";0,083;1;0,315;0;1
"adolescente";0;1;1;1;1
"negligência";1;1;0,037;1;0,02
"situação";1;0,002;0,36;1;1
"caso";1;1;1;0;0,609
"genitor";1;1;1;1;0
"manutenção";0,074;1;1;1;0,089
"família";0;1;1;1;1
"materno";1;0,142;0,863;1;0,266
"adoção";1;1;0;0,001;1
"art";0;1;1;1;1
"interesse";0,991;1;0,012;1;1
"avô";1;0,946;1;1;0,017
"princípio";0,056;1;0,344;0,307;1
"melhor_interesse";1;1;1;0;1
"família_extensa";1;1;0;1;1
"cuidado";1;0,005;0,344;1;1
"auto";1;1;1;0,006;0,167
"assegurar";0;1;1;1;1
"pedido";1;1;1;1;0
"medida";0,054;1;1;0,005;1
"colocação";0,014;1;1;0;1
"agravo";0,022;1;1;1;0,85
"recurso";1;1;1;0,133;0,785
"prevalência";1;1;0;1;1
"genitora";1;0,038;1;0,204;1
"condição";1;0,089;1;0,045;1
"forma";0,262;0,179;1;1;1
"sentença";1;1;0;0,673;1
"além";1;0;1;1;1
"mãe";1;0,004;0,109;1;1
"medida_de_proteção";1;1;1;0,673;0
"visita";1;1;1;1;0
"acolher";1;1;0,537;0,498;0,897
"medida_protetiva";1;1;0;0,795;1
"já";0,807;1;0,074;1;1
"idade";1;0,001;0,936;1;1
"ano";1;0;1;1;1
"vida";0,362;0,552;1;1;0,509
"suspensão";1;1;1;0,005;1
"exercer";1;0,159;1;0,029;1
"constituição_federal";0;1;1;1;1
"apelação_cível";1;1;0;1;1
"acolhimento";1;1;1;0,588;0,943
"saúde";0,756;0,013;1;1;1
"proteção";0;1;1;1;0,671
"prever";0;1;1;1;1
"institucionalmente";1;1;0,035;1;0,369
"demonstrar";1;0,043;1;1;0,447
