"";"";"";"";"nulidade";""
"1";"nulidade";"3.29837132826559";"-2.19214514556274";"1.34780019188357";"54"
"2";"olvidar";"3.29837132826559";"-2.19214514556274";"1.34780019188357";"56"
"3";"nomear";"3.29837132826559";"-2.19214514556274";"1.34780019188357";"58"
"4";"cotejo";"3.29837132826559";"-2.19214514556274";"1.34780019188357";"61"
"5";"autorizar";"-0.240134419086119";"0.533880846538037";"1.1873032881867";"92"
"6";"afinidade";"0.278492439765557";"1.05864760533484";"1.1827254943494";"95"
"7";"afetividade";"0.278492439765557";"1.05864760533484";"1.1827254943494";"96"
"8";"inexistência";"0.157479506033499";"0.93620202828225";"1.16926623222896";"97"
"9";"exercer";"0.242216718961092";"0.806152677518144";"1.16260513101661";"103"
"10";"respeitado";"-2.3364288079786";"-2.52367728721348";"1.15937052219744";"105"
"11";"reintegração";"-2.3364288079786";"-2.52367728721348";"1.15937052219744";"106"
"12";"preservação";"-2.3364288079786";"-2.52367728721348";"1.15937052219744";"108"
"13";"habilitação";"-2.3364288079786";"-2.52367728721348";"1.15937052219744";"109"
"14";"ditame";"-2.3364288079786";"-2.52367728721348";"1.15937052219744";"110"
"15";"acolhimento";"-0.255178393805947";"0.743806711733335";"1.13659120076753";"121"
"16";"possibilidade";"-0.173257912505409";"0.689829773421821";"1.10723301394271";"127"
"17";"juízo";"0.0220437052917209";"0.833924129062055";"1.06669075594652";"137"
"18";"suspensão";"-0.55928622753936";"0.368190398306343";"1.06669075594652";"138"
"19";"demanda";"0.027185651493644";"1.72575064954402";"1.04985982531119";"148"
"20";"paterno";"-0.213742588426112";"0.456535544408491";"1.04742016272724";"151"
"21";"destituir";"0.127226272600485";"0.905590634019104";"1.04484344044756";"153"
"22";"inclusão";"-0.326572228894731";"0.446419720071904";"1.04344543155114";"156"
"23";"ajuizado";"-0.326572228894731";"0.446419720071904";"1.04344543155114";"157"
"24";"poder_familiar";"0.301754827805285";"0.236267908164691";"1.03319336631073";"160"
