"";"X";"V1"
"1";1;6
"2";2;1
"3";3;6
"4";4;4
"5";5;3
"6";6;6
"7";7;6
"8";8;5
"9";9;6
"10";10;6
"11";11;6
"12";12;6
"13";13;5
"14";14;1
"15";15;1
"16";16;6
"17";17;4
"18";18;3
"19";19;3
"20";20;4
"21";21;1
"22";22;4
"23";23;3
"24";24;5
"25";25;0
"26";26;0
"27";27;0
"28";28;6
"29";29;0
"30";30;5
"31";31;1
"32";32;5
"33";33;6
"34";34;6
"35";35;6
"36";36;6
"37";37;3
"38";38;5
"39";39;2
"40";40;6
"41";41;6
"42";42;0
"43";43;6
"44";44;0
"45";45;6
"46";46;0
"47";47;3
"48";48;3
"49";49;6
"50";50;4
"51";51;3
"52";52;3
"53";53;4
"54";54;3
"55";55;5
"56";56;4
"57";57;4
"58";58;4
"59";59;4
"60";60;6
"61";61;4
"62";62;4
"63";63;5
"64";64;3
"65";65;0
"66";66;6
"67";67;0
"68";68;6
"69";69;5
"70";70;2
"71";71;0
"72";72;6
"73";73;5
"74";74;0
"75";75;0
"76";76;0
"77";77;6
"78";78;0
"79";79;5
"80";80;6
"81";81;0
"82";82;0
"83";83;6
"84";84;1
"85";85;0
"86";86;1
"87";87;0
"88";88;6
"89";89;1
"90";90;0
"91";91;1
"92";92;6
"93";93;6
"94";94;1
"95";95;6
"96";96;4
"97";97;0
"98";98;0
"99";99;4
"100";100;1
"101";101;0
"102";102;3
"103";103;3
"104";104;5
"105";105;6
"106";106;1
"107";107;6
"108";108;1
"109";109;0
"110";110;5
"111";111;2
"112";112;5
"113";113;3
"114";114;1
"115";115;0
"116";116;1
"117";117;3
"118";118;6
"119";119;5
"120";120;6
"121";121;5
"122";122;1
"123";123;1
"124";124;0
"125";125;3
"126";126;3
"127";127;5
"128";128;1
"129";129;0
"130";130;3
"131";131;3
"132";132;6
"133";133;4
"134";134;6
"135";135;1
"136";136;0
"137";137;6
"138";138;1
"139";139;0
"140";140;3
"141";141;0
"142";142;6
"143";143;6
"144";144;6
"145";145;5
"146";146;6
"147";147;3
"148";148;6
"149";149;4
"150";150;3
"151";151;0
"152";152;6
"153";153;1
"154";154;0
"155";155;0
"156";156;1
"157";157;4
"158";158;4
"159";159;0
"160";160;6
"161";161;6
"162";162;1
"163";163;1
"164";164;6
"165";165;1
"166";166;4
"167";167;6
"168";168;5
"169";169;5
"170";170;3
"171";171;5
"172";172;3
"173";173;2
"174";174;2
"175";175;0
"176";176;4
"177";177;0
"178";178;2
"179";179;2
"180";180;2
"181";181;0
"182";182;4
"183";183;0
"184";184;2
"185";185;4
"186";186;4
"187";187;6
"188";188;1
"189";189;1
"190";190;6
"191";191;6
"192";192;5
"193";193;1
"194";194;5
"195";195;3
"196";196;1
"197";197;3
"198";198;5
"199";199;5
"200";200;5
"201";201;5
"202";202;1
"203";203;3
"204";204;6
"205";205;4
"206";206;1
"207";207;6
"208";208;2
"209";209;2
"210";210;4
"211";211;4
"212";212;0
"213";213;0
"214";214;0
"215";215;2
"216";216;2
"217";217;2
"218";218;5
"219";219;1
"220";220;1
"221";221;3
"222";222;2
"223";223;2
"224";224;2
"225";225;2
"226";226;6
"227";227;6
"228";228;5
"229";229;1
"230";230;0
"231";231;2
"232";232;2
"233";233;2
"234";234;2
"235";235;6
"236";236;5
"237";237;1
"238";238;4
"239";239;5
"240";240;4
"241";241;0
"242";242;4
"243";243;3
"244";244;0
"245";245;2
"246";246;2
"247";247;2
"248";248;2
"249";249;1
"250";250;1
"251";251;1
"252";252;0
"253";253;1
"254";254;5
"255";255;5
"256";256;5
"257";257;5
"258";258;1
"259";259;5
"260";260;3
"261";261;1
"262";262;5
"263";263;4
"264";264;5
"265";265;5
"266";266;2
"267";267;2
"268";268;2
