"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Coord. facteur 4";"Coord. facteur 5";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"Corr. facteur 4";"Corr. facteur 5";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"COR -facteur 4";"COR -facteur 5";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"CTR -facteur 4";"CTR -facteur 5";"mass";"chi.distance";"inertie"
"criança";-0,512171832175762;-0,135153533450086;0,275078578621888;0,168720294669644;0,170166597655326;-0,796314331207478;-0,210133960593716;0,427686570411825;0,262322877148932;0,264571559568413;0,728335078028235;0,0420559967752676;0,139391060807349;0,048919710075107;0,0412981543140475;0,00655072106289816;0,000456155101099866;0,00188960604814025;0,000710873586294959;0,000723113314701183;0,0249722530521643;0,370215530926085;0,00342268549958365
"acolhimento_institucional";-0,310302667784103;0,214911783143559;0,853256586269293;0,0163060788357751;-0,122202872765114;-0,329713724817175;0,228355640747069;0,906632254542442;0,0173261094675685;-0,12984730247559;0,153947031752237;0,0612341975634168;0,7722912822997;0,000263116905864353;0,0122643714787597;0,00187018373872786;0,000897085243445082;0,0141407536461806;5,16431034680794e-06;0,000290052149790029;0,0194228634850167;0,4878703297523;0,00462298060646039
"poder_familiar";0,301754827805285;0,236267908164691;0,804458535404964;-0,00855631997812647;0,0878026477640441;0,336990191483228;0,26385648306889;0,898393698812224;-0,00955542593565791;0,098055203616601;0,159546344913639;0,081107525624569;0,752328069880516;7,93965838755024e-05;0,00693866299740936;0,00166750677659562;0,00102227708442904;0,011851313352461;1,34070487333343e-06;0,000141180390396467;0,0183129855715871;0,466031588402068;0,00397731385450738
"convivência";-0,191150385659487;-0,270992160219707;0,22907626595435;-0,0826579640282384;0,489098335400386;-0,299074088764745;-0,423994610842555;0,358412959835571;-0,129326734997709;0,76524375544185;0,140880800517176;0,234794642199892;0,134240381345871;0,0163049787954553;0,47377919714161;0,000567745370842165;0,00114108159001954;0,000815386347092381;0,000106162870412996;0,00371702613061043;0,0155382907880133;0,314162128439191;0,00153359578383596
"agravo_de_instrumento";-0,517280345650208;0,220193381185053;1,11386917312635;-0,584298611425157;-0,503329016013686;-0,352658155328382;0,150117808026578;0,759385217658193;-0,398348153373432;-0,343146774864449;0,181730176337113;0,0273059247289832;0,559068464615555;0,143513970053403;0,0883814642649378;0,00415771962701884;0,000753375972972123;0,019278427844369;0,00530484810475819;0,00393647211660186;0,0155382907880133;0,74854344373721;0,00870637294147332
"infante";0,0969889388332902;0,0109399206294166;0,259282917681006;-0,162299023047433;0,129770793235705;0,280058109687798;0,0315893083114892;0,748686238591524;-0,468642694162968;0,374716575760732;0,118978394897335;0,00125523577261339;0,564147974976178;0,206207700176517;0,109410694177357;0,000153996781660504;1,9592757878186e-06;0,0011005633331491;0,000431220144297148;0,000275690085417431;0,0163706992230855;0,173457352030427;0,000492552643016382
"decisão";-0,612700745978707;0,183539769054298;0,911532421614423;-0,90563331897128;-1,18458972931198;-0,329228006976654;0,0986230762134604;0,489801921137451;-0,486632103214265;-0,636526262169675;0,171962132577016;0,0127958647482842;0,252523487122164;0,232535982851492;0,330182532701041;0,00479148207260037;0,000429965303531421;0,010605161587152;0,0104683403406834;0,0179105521732536;0,0127635960044395;0,911457777868475;0,0106034247831574
"familiar";-0,936485361434345;-0,312297615919061;0,199946670124579;-0,0405126405609526;-0,020259857977701;-0,928823956055539;-0,309742702908221;0,198310902437169;-0,040181205842285;-0,0200941116763958;0,889790676326472;0,0820533802946987;0,0269113663964478;0,00103066218763656;0,000213914794745659;0,0111937353718972;0,00124483097719244;0,000510271604084277;2,09485588457723e-05;5,23896916834748e-06;0,0127635960044395;0,612437288724673;0,00478736234754154
"menor";0,728960656457588;0,122419863245424;0,0377016893274817;-0,467677508809163;0,306426122400779;0,785870773107461;0,131977208536752;0,0406450683953602;-0,504189193418029;0,330348876277704;0,729559752160862;0,0170619923868568;0,00129477958331437;0,185863895475925;0,066219580393042;0,00678236608726459;0,000191283200383823;1,81423971683445e-05;0,00279168246484835;0,00119846297184255;0,0127635960044395;0,526475557308235;0,00353776902674217
"eca";-0,404046553114338;-0,749620502796085;0,398268912569997;-0,171781000056517;0,233606951794464;-0,410695410020467;-0,761956010718563;0,404822694527613;-0,174607771575205;0,237451110797396;0,209096771597916;0,596816337062325;0,134790369758723;0,0233929043817788;0,0359036171992588;0,0024007884865232;0,00826368967959199;0,00233261951058365;0,000433951646770842;0,000802532469510307;0,0147058823529412;0,545082576209911;0,0043693384542299
