"V1";"V2";"V3";"V4";"V5";"V6"
"***";"nb classes";"6";"***";"";""
"**";"classe";"1";"**";"";""
"****";"41";"224";"18.3";"****";""
"0";"45";"0.00";"-12.617";"destituição";"0.0003823484"
"0";"36";"0.00";" -9.610";"guarda";"0.0019351586"
"4";"66";"6.06";" -9.379";"poder_familiar";"0.0021945251"
"0";"35";"0.00";" -9.294";"filho";"0.0022994762"
"2";"46";"4.35";" -7.540";"menor";"0.0060354705"
"0";"29";"0.00";" -7.464";"genitor";"0.0062961489"
"0";"27";"0.00";" -6.878";"materno";"0.0087250668"
"0";"23";"0.00";" -5.743";"condição";"0.0165577658"
"1";"27";"3.70";" -4.376";"adoção";"0.0364425818"
"1";"25";"4.00";" -3.850";"auto";"0.0497396046"
"0";"15";"0.00";" -3.602";"apelante";"0.0577152716"
"0";"14";"0.00";" -3.346";"agravante";"0.0673800157"
"0";"13";"0.00";" -3.092";"agravar";"0.0786772935"
"0";"13";"0.00";" -3.092";"contexto";"0.0786772935"
"0";"13";"0.00";" -3.092";"juízo";"0.0786772935"
"3";"37";"8.11";" -3.081";"situação";"0.0792147597"
"0";"12";"0.00";" -2.841";"situação_de_risco";"0.0919038699"
"0";"12";"0.00";" -2.841";"verificar";"0.0919038699"
"0";"12";"0.00";" -2.841";"biológico";"0.0919038699"
"0";"12";"0.00";" -2.841";"determinar";"0.0919038699"
"0";"12";"0.00";" -2.841";"desacolhimento";"0.0919038699"
"0";"11";"0.00";" -2.592";"elemento";"0.1074212810"
"0";"11";"0.00";" -2.592";"reforma";"0.1074212810"
"0";"11";"0.00";" -2.592";"momento";"0.1074212810"
"0";"11";"0.00";" -2.592";"inserção";"0.1074212810"
"0";"11";"0.00";" -2.592";"afetivo";"0.1074212810"
"0";"11";"0.00";" -2.592";"abandono";"0.1074212810"
"1";"19";"5.26";" -2.361";"pedido";"0.1244043327"
"0";"10";"0.00";" -2.345";"preliminar";"0.1256750380"
"0";"10";"0.00";" -2.345";"possibilidade";"0.1256750380"
"0";"10";"0.00";" -2.345";"nascimento";"0.1256750380"
"0";"10";"0.00";" -2.345";"tentativa";"0.1256750380"
"0";"10";"0.00";" -2.345";"prova";"0.1256750380"
"0";" 9";"0.00";" -2.101";"decorrência";"0.1472220334"
"0";" 9";"0.00";" -2.101";"concreto";"0.1472220334"
"*****";"*";"*";"*";"*";"*"
"0";"16";" 0.00";"-3.860";"ter";"0.0494372"
"9";"71";"12.68";"-2.201";"não";"0.1378807"
"0";" 9";" 0.00";"-2.101";"entre";"0.1472220"
"*";"*";"*";"*";"*";"*"
"5";"57";" 8.77";"-4.645";"*ano_2024";"0.03114080"
"8";"71";"11.27";"-3.441";"*tipo_proc_apelação_cível";"0.06358536"
"0";"12";" 0.00";"-2.841";"*ori_canoas";"0.09190387"
"0";"10";" 0.00";"-2.345";"*cod_10236451";"0.12567504"
"2";"26";" 7.69";"-2.215";"*rel_sandra_brisolara_medeiros";"0.13668511"
"0";" 9";" 0.00";"-2.101";"*ori_gravataí";"0.14722203"
"**";"classe";"2";"**";"";""
"****";"29";"224";"12.95";"****";""
"0";"56";"0.00";"-11.104";"agravo_de_instrumento";"0.0008612902"
"0";"46";"0.00";" -8.609";"decisão";"0.0033451856"
"0";"46";"0.00";" -8.609";"familiar";"0.0033451856"
"5";"90";"5.56";" -7.292";"criança";"0.0069266226"
"0";"38";"0.00";" -6.806";"dever";"0.0090859942"
"3";"70";"4.29";" -6.776";"acolhimento_institucional";"0.0092373306"
"0";"28";"0.00";" -4.759";"família";"0.0291459107"
"0";"27";"0.00";" -4.566";"materno";"0.0326180270"
"0";"26";"0.00";" -4.374";"adolescente";"0.0364824417"
"0";"24";"0.00";" -3.998";"colocação";"0.0455667655"
"0";"22";"0.00";" -3.628";"avô";"0.0568106506"
"0";"21";"0.00";" -3.446";"art";"0.0633991394"
"0";"21";"0.00";" -3.446";"assegurar";"0.0633991394"
"1";"29";"3.45";" -2.667";"genitor";"0.1024766051"
"0";"16";"0.00";" -2.563";"proteção";"0.1094237139"
"0";"15";"0.00";" -2.391";"constituição_federal";"0.1220455120"
"0";"15";"0.00";" -2.391";"prever";"0.1220455120"
"0";"15";"0.00";" -2.391";"origem";"0.1220455120"
"0";"14";"0.00";" -2.221";"visita";"0.1361576640"
"0";"14";"0.00";" -2.221";"demonstrar";"0.1361576640"
"0";"14";"0.00";" -2.221";"agravante";"0.1361576640"
"0";"13";"0.00";" -2.052";"forma";"0.1519616138"
"0";"13";"0.00";" -2.052";"suspensão";"0.1519616138"
"0";"13";"0.00";" -2.052";"acolhimento";"0.1519616138"
"0";"13";"0.00";" -2.052";"agravar";"0.1519616138"
"0";"13";"0.00";" -2.052";"contexto";"0.1519616138"
"0";"13";"0.00";" -2.052";"pretensão";"0.1519616138"
"*****";"*";"*";"*";"*";"*"
"20";"185";"10.81";"-4.300";"a";"0.03811300"
" 7";" 93";" 7.53";"-4.144";"ser";"0.04177543"
" 3";" 53";" 5.66";"-3.270";"se";"0.07054859"
"*";"*";"*";"*";"*";"*"
"1";"147";"0.68";"-57.089";"*tipo_proc_agravo_de_instrumento";"4.164560e-14"
"0";" 57";"0.00";"-11.370";"*rel_luiz_felipe_brasil_santos";"7.463007e-04"
"1";" 57";"1.75";" -8.497";"*ano_2024";"3.556449e-03"
"0";" 31";"0.00";" -5.351";"*ano_2022";"2.071319e-02"
"0";" 29";"0.00";" -4.954";"*ori_porto_alegre";"2.602715e-02"
"1";" 40";"2.50";" -4.715";"*ori_outra";"2.989913e-02"
"1";" 37";"2.70";" -4.127";"*rel_mauro_caum_gonçalves";"4.221525e-02"
"0";" 21";"0.00";" -3.446";"*ano_2018";"6.339914e-02"
"0";" 13";"0.00";" -2.052";"*ori_farroupilha";"1.519616e-01"
"**";"classe";"3";"**";"";""
"****";"30";"224";"13.39";"****";""
"0";"53";"0.00";"-10.736";"eca";"0.001050645"
"2";"70";"2.86";" -9.744";"acolhimento_institucional";"0.001799330"
"0";"48";"0.00";" -9.447";"ação";"0.002114892"
"0";"45";"0.00";" -8.708";"destituição";"0.003167866"
"2";"66";"3.03";" -8.662";"poder_familiar";"0.003248314"
"5";"90";"5.56";" -7.967";"criança";"0.004763923"
"0";"41";"0.00";" -7.761";"direito";"0.005339557"
"2";"56";"3.57";" -6.209";"agravo_de_instrumento";"0.012707420"
"0";"32";"0.00";" -5.773";"caso";"0.016272416"
"1";"38";"2.63";" -4.569";"família_substituta";"0.032555907"
"0";"25";"0.00";" -4.352";"melhor_interesse";"0.036972996"
"1";"36";"2.78";" -4.167";"manter";"0.041221357"
"3";"56";"5.36";" -4.157";"convivência";"0.041470100"
"0";"24";"0.00";" -4.157";"colocação";"0.041470100"
"0";"23";"0.00";" -3.964";"medida";"0.046491774"
"0";"21";"0.00";" -3.583";"art";"0.058360892"
"0";"21";"0.00";" -3.583";"assegurar";"0.058360892"
"0";"20";"0.00";" -3.396";"prevalência";"0.065354819"
"0";"20";"0.00";" -3.396";"medida_de_proteção";"0.065354819"
"0";"16";"0.00";" -2.665";"medida_protetiva";"0.102606716"
"0";"15";"0.00";" -2.486";"constituição_federal";"0.114858561"
"0";"15";"0.00";" -2.486";"prever";"0.114858561"
"1";"27";"3.70";" -2.485";"adoção";"0.114951446"
"3";"46";"6.52";" -2.356";"familiar";"0.124785150"
"1";"26";"3.85";" -2.311";"adolescente";"0.128445493"
"0";"14";"0.00";" -2.309";"visita";"0.128603744"
