"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6"
"criança";9,031;-7,292;-7,967;-0,178;0,701;1,526
"acolhimento_institucional";-0,457;-6,776;-9,744;-0,025;1,143;18,414
"poder_familiar";-9,379;0,404;-8,662;-0,13;4,534;8,969
"convivência";2,239;-0,013;-4,157;-2,515;2,991;0,008
"agravo_de_instrumento";-0,249;-11,104;-6,209;-4,157;0,01;42,808
"infante";-0,498;0,379;-1,67;-1,67;1,191;1,533
"decisão";-0,032;-8,609;-1,101;-6,281;-4,773;51,671
"familiar";13,469;-8,609;-2,356;-1,101;-0,194;2,028
"menor";-7,54;8,869;-0,006;-4,083;3,03;0,073
"eca";11,384;0,004;-10,736;-5,538;0,103;1,19
"direito";36,363;-0,025;-7,761;-3,137;-0,949;-0,689
"ação";-1,376;-0,011;-9,447;-1,348;0,076;18
"destituição";-12,617;4,299;-8,708;-2,196;5,16;9,49
"desprover";-0,269;2,399;0,162;-1,323;-7,239;4,931
"manter";-1,484;25,614;-4,167;-2,271;-0,017;0,005
"guarda";-9,61;8,372;0,009;-0,193;10,432;-4,184
"dever";41,806;-6,806;-1,193;-1,193;-1,508;-0,929
"filho";-9,294;-1,925;1,561;25,318;-1,032;-0,064
"família_substituta";3,467;2,668;-4,569;-2,608;-4,696;3,73
"adolescente";19,762;-4,374;-2,311;-0,824;-0,705;0,089
"negligência";-0,453;3,702;-0,267;-2,84;0,249;0,165
"situação";-3,081;1,403;7,103;-1,067;6,955;-8,772
"caso";-1,99;-0,007;-5,773;-1,642;-0,626;24,436
"genitor";-7,464;-2,667;0,425;-5,151;9,755;5,091
"manutenção";2,082;-0,51;-0,617;-1,794;-1,863;4,601
"família";38,491;-4,759;-1,078;-2,661;-4,262;0,003
"materno";-6,878;-4,566;0,695;0,695;20,172;-1,572
"adoção";-4,376;21,044;-2,485;-2,485;-0,144;1,277
"art";43,735;-3,446;-3,583;-3,583;0,043;-2,826
"interesse";-0,004;2,043;0,022;-2,661;-0,217;0,279
"avô";-1,385;-3,628;0,001;0,482;18,019;-3,149
"princípio";4,061;1,484;-1,973;-4,157;-3,279;2,432
"melhor_interesse";-0,1;1,242;-4,352;-2,14;-1,733;11,443
"família_extensa";-0,474;10,844;-1,808;-1,808;3,024;-1,833
"cuidado";-1,998;-0,611;2,73;-0,047;4,165;-1,111
"auto";-3,85;-0,022;-0,047;2,73;-1,733;3,624
"assegurar";80,719;-3,446;-3,583;-1,488;-4,885;-4,9
"pedido";-2,361;-1,087;-1,183;-3,21;2,898;8,835
"medida";4,655;-1,682;-3,964;0,353;-1,354;1,448
"colocação";6,624;-3,998;-4,157;-0,593;-5,667;12,725
"agravo";4,285;-1,394;0,63;-0,042;0,151;-3,052
"recurso";-0,677;-0,949;0,181;-3,027;-0,008;6,842
"prevalência";-0,16;52,797;-3,396;-3,396;-4,63;-0,246
"genitora";-1,385;0,01;0,001;11,098;-5,143;0,097
"condição";-5,743;0,449;-0,003;20,002;-1,354;-0,71
"forma";1,434;-2,052;3,593;1,116;-2,909;-0,626
"sentença";-0,16;20,02;-1,334;0,049;0,102;-7,147
"mãe";-1,674;5,122;0,426;8,633;-3,632;-3,116
"medida_de_proteção";-0,16;0,082;-3,396;-3,396;2,421;2,828
"visita";-0,161;-2,221;-2,309;2,966;0,168;1,004
"acolher";-0,677;0,24;-1,036;-1,036;-0,54;6,842
"medida_protetiva";-1,674;20,991;-2,665;-2,665;-0,289;0,417
"idade";0,336;0,361;-0,895;7,607;-0,408;-3,462
"ano";-0,266;0,002;-0,627;9,812;-0,186;-1,093
"vida";0,931;-0,917;-0,953;0,057;1,087;-0,207
"suspensão";-0,079;-2,052;0,047;-2,134;-0,906;10,191
"exercer";-1,674;-0,003;-0,012;13,69;-0,289;-1,351
"constituição_federal";60,523;-2,391;-2,486;-0,627;-3,389;-5,232
"apelação_cível";-1,039;3,89;-2,134;-0,387;12,741;-4,491
"acolhimento";-0,079;-2,052;0,047;-0,387;12,741;-2,118
"saúde";0,122;-0,606;4,705;0,473;-0,859;-1,325
"proteção";11,577;-2,563;2,001;-2,665;-1,493;-0,313
"prever";71,756;-2,391;-2,486;-2,486;-3,389;-5,232
"demonstrar";-1,244;-2,221;17,253;-2,309;-0,101;0,13
"agravar";-3,092;-2,052;-0,387;-2,134;-2,909;34,2
"vínculo";-0,266;0,002;5,511;0;0,958;-5,232
"situação_de_risco";-2,841;15,446;-0,28;-0,28;-0,727;0,001
"preliminar";-2,345;70,383;-1,619;-1,619;-2,207;-3,407
"possibilidade";-2,345;-1,557;-1,619;-0,104;0,049;11,67
"origem";8,649;-2,391;5,511;-2,486;-3,389;-0,18
"contexto";-3,092;-2,052;7,477;0,047;-0,039;0,288
"artigo";35,857;0,156;-1,961;-1,961;-2,673;-4,126
"aplicação";3,75;0,073;-2,134;0,047;-2,909;0,288
"apelante";-3,602;2,685;0;22,11;-1,291;-5,232
"agravante";-3,346;-2,221;0,01;17,253;0,168;-0,85
"absoluto";17,834;-1,234;-1,283;-0,006;-0,139;-2,7
"violência";0,509;-1,075;11,924;-1,117;-1,523;-0,411
"verificar";-2,841;23,175;-1,961;-0,28;-0,727;0,001
"público";1,417;-0,028;0,63;-0,042;-1,977;-0,028
"pretensão";-0,079;-2,052;-2,134;0,047;1,713;1,441
"juízo";-3,092;-0,338;1,116;-0,387;-2,909;10,191
"estatuto_da_criança_e_do_adolescente";0,249;-1,234;-1,283;-0,006;0,332;0,751
"encontrar";-1,244;3,235;-0,503;0,831;3,479;-4,86
"citação";-0,912;27,386;-0,63;-0,63;-0,859;-1,325
"biológico";-2,841;23,175;-1,961;-0,28;-0,005;-0,426
"social";-0,843;-0,239;1,473;-1,961;5,188;-0,426
"restar";-0,657;2,107;0,229;-1,789;2,89;-1,493
"proteção_integral";35,857;-1,886;-0,28;-1,961;-0,727;-4,126
"prejuízo";-0,912;0,525;4,705;0,473;-0,859;-1,325
"pai";-0,657;-0,153;0,229;5,262;-2,439;0,046
"elemento";-2,592;-1,72;0,229;0,229;0,005;2,728
"descabimento";0;0,281;-1,789;-1,789;0,782;0,871
"apresentar";-0,657;5,629;16,89;-1,789;-2,439;-3,765
"sociedade";41,852;-1,394;-1,45;-1,45;-1,977;-3,052
"rejeitar";-1,859;55,785;-1,283;-1,283;-1,749;-2,7
"reforma";-2,592;-1,72;-1,789;-1,789;-2,439;35,546
"prioridade";18,178;-0,606;-0,63;-0,63;-0,859;-1,325
"precedente";-0,912;0,525;-0,63;-0,63;-0,859;5,595
"pleito";-0,023;0,156;-1,961;-1,961;2,236;0,528
"paterno";-0,324;-1,394;-1,45;-1,45;9,488;0,39
"opressão";2,044;-1,234;9,585;-1,283;-1,749;-0,651
"julgar";-0,187;-0,001;-1,283;-1,283;-0,139;6,449
"jovem";13,018;-0,761;-0,791;-0,791;0,024;-1,664
"inviabilidade";-0,843;4,676;-0,28;-1,961;-0,005;0,528
"imediato";1,915;-1,886;-0,28;-0,28;-2,673;4,432
"família_natural";1,915;4,676;-1,961;-0,28;-0,727;-0,426
"exploração";0,931;-0,917;7,123;-0,953;-1,3;-0,207
"discriminação";0,01;-0,761;9,577;-0,791;-1,078;-0,057
"determinar";-2,841;-1,886;-0,28;-1,961;-0,727;23,648
"determinado";-0,657;-1,72;-1,789;5,262;-2,439;5,617
"desacolhimento";-2,841;-1,886;-1,961;-1,961;38,32;-0,426
"crueldade";0,931;-0,917;7,123;-0,953;-1,3;-0,207
"provimento";-0,483;-1,557;40,036;-1,619;-0,4;-3,407
"nascimento";-2,345;41,758;-1,619;-1,619;-0,4;-1,197
"momento";-2,592;-1,72;0,229;5,262;0,005;0,046
