"";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol"
"1";2;4;7;8;10;12;14;17;19
"2";2;4;7;9;9;9;9;9;9
"3";2;4;7;8;10;12;14;17;19
"4";2;4;7;8;10;12;14;16;16
"5";2;4;7;8;10;12;15;15;15
"6";2;4;7;8;10;12;14;17;19
"7";2;4;7;8;10;12;14;17;19
"8";2;4;7;8;10;12;14;17;18
"9";2;4;7;8;10;12;14;17;19
"10";2;4;7;8;10;12;14;17;19
"11";2;4;7;8;10;12;14;17;19
"12";2;4;7;8;10;12;14;17;19
"13";2;4;7;8;10;12;14;17;18
"14";2;4;7;9;9;9;9;9;9
"15";2;4;7;9;9;9;9;9;9
"16";2;4;7;8;10;12;14;17;19
"17";2;4;7;8;10;12;14;16;16
"18";2;4;7;8;10;12;15;15;15
"19";2;4;7;8;10;12;15;15;15
"20";2;4;7;8;10;12;14;16;16
"21";2;4;7;9;9;9;9;9;9
"22";2;4;7;8;10;12;14;16;16
"23";2;4;7;8;10;12;15;15;15
"24";2;4;7;8;10;12;14;17;18
"25";2;4;6;6;6;6;6;6;6
"26";2;4;6;6;6;6;6;6;6
"27";2;4;6;6;6;6;6;6;6
"28";2;4;7;8;10;12;14;17;19
"29";2;4;6;6;6;6;6;6;6
"30";2;4;7;8;10;12;14;17;18
"31";2;4;7;9;9;9;9;9;9
"32";2;4;7;8;10;12;14;17;18
"33";2;4;7;8;10;12;14;17;19
"34";2;4;7;8;10;12;14;17;19
"35";2;4;7;8;10;12;14;17;19
"36";2;4;7;8;10;12;14;17;19
"37";2;4;7;8;10;12;15;15;15
"38";2;4;7;8;10;12;14;17;18
"39";2;4;7;8;11;11;11;11;11
"40";2;4;7;8;10;12;14;17;19
"41";2;4;7;8;10;12;14;17;19
"42";2;4;6;6;6;6;6;6;6
"43";2;4;7;8;10;12;14;17;19
"44";2;4;6;6;6;6;6;6;6
"45";2;4;7;8;10;12;14;17;19
"46";2;4;7;8;10;13;13;13;13
"47";2;4;7;8;10;12;15;15;15
"48";2;4;7;8;10;12;15;15;15
"49";2;4;7;8;10;12;14;17;19
"50";2;4;7;8;10;12;14;16;16
"51";2;4;7;8;10;12;15;15;15
"52";2;4;7;8;10;12;15;15;15
"53";2;4;7;8;10;12;14;16;16
"54";2;4;7;8;10;12;15;15;15
"55";2;4;7;8;10;12;14;17;18
"56";2;4;7;8;10;12;14;16;16
"57";2;4;7;8;10;12;14;16;16
"58";2;4;7;8;10;12;14;16;16
"59";2;4;7;8;10;12;14;16;16
"60";2;4;7;8;10;12;14;17;19
"61";2;4;7;8;10;12;14;16;16
"62";2;4;7;8;10;12;14;16;16
"63";2;4;7;8;10;12;14;17;18
"64";2;4;7;8;10;12;15;15;15
"65";2;4;6;6;6;6;6;6;6
"66";2;4;7;8;10;12;14;17;19
"67";2;4;6;6;6;6;6;6;6
"68";2;4;7;8;10;12;14;17;19
"69";2;4;7;8;10;12;14;17;18
"70";2;4;7;8;11;11;11;11;11
"71";2;4;6;6;6;6;6;6;6
"72";2;4;7;8;10;12;14;17;19
"73";2;4;7;8;10;12;14;17;18
"74";2;4;6;6;6;6;6;6;6
"75";2;4;6;6;6;6;6;6;6
"76";2;4;6;6;6;6;6;6;6
"77";2;4;7;8;10;12;14;17;19
"78";2;4;6;6;6;6;6;6;6
"79";2;4;7;8;10;12;14;17;18
"80";2;4;7;8;10;12;14;17;19
"81";3;3;3;3;3;3;3;3;3
"82";3;3;3;3;3;3;3;3;3
"83";2;4;7;8;10;12;14;17;19
"84";2;4;7;9;9;9;9;9;9
"85";3;3;3;3;3;3;3;3;3
"86";2;4;7;9;9;9;9;9;9
"87";3;3;3;3;3;3;3;3;3
"88";2;4;7;8;10;12;14;17;19
"89";2;4;7;9;9;9;9;9;9
"90";3;3;3;3;3;3;3;3;3
"91";2;4;7;9;9;9;9;9;9
"92";2;4;7;8;10;12;14;17;19
"93";2;4;7;8;10;12;14;17;19
"94";2;4;7;9;9;9;9;9;9
"95";2;4;7;8;10;12;14;17;19
"96";2;4;7;8;10;12;14;16;16
"97";3;3;3;3;3;3;3;3;3
"98";3;3;3;3;3;3;3;3;3
"99";2;4;7;8;10;12;14;16;16
"100";2;4;7;9;9;9;9;9;9
"101";3;3;3;3;3;3;3;3;3
"102";2;4;7;8;10;12;15;15;15
"103";2;4;7;8;10;12;15;15;15
"104";2;4;7;8;10;12;14;17;18
"105";2;4;7;8;10;12;14;17;19
"106";2;4;7;9;9;9;9;9;9
"107";2;4;7;8;10;12;14;17;19
"108";2;4;7;9;9;9;9;9;9
"109";3;3;3;3;3;3;3;3;3
"110";2;4;7;8;10;12;14;17;18
"111";2;4;7;8;11;11;11;11;11
"112";2;4;7;8;10;12;14;17;18
"113";2;4;7;8;10;12;15;15;15
"114";2;4;7;9;9;9;9;9;9
"115";3;3;3;3;3;3;3;3;3
"116";2;4;7;9;9;9;9;9;9
"117";2;4;7;8;10;12;15;15;15
"118";2;4;7;8;10;12;14;17;19
"119";2;4;7;8;10;12;14;17;18
"120";2;4;7;8;10;12;14;17;19
"121";2;4;7;8;10;12;14;17;18
"122";2;4;7;9;9;9;9;9;9
"123";2;4;7;9;9;9;9;9;9
"124";3;3;3;3;3;3;3;3;3
"125";2;4;7;8;10;12;15;15;15
"126";2;4;7;8;10;12;15;15;15
"127";2;4;7;8;10;12;14;17;18
"128";2;4;7;9;9;9;9;9;9
"129";3;3;3;3;3;3;3;3;3
"130";2;4;7;8;10;12;15;15;15
"131";2;4;7;8;10;12;15;15;15
"132";2;4;7;8;10;12;14;17;19
"133";2;4;7;8;10;12;14;16;16
"134";2;4;7;8;10;12;14;17;19
"135";2;4;7;9;9;9;9;9;9
"136";2;4;6;6;6;6;6;6;6
"137";2;4;7;8;10;12;14;17;19
"138";2;4;7;9;9;9;9;9;9
"139";3;3;3;3;3;3;3;3;3
"140";2;4;7;8;10;12;15;15;15
"141";2;4;7;8;10;13;13;13;13
"142";2;4;7;8;10;12;14;17;19
"143";2;4;7;8;10;12;14;17;19
"144";2;4;7;8;10;12;14;17;19
"145";2;4;7;8;10;12;14;17;18
"146";2;4;7;8;10;12;14;17;19
"147";2;4;7;8;10;12;15;15;15
"148";2;4;7;8;10;12;14;17;19
"149";2;4;7;8;10;12;14;16;16
"150";2;4;7;8;10;12;15;15;15
"151";2;4;6;6;6;6;6;6;6
"152";2;4;7;8;10;12;14;17;19
"153";2;4;7;9;9;9;9;9;9
"154";2;4;6;6;6;6;6;6;6
"155";2;4;6;6;6;6;6;6;6
"156";2;4;7;9;9;9;9;9;9
"157";2;4;7;8;10;12;14;16;16
"158";2;4;7;8;10;12;14;16;16
"159";2;4;6;6;6;6;6;6;6
"160";2;4;7;8;10;12;14;17;19
"161";2;4;7;8;10;12;14;17;19
"162";2;4;7;9;9;9;9;9;9
"163";2;4;7;9;9;9;9;9;9
"164";2;4;7;8;10;12;14;17;19
"165";2;4;7;9;9;9;9;9;9
"166";2;4;7;8;10;12;14;16;16
"167";2;4;7;8;10;12;14;17;19
"168";2;4;7;8;10;12;14;17;18
"169";2;4;7;8;10;12;14;17;18
"170";2;4;7;8;10;12;15;15;15
"171";2;4;7;8;10;12;14;17;18
"172";2;4;7;8;10;12;15;15;15
"173";2;4;7;8;11;11;11;11;11
"174";2;4;7;8;11;11;11;11;11
"175";2;5;5;5;5;5;5;5;5
"176";2;4;7;8;10;12;14;16;16
"177";2;4;7;8;10;13;13;13;13
"178";2;4;7;8;11;11;11;11;11
"179";2;4;7;8;11;11;11;11;11
"180";2;4;7;8;11;11;11;11;11
"181";2;5;5;5;5;5;5;5;5
"182";2;4;7;8;10;12;14;16;16
"183";2;4;7;8;10;13;13;13;13
"184";2;4;7;8;11;11;11;11;11
"185";2;4;7;8;10;12;14;16;16
"186";2;4;7;8;10;12;14;16;16
"187";2;4;7;8;10;12;14;17;19
"188";2;4;7;9;9;9;9;9;9
"189";2;4;7;9;9;9;9;9;9
"190";2;4;7;8;10;12;14;17;19
"191";2;4;7;8;10;12;14;17;19
"192";2;4;7;8;10;12;14;17;18
"193";2;4;7;9;9;9;9;9;9
"194";2;4;7;8;10;12;14;17;18
"195";2;4;7;8;10;12;15;15;15
"196";2;4;7;9;9;9;9;9;9
"197";2;4;7;8;10;12;15;15;15
"198";2;4;7;8;10;12;14;17;18
"199";2;4;7;8;10;12;14;17;18
"200";2;4;7;8;10;12;14;17;18
"201";2;4;7;8;10;12;14;17;18
"202";2;4;7;9;9;9;9;9;9
"203";2;4;7;8;10;12;15;15;15
"204";2;4;7;8;10;12;14;17;19
"205";2;4;7;8;10;12;14;16;16
"206";2;4;7;9;9;9;9;9;9
"207";2;4;7;8;10;12;14;17;19
"208";2;4;7;8;11;11;11;11;11
"209";2;4;7;8;11;11;11;11;11
"210";2;4;7;8;10;12;14;16;16
"211";2;4;7;8;10;12;14;16;16
"212";3;3;3;3;3;3;3;3;3
"213";3;3;3;3;3;3;3;3;3
"214";2;5;5;5;5;5;5;5;5
"215";2;4;7;8;11;11;11;11;11
"216";2;4;7;8;11;11;11;11;11
"217";2;4;7;8;11;11;11;11;11
"218";2;4;7;8;10;12;14;17;18
"219";2;4;7;9;9;9;9;9;9
"220";2;4;7;9;9;9;9;9;9
"221";2;4;7;8;10;12;15;15;15
"222";2;4;7;8;11;11;11;11;11
"223";2;4;7;8;11;11;11;11;11
"224";2;4;7;8;11;11;11;11;11
"225";2;4;7;8;11;11;11;11;11
"226";2;4;7;8;10;12;14;17;19
"227";2;4;7;8;10;12;14;17;19
"228";2;4;7;8;10;12;14;17;18
"229";2;4;7;9;9;9;9;9;9
"230";2;5;5;5;5;5;5;5;5
"231";2;4;7;8;11;11;11;11;11
"232";2;4;7;8;11;11;11;11;11
"233";2;4;7;8;11;11;11;11;11
"234";2;4;7;8;11;11;11;11;11
"235";2;4;7;8;10;12;14;17;19
"236";2;4;7;8;10;12;14;17;18
"237";2;4;7;9;9;9;9;9;9
"238";2;4;7;8;10;12;14;16;16
"239";2;4;7;8;10;12;14;17;18
"240";2;4;7;8;10;12;14;16;16
"241";2;4;7;8;10;13;13;13;13
"242";2;4;7;8;10;12;14;16;16
"243";2;4;7;8;10;12;15;15;15
"244";2;5;5;5;5;5;5;5;5
"245";2;4;7;8;11;11;11;11;11
"246";2;4;7;8;11;11;11;11;11
"247";2;4;7;8;11;11;11;11;11
"248";2;4;7;8;11;11;11;11;11
"249";2;4;7;9;9;9;9;9;9
"250";2;4;7;9;9;9;9;9;9
"251";2;4;7;9;9;9;9;9;9
"252";3;3;3;3;3;3;3;3;3
"253";2;4;7;9;9;9;9;9;9
"254";2;4;7;8;10;12;14;17;18
"255";2;4;7;8;10;12;14;17;18
"256";2;4;7;8;10;12;14;17;18
"257";2;4;7;8;10;12;14;17;18
"258";2;4;7;9;9;9;9;9;9
"259";2;4;7;8;10;12;14;17;18
"260";2;4;7;8;10;12;15;15;15
"261";2;4;7;9;9;9;9;9;9
"262";2;4;7;8;10;12;14;17;18
"263";2;4;7;8;10;12;14;16;16
"264";2;4;7;8;10;12;14;17;18
"265";2;4;7;8;10;12;14;17;18
"266";2;4;7;8;11;11;11;11;11
"267";2;4;7;8;11;11;11;11;11
"268";2;4;7;8;11;11;11;11;11
