de;41;29;30;30;39;53
a;32;20;30;29;31;43
em;29;19;23;21;34;42
o;29;22;21;20;31;41
que;29;23;24;26;25;40
ser;33;7;15;12;10;16
por;13;16;13;11;18;19
com;13;14;10;15;15;19
ao;10;8;7;7;7;14
não;9;12;5;16;17;12
para;9;7;7;7;6;17
se;9;3;3;14;15;9
ir;6;8;5;5;3;10
sua;9;4;3;4;5;6
estar;5;6;4;9;5;4
seu;7;3;2;4;3;5
haver;2;4;3;3;5;2
como;4;1;5;2;5;1
todo;2;2;2;1;1;1
poder;5;3;4;1;3;1
um;5;1;3;4;1;5
ter;0;1;2;3;6;4
ele;1;0;5;2;1;1
desde;1;9;1;2;1;3
sob;2;2;3;1;3;2
qualquer;4;3;0;1;2;0
qual;2;4;1;4;1;3
estado;10;0;0;0;1;1
uma;1;0;3;2;4;1
outro;2;2;1;2;1;3
fim;3;0;0;1;2;4
sem;3;0;2;3;2;0
fazer;1;3;1;2;0;1
entre;0;1;1;2;5;0
mais;1;0;2;3;2;0
c;0;0;0;1;0;2
quanto;1;0;0;3;2;1
i;2;2;0;0;0;3
após;0;1;1;1;2;1
ver;2;0;0;0;1;2
tal;0;0;1;0;3;1
sobre;1;1;2;0;0;1
lhe;3;0;1;0;0;0
dois;2;1;0;2;1;0
ambos;0;1;2;0;2;0
parte;1;1;1;1;0;0
ela;0;1;3;1;0;0
v;0;0;2;2;0;0
três;1;1;0;0;1;0
tanto;0;0;1;2;1;0
segundo;1;0;1;0;0;2
primeiro;1;0;1;0;0;1
isso;2;0;0;1;1;0
esta;2;0;0;1;0;1
contra;1;0;0;2;0;1
terceiro;0;2;0;0;1;0
tempo;0;0;0;2;1;0
somente;1;0;0;0;1;1
essa;0;2;1;0;0;0
apesar;0;0;0;1;1;1
