"";"V1"
"1";6
"2";1
"3";6
"4";4
"5";3
"6";6
"7";6
"8";5
"9";6
"10";6
"11";6
"12";6
"13";5
"14";1
"15";1
"16";6
"17";4
"18";3
"19";3
"20";4
"21";1
"22";4
"23";3
"24";5
"25";0
"26";0
"27";0
"28";6
"29";0
"30";5
"31";1
"32";5
"33";6
"34";6
"35";6
"36";6
"37";3
"38";5
"39";2
"40";6
"41";6
"42";0
"43";6
"44";0
"45";6
"46";0
"47";3
"48";3
"49";6
"50";4
"51";3
"52";3
"53";4
"54";3
"55";5
"56";4
"57";4
"58";4
"59";4
"60";6
"61";4
"62";4
"63";5
"64";3
"65";0
"66";6
"67";0
"68";6
"69";5
"70";2
"71";0
"72";6
"73";5
"74";0
"75";0
"76";0
"77";6
"78";0
"79";5
"80";6
"81";0
"82";0
"83";6
"84";1
"85";0
"86";1
"87";0
"88";6
"89";1
"90";0
"91";1
"92";6
"93";6
"94";1
"95";6
"96";4
"97";0
"98";0
"99";4
"100";1
"101";0
"102";3
"103";3
"104";5
"105";6
"106";1
"107";6
"108";1
"109";0
"110";5
"111";2
"112";5
"113";3
"114";1
"115";0
"116";1
"117";3
"118";6
"119";5
"120";6
"121";5
"122";1
"123";1
"124";0
"125";3
"126";3
"127";5
"128";1
"129";0
"130";3
"131";3
"132";6
"133";4
"134";6
"135";1
"136";0
"137";6
"138";1
"139";0
"140";3
"141";0
"142";6
"143";6
"144";6
"145";5
"146";6
"147";3
"148";6
"149";4
"150";3
"151";0
"152";6
"153";1
"154";0
"155";0
"156";1
"157";4
"158";4
"159";0
"160";6
"161";6
"162";1
"163";1
"164";6
"165";1
"166";4
"167";6
"168";5
"169";5
"170";3
"171";5
"172";3
"173";2
"174";2
"175";0
"176";4
"177";0
"178";2
"179";2
"180";2
"181";0
"182";4
"183";0
"184";2
"185";4
"186";4
"187";6
"188";1
"189";1
"190";6
"191";6
"192";5
"193";1
"194";5
"195";3
"196";1
"197";3
"198";5
"199";5
"200";5
"201";5
"202";1
"203";3
"204";6
"205";4
"206";1
"207";6
"208";2
"209";2
"210";4
"211";4
"212";0
"213";0
"214";0
"215";2
"216";2
"217";2
"218";5
"219";1
"220";1
"221";3
"222";2
"223";2
"224";2
"225";2
"226";6
"227";6
"228";5
"229";1
"230";0
"231";2
"232";2
"233";2
"234";2
"235";6
"236";5
"237";1
"238";4
"239";5
"240";4
"241";0
"242";4
"243";3
"244";0
"245";2
"246";2
"247";2
"248";2
"249";1
"250";1
"251";1
"252";0
"253";1
"254";5
"255";5
"256";5
"257";5
"258";1
"259";5
"260";3
"261";1
"262";5
"263";4
"264";5
"265";5
"266";2
"267";2
"268";2
