"";"X";"V1"
"1";1;4
"2";2;3
"3";3;1
"4";4;1
"5";5;4
"6";6;4
"7";7;2
"8";8;4
"9";9;0
"10";10;3
"11";11;2
"12";12;2
"13";13;4
"14";14;1
"15";15;4
"16";16;3
"17";17;0
"18";18;2
"19";19;3
"20";20;1
"21";21;4
"22";22;4
"23";23;3
"24";24;4
"25";25;4
"26";26;1
"27";27;4
"28";28;4
"29";29;1
"30";30;4
"31";31;4
"32";32;1
"33";33;4
"34";34;3
"35";35;3
"36";36;2
"37";37;2
"38";38;0
"39";39;0
"40";40;0
"41";41;3
"42";42;1
"43";43;3
"44";44;0
"45";45;0
"46";46;0
"47";47;0
"48";48;3
"49";49;2
"50";50;2
"51";51;3
"52";52;3
"53";53;3
"54";54;3
"55";55;3
"56";56;3
"57";57;3
"58";58;4
"59";59;1
"60";60;0
"61";61;0
"62";62;4
"63";63;4
"64";64;4
"65";65;1
"66";66;3
"67";67;0
"68";68;1
"69";69;4
"70";70;4
"71";71;3
"72";72;4
"73";73;4
"74";74;3
"75";75;1
"76";76;4
"77";77;3
"78";78;2
"79";79;2
"80";80;1
"81";81;4
"82";82;3
"83";83;1
"84";84;4
"85";85;4
"86";86;1
"87";87;0
"88";88;4
"89";89;0
"90";90;4
"91";91;1
"92";92;4
"93";93;3
"94";94;3
"95";95;2
"96";96;3
"97";97;1
"98";98;4
"99";99;2
"100";100;2
"101";101;3
"102";102;2
"103";103;1
"104";104;2
"105";105;3
"106";106;3
"107";107;3
"108";108;3
"109";109;3
"110";110;3
"111";111;2
"112";112;3
"113";113;2
"114";114;3
"115";115;3
"116";116;3
"117";117;1
"118";118;0
"119";119;4
"120";120;4
"121";121;0
"122";122;1
"123";123;4
"124";124;4
"125";125;2
"126";126;4
"127";127;1
"128";128;0
"129";129;3
"130";130;0
"131";131;1
"132";132;4
"133";133;4
"134";134;4
"135";135;2
"136";136;4
"137";137;2
"138";138;1
"139";139;0
"140";140;0
"141";141;4
"142";142;4
"143";143;4
"144";144;1
"145";145;0
"146";146;4
"147";147;4
"148";148;0
"149";149;1
"150";150;2
"151";151;2
"152";152;2
"153";153;3
"154";154;2
"155";155;2
"156";156;1
"157";157;4
"158";158;0
"159";159;0
"160";160;0
"161";161;4
"162";162;3
"163";163;4
"164";164;1
"165";165;4
"166";166;0
"167";167;0
"168";168;3
"169";169;1
"170";170;4
"171";171;0
"172";172;3
"173";173;3
"174";174;1
"175";175;4
"176";176;0
"177";177;0
"178";178;0
"179";179;1
"180";180;4
"181";181;0
"182";182;0
"183";183;3
"184";184;3
"185";185;1
"186";186;4
"187";187;0
"188";188;0
"189";189;0
"190";190;3
"191";191;1
"192";192;4
"193";193;1
"194";194;4
"195";195;2
"196";196;0
"197";197;1
"198";198;4
"199";199;0
"200";200;0
"201";201;0
"202";202;2
"203";203;4
"204";204;1
"205";205;2
"206";206;2
"207";207;3
"208";208;2
"209";209;2
"210";210;2
"211";211;3
"212";212;1
"213";213;0
"214";214;3
"215";215;4
"216";216;2
"217";217;3
"218";218;1
"219";219;0
"220";220;0
"221";221;0
"222";222;0
"223";223;0
"224";224;2
"225";225;2
"226";226;1
"227";227;4
"228";228;2
"229";229;1
"230";230;3
"231";231;0
"232";232;3
"233";233;3
"234";234;2
"235";235;3
"236";236;1
"237";237;4
"238";238;0
"239";239;0
"240";240;3
"241";241;3
"242";242;2
"243";243;1
"244";244;4
"245";245;0
"246";246;0
"247";247;2
"248";248;3
"249";249;1
"250";250;4
"251";251;3
"252";252;2
"253";253;4
"254";254;1
"255";255;1
"256";256;0
"257";257;4
"258";258;1
"259";259;4
"260";260;4
"261";261;0
"262";262;0
"263";263;1
"264";264;4
"265";265;0
"266";266;0
"267";267;3
"268";268;3
"269";269;3
"270";270;4
"271";271;1
"272";272;4
"273";273;4
"274";274;0
"275";275;1
"276";276;4
"277";277;1
"278";278;1
"279";279;2
"280";280;3
"281";281;4
"282";282;0
"283";283;1
"284";284;1
"285";285;0
"286";286;4
"287";287;1
"288";288;4
"289";289;2
"290";290;0
"291";291;1
"292";292;0
"293";293;0
"294";294;0
"295";295;4
"296";296;2
"297";297;2
"298";298;4
"299";299;1
"300";300;4
"301";301;4
"302";302;3
"303";303;0
"304";304;1
"305";305;4
"306";306;3
"307";307;2
"308";308;4
"309";309;1
"310";310;4
"311";311;0
"312";312;3
"313";313;1
"314";314;4
"315";315;0
"316";316;3
"317";317;1
"318";318;1
"319";319;4
"320";320;3
"321";321;3
"322";322;3
"323";323;3
"324";324;1
"325";325;4
"326";326;0
"327";327;0
"328";328;0
"329";329;3
"330";330;2
"331";331;0
"332";332;1
"333";333;4
"334";334;0
"335";335;0
"336";336;0
"337";337;3
"338";338;2
"339";339;0
"340";340;1
"341";341;4
"342";342;3
"343";343;3
"344";344;3
"345";345;3
"346";346;3
"347";347;1
"348";348;1
"349";349;4
"350";350;2
"351";351;0
"352";352;1
"353";353;4
"354";354;4
"355";355;3
"356";356;0
"357";357;1
"358";358;1
"359";359;4
"360";360;3
"361";361;3
"362";362;0
"363";363;3
"364";364;1
"365";365;2
"366";366;2
"367";367;0
"368";368;2
"369";369;3
"370";370;2
"371";371;0
"372";372;2
"373";373;1
"374";374;4
"375";375;3
