"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"mass";"chi.distance";"inertie"
"familiar";-0,401279317543306;0,452357707201092;0,0276046517649213;-0,662918882451121;0,747301075873506;0,0456032596209724;0,642538698581953;0,356377054712391;0,00108424670565703;0,00318742476431938;0,00405051624612665;1,50838059198194e-05;0,0197945845004669;0,427230996494436;0,00361303275121506
"agravo";0,87090385853108;0,757726094209062;-0,111961699502265;0,750902585504487;0,653319511301138;-0,0965345701597056;0,748345528028279;0,247244269469603;0,00441020250211378;0,0162884138267969;0,0123299936306652;0,00026920140950048;0,0214752567693744;0,859181175999041;0,0158528690414521
"criança";-0,404700166973204;0,559304432664446;-0,135861868088309;-0,575179679678843;0,794910827017754;-0,193093534781706;0,533671978844029;0,444881313823139;0,0214467073328608;0,00244679327952402;0,00467333629726384;0,000275756447438955;0,0149393090569561;0,472782949878488;0,00333928990021744
"família";-0,52944669077853;0,221899361621366;1,23273233218204;-0,389343021114011;0,163179729596369;0,906523241709042;0,332253317054401;0,0254728163084676;0,642273866637132;0,00424004064770929;0,000744796538137358;0,0229859849164082;0,0151260504201681;0,783886523258803;0,00929462644053943
"instrumento";0,875515149747743;0,81087014502513;-0,120729409495557;0,729947644469206;0,67605083989927;-0,100656337134579;0,72402765453499;0,271063133259967;0,00490921220504118;0,0153162213232206;0,013137929403167;0,000291239619782373;0,0199813258636788;0,878115636649358;0,0154073420414766
"acolhimento";-0,531365874639617;1,29077097467689;-0,0392113528696938;-0,380521257128123;0,924345761348826;-0,0280799991113277;0,279534216367337;0,719922997007483;0,000542786625182164;0,00543081575188555;0,0320461699409967;2,95734098914621e-05;0,019234360410831;0,857712609199906;0,0141501596186728
"cível";1,69778007342277;-0,125289742697253;0,128522375683988;0,994458205439843;-0,0733872511717856;0,0752807345794177;0,995599172239614;0,00236642479174626;0,00203440296863872;0,0495212064144636;0,000269686611673806;0,000283782651117454;0,0171802054154995;1,45212763751535;0,0362274640818867
"institucional";-0,523570893010609;1,41192674989798;-0,179098706660137;-0,34525194004679;0,931049560076214;-0,118100866109512;0,237204504155821;0,752898242894603;0,00989725294957758;0,00476073998893317;0,034621653534679;0,000557068206469106;0,0173669467787115;0,91744418346799;0,0146178256152138
"convivência";-0,514110306056793;0,00394438255558121;0,693803513517263;-0,595357256295751;0,00456772943161392;0,803448114829971;0,606268378037758;1,5575800094788e-05;0,393716046162147;0,002714662441393;1,59794296164806e-07;0,00494397429417169;0,0102707749766573;0,563494231078377;0,0032612355117131
"julgar";2,01560619804051;-0,198615870573124;-0,00714591274827249;0,99517390858946;-0,0980634671684918;-0,00352818220496197;0,995775483459945;0,00422005357684941;4,46296320380078e-06;0,0637281309110483;0,000618796298721883;8,01005004014484e-07;0,0156862745098039;1,72381475199185;0,0466123497911328
"relator";2,17125892850523;-0,366538852399903;0,0110580530650752;0,98603598488697;-0,166456654975873;0,00502180467829339;0,987705605552802;0,0122852592179178;9,13522927969205e-06;0,0686686267226639;0,00195692940520145;1,78111707414035e-06;0,0145658263305322;1,86450469221053;0,0506363145261355
"câmara";2,17125892850523;-0,366538852399903;0,0110580530650752;0,98603598488697;-0,166456654975873;0,00502180467829339;0,987705605552802;0,0122852592179178;9,13522927969205e-06;0,0686686267226639;0,00195692940520145;1,78111707414035e-06;0,0145658263305322;1,86450469221053;0,0506363145261355
"rs";2,13806388731637;-0,330858181621156;0,00729351317673175;0,988231960060681;-0,152925565632177;0,00337112602908086;0,989652450759005;0,0103434427325465;4,10650844792378e-06;0,067438666239676;0,00161492133917964;7,84767772600116e-07;0,0147525676937442;1,83419264882232;0,0496315128228783
"tribunal";2,17125892850523;-0,366538852399903;0,0110580530650752;0,98603598488697;-0,166456654975873;0,00502180467829339;0,987705605552802;0,0122852592179178;9,13522927969205e-06;0,0686686267226639;0,00195692940520145;1,78111707414035e-06;0,0145658263305322;1,86450469221053;0,0506363145261355
"justiça";2,17125892850523;-0,366538852399903;0,0110580530650752;0,98603598488697;-0,166456654975873;0,00502180467829339;0,987705605552802;0,0122852592179178;9,13522927969205e-06;0,0686686267226639;0,00195692940520145;1,78111707414035e-06;0,0145658263305322;1,86450469221053;0,0506363145261355
"infante";-0,535711290839881;-0,0349648823475268;0,3813855876277;-0,813493459961282;-0,0530952093121559;0,579145309355364;0,845603751150758;0,00157220601238123;0,15282404283686;0,00353708958931837;1,50677568328743e-05;0,00179272227557578;0,0123249299719888;0,497179223770603;0,0030465646902415
