"V1";"V2";"V3";"V4";"V5";"V6"
"***";"nb classes";"4";"***";"";""
"**";"classe";"1";"**";"";""
"****";"86";"372";"23.12";"****";""
"0";"90";" 0.00";"-103.05";"acolhimento institucional";"3.261279e-24"
"4";"85";" 4.71";" -80.84";"poder familiar";"2.453196e-19"
"2";"67";" 2.99";" -68.22";"do poder";"1.464740e-16"
"2";"66";" 3.03";" -67.07";"do poder familiar";"2.617754e-16"
"0";"44";" 0.00";" -50.19";"destituição do";"1.397487e-12"
"0";"44";" 0.00";" -50.19";"destituição do poder";"1.397487e-12"
"0";"44";" 0.00";" -50.19";"destituição do poder familiar";"1.397487e-12"
"0";"40";" 0.00";" -45.61";"em que";"1.443397e-11"
"0";"38";" 0.00";" -43.32";"que a";"4.643924e-11"
"1";"37";" 2.70";" -38.00";"ação de";"7.071060e-10"
"3";"43";" 6.98";" -37.02";"da criança";"1.168385e-09"
"0";"32";" 0.00";" -36.46";"de acolhimento";"1.555834e-09"
"2";"39";" 5.13";" -36.31";"família substituta";"1.687175e-09"
"0";"31";" 0.00";" -35.32";"com a";"2.796482e-09"
"0";"29";" 0.00";" -33.04";"situação de";"9.045074e-09"
"0";"28";" 0.00";" -31.89";"família extensa";"1.627763e-08"
"0";"26";" 0.00";" -29.61";"medida de";"5.279447e-08"
"2";"33";" 6.06";" -29.52";"em família";"5.521239e-08"
"2";"33";" 6.06";" -29.52";"em família substituta";"5.521239e-08"
"0";"25";" 0.00";" -28.47";"de acolhimento institucional";"9.515776e-08"
"0";"24";" 0.00";" -27.33";"de proteção";"1.716196e-07"
"0";"23";" 0.00";" -26.19";"a guarda";"3.097285e-07"
"1";"26";" 3.85";" -25.48";"de destituição";"4.460623e-07"
"0";"22";" 0.00";" -25.05";"instrumento eca";"5.593907e-07"
"0";"22";" 0.00";" -25.05";"de instrumento eca";"5.593907e-07"
"0";"22";" 0.00";" -25.05";"agravo de instrumento eca";"5.593907e-07"
"0";"21";" 0.00";" -23.91";"de destituição do";"1.011115e-06"
"0";"21";" 0.00";" -23.91";"de destituição do poder";"1.011115e-06"
"0";"21";" 0.00";" -23.91";"de destituição do poder familiar";"1.011115e-06"
"0";"21";" 0.00";" -23.91";"medida de proteção";"1.011115e-06"
"0";"20";" 0.00";" -22.77";"que não";"1.829252e-06"
"0";"20";" 0.00";" -22.77";"de que";"1.829252e-06"
"1";"23";" 4.35";" -22.08";"ação de destituição";"2.612534e-06"
"0";"19";" 0.00";" -21.63";"dos autos";"3.312646e-06"
"0";"19";" 0.00";" -21.63";"ação de destituição do";"3.312646e-06"
"0";"19";" 0.00";" -21.63";"ação de destituição do poder";"3.312646e-06"
"0";"19";" 0.00";" -21.63";"ação de destituição do poder familiar";"3.312646e-06"
"3";"29";"10.34";" -21.44";"da decisão";"3.658071e-06"
"0";"18";" 0.00";" -20.49";"os cuidados";"6.005551e-06"
"0";"18";" 0.00";" -20.49";"que o";"6.005551e-06"
"2";"24";" 8.33";" -19.44";"melhor interesse";"1.039815e-05"
"0";"17";" 0.00";" -19.35";"de risco";"1.090090e-05"
"0";"17";" 0.00";" -19.35";"pedido de";"1.090090e-05"
"0";"17";" 0.00";" -19.35";"de medida";"1.090090e-05"
"0";"17";" 0.00";" -19.35";"medida protetiva";"1.090090e-05"
"1";"20";" 5.00";" -18.69";"criança e";"1.539752e-05"
"0";"16";" 0.00";" -18.21";"o acolhimento";"1.981380e-05"
"0";"16";" 0.00";" -18.21";"decisão que";"1.981380e-05"
"0";"16";" 0.00";" -18.21";"da criança e";"1.981380e-05"
"1";"19";" 5.26";" -17.56";"melhor interesse da";"2.786089e-05"
"2";"22";" 9.09";" -17.22";"interesse da";"3.333480e-05"
"0";"15";" 0.00";" -17.07";"da menor";"3.606996e-05"
"0";"15";" 0.00";" -17.07";"e a";"3.606996e-05"
"0";"15";" 0.00";" -17.07";"da família";"3.606996e-05"
"0";"15";" 0.00";" -17.07";"não se";"3.606996e-05"
"2";"21";" 9.52";" -16.11";"manutenção da";"5.968907e-05"
"0";"14";" 0.00";" -15.93";"condições de";"6.577898e-05"
"0";"14";" 0.00";" -15.93";"do eca";"6.577898e-05"
"0";"14";" 0.00";" -15.93";"da convivência";"6.577898e-05"
"0";"14";" 0.00";" -15.93";"de convivência";"6.577898e-05"
"0";"14";" 0.00";" -15.93";"dos genitores";"6.577898e-05"
"0";"14";" 0.00";" -15.93";"convivência com";"6.577898e-05"
"1";"17";" 5.88";" -15.30";"colocação em";"9.150608e-05"
"1";"17";" 5.88";" -15.30";"colocação em família";"9.150608e-05"
"1";"17";" 5.88";" -15.30";"colocação em família substituta";"9.150608e-05"
"0";"13";" 0.00";" -14.79";"do acolhimento";"1.201993e-04"
"0";"13";" 0.00";" -14.79";"de idade";"1.201993e-04"
"0";"13";" 0.00";" -14.79";"situação de risco";"1.201993e-04"
"0";"13";" 0.00";" -14.79";"caso dos";"1.201993e-04"
"0";"13";" 0.00";" -14.79";"caso dos autos";"1.201993e-04"
"1";"16";" 6.25";" -14.18";"melhor interesse da criança";"1.661359e-04"
"0";"12";" 0.00";" -13.65";"o que";"2.201527e-04"
"0";"12";" 0.00";" -13.65";"o acolhimento institucional";"2.201527e-04"
"0";"12";" 0.00";" -13.65";"em situação";"2.201527e-04"
"0";"12";" 0.00";" -13.65";"o infante";"2.201527e-04"
"0";"12";" 0.00";" -13.65";"suspensão do";"2.201527e-04"
"0";"12";" 0.00";" -13.65";"suspensão do poder";"2.201527e-04"
"0";"12";" 0.00";" -13.65";"suspensão do poder familiar";"2.201527e-04"
"0";"12";" 0.00";" -13.65";"e o";"2.201527e-04"
"0";"12";" 0.00";" -13.65";"em razão";"2.201527e-04"
"0";"12";" 0.00";" -13.65";"que os";"2.201527e-04"
"0";"12";" 0.00";" -13.65";"autos em";"2.201527e-04"
"0";"12";" 0.00";" -13.65";"dos autos em";"2.201527e-04"
"0";"12";" 0.00";" -13.65";"autos em que";"2.201527e-04"
"0";"12";" 0.00";" -13.65";"caso dos autos em";"2.201527e-04"
"0";"12";" 0.00";" -13.65";"dos autos em que";"2.201527e-04"
"0";"12";" 0.00";" -13.65";"caso dos autos em que";"2.201527e-04"
"0";"12";" 0.00";" -13.65";"do menor";"2.201527e-04"
"0";"12";" 0.00";" -13.65";"do adolescente";"2.201527e-04"
"0";"12";" 0.00";" -13.65";"e do";"2.201527e-04"
"1";"15";" 6.67";" -13.06";"com os";"3.020535e-04"
"2";"18";"11.11";" -12.82";"interesse da criança";"3.426168e-04"
"0";"11";" 0.00";" -12.51";"à família";"4.043153e-04"
"0";"11";" 0.00";" -12.51";"a situação";"4.043153e-04"
"0";"11";" 0.00";" -12.51";"anos de";"4.043153e-04"
"0";"11";" 0.00";" -12.51";"em situação de";"4.043153e-04"
"0";"11";" 0.00";" -12.51";"eca destituição";"4.043153e-04"
"0";"11";" 0.00";" -12.51";"eca destituição do";"4.043153e-04"
"0";"11";" 0.00";" -12.51";"eca destituição do poder";"4.043153e-04"
"0";"11";" 0.00";" -12.51";"eca destituição do poder familiar";"4.043153e-04"
"0";"11";" 0.00";" -12.51";"prevalência do";"4.043153e-04"
"1";"14";" 7.14";" -11.94";"com o";"5.500293e-04"
"0";"10";" 0.00";" -11.37";"a genitora";"7.449039e-04"
"0";"10";" 0.00";" -11.37";"a criança";"7.449039e-04"
"0";"10";" 0.00";" -11.37";"desde o";"7.449039e-04"
"0";"10";" 0.00";" -11.37";"da genitora";"7.449039e-04"
"0";"10";" 0.00";" -11.37";"o poder";"7.449039e-04"
"0";"10";" 0.00";" -11.37";"o poder familiar";"7.449039e-04"
"0";"10";" 0.00";" -11.37";"instrumento eca ação";"7.449039e-04"
"0";"10";" 0.00";" -11.37";"de instrumento eca ação";"7.449039e-04"
"0";"10";" 0.00";" -11.37";"instrumento eca ação de";"7.449039e-04"
"0";"10";" 0.00";" -11.37";"agravo de instrumento eca ação";"7.449039e-04"
"0";"10";" 0.00";" -11.37";"de instrumento eca ação de";"7.449039e-04"
"0";"10";" 0.00";" -11.37";"agravo de instrumento eca ação de";"7.449039e-04"
"0";"10";" 0.00";" -11.37";"em que a";"7.449039e-04"
"0";"10";" 0.00";" -11.37";"e da";"7.449039e-04"
"0";"10";" 0.00";" -11.37";"equipe técnica";"7.449039e-04"
"0";"10";" 0.00";" -11.37";"no caso";"7.449039e-04"
"0";"10";" 0.00";" -11.37";"criança e do";"7.449039e-04"
"0";"10";" 0.00";" -11.37";"e do adolescente";"7.449039e-04"
"0";"10";" 0.00";" -11.37";"da criança e do";"7.449039e-04"
"0";"10";" 0.00";" -11.37";"criança e do adolescente";"7.449039e-04"
"0";"10";" 0.00";" -11.37";"da criança e do adolescente";"7.449039e-04"
"0";"10";" 0.00";" -11.37";"reforma da";"7.449039e-04"
"0";"10";" 0.00";" -11.37";"reforma da decisão";"7.449039e-04"
"1";"13";" 7.69";" -10.82";"avó materna";"1.003362e-03"
"1";"13";" 7.69";" -10.82";"da infante";"1.003362e-03"
"1";"13";" 7.69";" -10.82";"eca ação";"1.003362e-03"
"1";"13";" 7.69";" -10.82";"eca ação de";"1.003362e-03"
"2";"16";"12.50";" -10.66";"manutenção da decisão";"1.097495e-03"
"0";" 9";" 0.00";" -10.24";"e de";"1.377637e-03"
"0";" 9";" 0.00";" -10.24";"da mãe";"1.377637e-03"
"0";" 9";" 0.00";" -10.24";"do infante";"1.377637e-03"
"0";" 9";" 0.00";" -10.24";"de adoção";"1.377637e-03"
"0";" 9";" 0.00";" -10.24";"dos menores";"1.377637e-03"
"0";" 9";" 0.00";" -10.24";"de que a";"1.377637e-03"
"0";" 9";" 0.00";" -10.24";"em decorrência";"1.377637e-03"
"0";" 9";" 0.00";" -10.24";"interesse do";"1.377637e-03"
"0";" 9";" 0.00";" -10.24";"do acolhimento institucional";"1.377637e-03"
"0";" 9";" 0.00";" -10.24";"familiar e";"1.377637e-03"
"0";" 9";" 0.00";" -10.24";"de medida de";"1.377637e-03"
"0";" 9";" 0.00";" -10.24";"pleito de";"1.377637e-03"
"0";" 9";" 0.00";" -10.24";"manutenção do acolhimento";"1.377637e-03"
"0";" 9";" 0.00";" -10.24";"instrumento ação";"1.377637e-03"
"0";" 9";" 0.00";" -10.24";"de instrumento ação";"1.377637e-03"
"0";" 9";" 0.00";" -10.24";"agravo de instrumento ação";"1.377637e-03"
"0";" 9";" 0.00";" -10.24";"estatuto da";"1.377637e-03"
"0";" 9";" 0.00";" -10.24";"estatuto da criança";"1.377637e-03"
"0";" 9";" 0.00";" -10.24";"estatuto da criança e";"1.377637e-03"
"0";" 9";" 0.00";" -10.24";"estatuto da criança e do";"1.377637e-03"
"0";" 9";" 0.00";" -10.24";"estatuto da criança e do adolescente";"1.377637e-03"
"0";" 9";" 0.00";" -10.24";"que determinou";"1.377637e-03"
"1";"12";" 8.33";"  -9.71";"do melhor interesse da";"1.834024e-03"
"1";"12";" 8.33";"  -9.71";"do melhor interesse da criança";"1.834024e-03"
"1";"12";" 8.33";"  -9.71";"a decisão";"1.834024e-03"
"0";" 8";" 0.00";"  -9.10";"cuidados da";"2.559654e-03"
"0";" 8";" 0.00";"  -9.10";"a infante";"2.559654e-03"
"0";" 8";" 0.00";"  -9.10";"anos de idade";"2.559654e-03"
"0";" 8";" 0.00";"  -9.10";"sob a";"2.559654e-03"
"0";" 8";" 0.00";"  -9.10";"o art";"2.559654e-03"
"0";" 8";" 0.00";"  -9.10";"exercer a";"2.559654e-03"
"0";" 8";" 0.00";"  -9.10";"decisão mantida";"2.559654e-03"
"0";" 8";" 0.00";"  -9.10";"de manter";"2.559654e-03"
"0";" 8";" 0.00";"  -9.10";"caso concreto";"2.559654e-03"
"0";" 8";" 0.00";"  -9.10";"de sua";"2.559654e-03"
"0";" 8";" 0.00";"  -9.10";"mãe biológica";"2.559654e-03"
"0";" 8";" 0.00";"  -9.10";"aplicação de";"2.559654e-03"
"0";" 8";" 0.00";"  -9.10";"de medida de proteção";"2.559654e-03"
"0";" 8";" 0.00";"  -9.10";"do genitor";"2.559654e-03"
"0";" 8";" 0.00";"  -9.10";"de desacolhimento";"2.559654e-03"
"0";" 8";" 0.00";"  -9.10";"institucional e";"2.559654e-03"
"0";" 8";" 0.00";"  -9.10";"acolhimento institucional e";"2.559654e-03"
"0";" 8";" 0.00";"  -9.10";"proteção acolhimento";"2.559654e-03"
"0";" 8";" 0.00";"  -9.10";"de proteção acolhimento";"2.559654e-03"
"0";" 8";" 0.00";"  -9.10";"proteção acolhimento institucional";"2.559654e-03"
"0";" 8";" 0.00";"  -9.10";"de proteção acolhimento institucional";"2.559654e-03"
"0";" 8";" 0.00";"  -9.10";"da decisão que";"2.559654e-03"
"1";"11";" 9.09";"  -8.60";"princípio do";"3.360103e-03"
"1";"11";" 9.09";"  -8.60";"manutenção do";"3.360103e-03"
"1";"11";" 9.09";"  -8.60";"a convivência";"3.360103e-03"
"1";"11";" 9.09";"  -8.60";"convivência familiar";"3.360103e-03"
"2";"14";"14.29";"  -8.52";"do melhor";"3.509315e-03"
"2";"14";"14.29";"  -8.52";"do melhor interesse";"3.509315e-03"
