"V1";"V2";"V3";"V4";"V5";"V6"
"***";"nb classes";"4";"***";"";""
"**";"classe";"1";"**";"";""
"****";"86";"372";"23.12";"****";""
"0";"103";" 0.00";"-42.831";"acolhimento";"5.967262e-11"
"0";" 93";" 0.00";"-37.287";"institucional";"1.019770e-09"
"2";" 81";" 2.47";"-24.841";"família";"6.227496e-07"
"7";"106";" 6.60";"-22.747";"familiar";"1.848145e-06"
"0";" 61";" 0.00";"-21.940";"menor";"2.812483e-06"
"2";" 66";" 3.03";"-18.216";"infante";"1.971881e-05"
"0";" 49";" 0.00";"-16.969";"situação";"3.798525e-05"
"5";" 80";" 6.25";"-16.316";"criança";"5.361007e-05"
"0";" 47";" 0.00";"-16.177";"filho";"5.769956e-05"
"1";" 50";" 2.00";"-14.494";"ação";"1.405885e-04"
"1";" 50";" 2.00";"-14.494";"destituição";"1.405885e-04"
"2";" 55";" 3.64";"-13.783";"convivência";"2.052284e-04"
"1";" 48";" 2.08";"-13.720";"eca";"2.122212e-04"
"3";" 61";" 4.92";"-13.598";"medida";"2.263764e-04"
"0";" 39";" 0.00";"-13.101";"genitor";"2.951796e-04"
"1";" 45";" 2.22";"-12.576";"guarda";"3.906397e-04"
"0";" 37";" 0.00";"-12.355";"caso";"4.398772e-04"
"0";" 30";" 0.00";" -9.812";"proteção";"1.733492e-03"
"0";" 29";" 0.00";" -9.458";"cuidado";"2.102803e-03"
"0";" 28";" 0.00";" -9.105";"negligência";"2.549263e-03"
"0";" 28";" 0.00";" -9.105";"genitora";"2.549263e-03"
"1";" 35";" 2.86";" -8.923";"materno";"2.815407e-03"
"1";" 35";" 2.86";" -8.923";"adoção";"2.815407e-03"
"1";" 32";" 3.12";" -7.874";"avô";"5.014654e-03"
"2";" 38";" 5.26";" -7.591";"substituto";"5.864442e-03"
"0";" 22";" 0.00";" -7.031";"pedido";"8.010127e-03"
"1";" 29";" 3.45";" -6.847";"extenso";"8.880845e-03"
"4";" 48";" 8.33";" -6.778";"interesse";"9.228945e-03"
"0";" 21";" 0.00";" -6.692";"art";"9.682005e-03"
"0";" 21";" 0.00";" -6.692";"risco";"9.682005e-03"
"0";" 21";" 0.00";" -6.692";"idade";"9.682005e-03"
"0";" 21";" 0.00";" -6.692";"agravante";"9.682005e-03"
"0";" 21";" 0.00";" -6.692";"suspensão";"9.682005e-03"
"1";" 28";" 3.57";" -6.509";"auto";"1.073269e-02"
"0";" 20";" 0.00";" -6.356";"mãe";"1.170054e-02"
"0";" 20";" 0.00";" -6.356";"ano";"1.170054e-02"
"0";" 20";" 0.00";" -6.356";"protetiva";"1.170054e-02"
"0";" 20";" 0.00";" -6.356";"já";"1.170054e-02"
"1";" 27";" 3.70";" -6.174";"condição";"1.296430e-02"
"0";" 19";" 0.00";" -6.021";"institucionalmente";"1.413823e-02"
"0";" 17";" 0.00";" -5.357";"biológico";"2.064300e-02"
"0";" 16";" 0.00";" -5.027";"exercer";"2.494901e-02"
"0";" 16";" 0.00";" -5.027";"afetivo";"2.494901e-02"
"3";" 36";" 8.33";" -4.902";"manutenção";"2.682671e-02"
"1";" 23";" 4.35";" -4.860";"visita";"2.748990e-02"
"1";" 22";" 4.55";" -4.538";"adolescente";"3.314819e-02"
"0";" 14";" 0.00";" -4.374";"razão";"3.648227e-02"
"0";" 13";" 0.00";" -4.051";"prevalência";"4.415445e-02"
"0";" 13";" 0.00";" -4.051";"verificar";"4.415445e-02"
"0";" 13";" 0.00";" -4.051";"determinado";"4.415445e-02"
"0";" 13";" 0.00";" -4.051";"desacolhimento";"4.415445e-02"
"0";" 13";" 0.00";" -4.051";"paterno";"4.415445e-02"
"0";" 13";" 0.00";" -4.051";"abandono";"4.415445e-02"
"1";" 20";" 5.00";" -3.904";"acolher";"4.817753e-02"
"4";" 38";"10.53";" -3.776";"manter";"5.200459e-02"
"0";" 12";" 0.00";" -3.729";"vínculo";"5.348592e-02"
"0";" 12";" 0.00";" -3.729";"aplicação";"5.348592e-02"
"0";" 12";" 0.00";" -3.729";"juízo";"5.348592e-02"
"0";" 12";" 0.00";" -3.729";"encontrar";"5.348592e-02"
"0";" 12";" 0.00";" -3.729";"possuir";"5.348592e-02"
"0";" 12";" 0.00";" -3.729";"descabimento";"5.348592e-02"
"0";" 12";" 0.00";" -3.729";"reforma";"5.348592e-02"
"0";" 12";" 0.00";" -3.729";"psicológico";"5.348592e-02"
"0";" 12";" 0.00";" -3.729";"nascimento";"5.348592e-02"
"0";" 12";" 0.00";" -3.729";"inviabilidade";"5.348592e-02"
"7";" 54";"12.96";" -3.665";"decisão";"5.555428e-02"
"0";" 11";" 0.00";" -3.408";"pai";"6.486214e-02"
"0";" 11";" 0.00";" -3.408";"técnica";"6.486214e-02"
"0";" 11";" 0.00";" -3.408";"prova";"6.486214e-02"
"0";" 11";" 0.00";" -3.408";"pleito";"6.486214e-02"
"0";" 11";" 0.00";" -3.408";"equipa";"6.486214e-02"
"0";" 11";" 0.00";" -3.408";"determinar";"6.486214e-02"
"0";" 11";" 0.00";" -3.408";"inserção";"6.486214e-02"
"0";" 11";" 0.00";" -3.408";"acolhido";"6.486214e-02"
"1";" 18";" 5.56";" -3.283";"apelante";"7.001813e-02"
"1";" 18";" 5.56";" -3.283";"demonstrar";"7.001813e-02"
"0";" 10";" 0.00";" -3.090";"possibilidade";"7.877195e-02"
"0";" 10";" 0.00";" -3.090";"estatuto";"7.877195e-02"
"0";" 10";" 0.00";" -3.090";"apresentar";"7.877195e-02"
"0";" 10";" 0.00";" -3.090";"proteger";"7.877195e-02"
"0";" 10";" 0.00";" -3.090";"questão";"7.877195e-02"
"0";" 10";" 0.00";" -3.090";"fato";"7.877195e-02"
"0";" 10";" 0.00";" -3.090";"único";"7.877195e-02"
"0";" 10";" 0.00";" -3.090";"retorno";"7.877195e-02"
"0";" 10";" 0.00";" -3.090";"impossibilidade";"7.877195e-02"
"0";" 10";" 0.00";" -3.090";"concreto";"7.877195e-02"
"0";" 10";" 0.00";" -3.090";"assim";"7.877195e-02"
"3";" 29";"10.34";" -2.887";"melhor";"8.928306e-02"
"2";" 23";" 8.70";" -2.869";"colocação";"9.029171e-02"
"0";"  9";" 0.00";" -2.773";"além";"9.584287e-02"
"0";"  9";" 0.00";" -2.773";"quando";"9.584287e-02"
"0";"  9";" 0.00";" -2.773";"também";"9.584287e-02"
"0";"  9";" 0.00";" -2.773";"ré";"9.584287e-02"
"0";"  9";" 0.00";" -2.773";"assumir";"9.584287e-02"
"0";"  9";" 0.00";" -2.773";"provisório";"9.584287e-02"
"0";"  9";" 0.00";" -2.773";"mínimo";"9.584287e-02"
"0";"  9";" 0.00";" -2.773";"irmão";"9.584287e-02"
"0";"  9";" 0.00";" -2.773";"devidamente";"9.584287e-02"
"0";"  9";" 0.00";" -2.773";"decorrência";"9.584287e-02"
"0";"  8";" 0.00";" -2.458";"forma";"1.168930e-01"
"0";"  8";" 0.00";" -2.458";"público";"1.168930e-01"
"0";"  8";" 0.00";" -2.458";"possível";"1.168930e-01"
"0";"  8";" 0.00";" -2.458";"tender";"1.168930e-01"
"0";"  8";" 0.00";" -2.458";"imediato";"1.168930e-01"
"0";"  8";" 0.00";" -2.458";"momento";"1.168930e-01"
"0";"  8";" 0.00";" -2.458";"ausente";"1.168930e-01"
"0";"  8";" 0.00";" -2.458";"ambiente";"1.168930e-01"
"0";"  8";" 0.00";" -2.458";"vulnerabilidade";"1.168930e-01"
"0";"  8";" 0.00";" -2.458";"relação";"1.168930e-01"
"0";"  8";" 0.00";" -2.458";"justificar";"1.168930e-01"
"0";"  8";" 0.00";" -2.458";"recorrente";"1.168930e-01"
"0";"  8";" 0.00";" -2.458";"laudo";"1.168930e-01"
"0";"  8";" 0.00";" -2.458";"emocional";"1.168930e-01"
"0";"  8";" 0.00";" -2.458";"ainda";"1.168930e-01"
"0";"  8";" 0.00";" -2.458";"pretendente";"1.168930e-01"
"0";"  8";" 0.00";" -2.458";"neto";"1.168930e-01"
"0";"  8";" 0.00";" -2.458";"menina";"1.168930e-01"
"0";"  8";" 0.00";" -2.458";"meio";"1.168930e-01"
"0";"  8";" 0.00";" -2.458";"guardião";"1.168930e-01"
"0";"  8";" 0.00";" -2.458";"droga";"1.168930e-01"
"0";"  8";" 0.00";" -2.458";"constatar";"1.168930e-01"
"1";" 15";" 6.67";" -2.380";"social";"1.228857e-01"
"2";" 21";" 9.52";" -2.314";"sentença";"1.281972e-01"
"0";"  7";" 0.00";" -2.145";"modo";"1.430105e-01"
"0";"  7";" 0.00";" -2.145";"autorizar";"1.430105e-01"
"0";"  7";" 0.00";" -2.145";"parental";"1.430105e-01"
"0";"  7";" 0.00";" -2.145";"tio";"1.430105e-01"
"0";"  7";" 0.00";" -2.145";"reunir";"1.430105e-01"
"0";"  7";" 0.00";" -2.145";"período";"1.430105e-01"
"0";"  7";" 0.00";" -2.145";"autor";"1.430105e-01"
"0";"  7";" 0.00";" -2.145";"acercar";"1.430105e-01"
"0";"  7";" 0.00";" -2.145";"trato";"1.430105e-01"
"0";"  7";" 0.00";" -2.145";"relatório";"1.430105e-01"
"0";"  7";" 0.00";" -2.145";"próprio";"1.430105e-01"
"0";"  7";" 0.00";" -2.145";"presente";"1.430105e-01"
"0";"  7";" 0.00";" -2.145";"mês";"1.430105e-01"
"0";"  7";" 0.00";" -2.145";"mau";"1.430105e-01"
"0";"  7";" 0.00";" -2.145";"histórico";"1.430105e-01"
"*****";"*";"*";"*";"*";"*"
"15";"227";" 6.61";"-89.317";"a";"3.363345e-21"
" 6";"182";" 3.30";"-78.770";"o";"6.979375e-19"
" 8";"180";" 4.44";"-68.423";"que";"1.319241e-16"
" 3";" 88";" 3.41";"-25.192";"com";"5.189154e-07"
" 3";" 88";" 3.41";"-25.192";"não";"5.189154e-07"
" 5";" 95";" 5.26";"-22.884";"por";"1.720695e-06"
" 4";" 86";" 4.65";"-21.463";"ser";"3.606801e-06"
" 6";" 87";" 6.90";"-16.813";"poder";"4.126007e-05"
" 0";" 46";" 0.00";"-15.784";"ir";"7.100242e-05"
" 3";" 66";" 4.55";"-15.572";"para";"7.942450e-05"
" 3";" 60";" 5.00";"-13.213";"ao";"2.780435e-04"
" 3";" 56";" 5.36";"-11.701";"se";"6.248116e-04"
"78";"359";"21.73";"-11.187";"de";"8.235134e-04"
" 1";" 31";" 3.23";" -7.529";"estar";"6.070664e-03"
" 0";" 22";" 0.00";" -7.031";"ter";"8.010127e-03"
" 2";" 36";" 5.56";" -6.917";"sua";"8.538501e-03"
" 0";" 21";" 0.00";" -6.692";"haver";"9.682005e-03"
" 0";" 20";" 0.00";" -6.356";"como";"1.170054e-02"
" 0";" 18";" 0.00";" -5.688";"desde";"1.708322e-02"
" 0";" 16";" 0.00";" -5.027";"sob";"2.494901e-02"
" 0";" 13";" 0.00";" -4.051";"outro";"4.415445e-02"
" 2";" 27";" 7.41";" -4.043";"seu";"4.435347e-02"
" 0";" 12";" 0.00";" -3.729";"qualquer";"5.348592e-02"
" 0";" 12";" 0.00";" -3.729";"3";"5.348592e-02"
" 0";" 12";" 0.00";" -3.729";"qual";"5.348592e-02"
" 0";" 12";" 0.00";" -3.729";"sem";"5.348592e-02"
" 1";" 19";" 5.26";" -3.591";"uma";"5.807783e-02"
" 0";" 11";" 0.00";" -3.408";"entre";"6.486214e-02"
" 1";" 17";" 5.88";" -2.978";"um";"8.442873e-02"
" 0";"  9";" 0.00";" -2.773";"4";"9.584287e-02"
" 0";"  9";" 0.00";" -2.773";"após";"9.584287e-02"
" 0";"  8";" 0.00";" -2.458";"quanto";"1.168930e-01"
" 0";"  8";" 0.00";" -2.458";"fazer";"1.168930e-01"
" 0";"  8";" 0.00";" -2.458";"dois";"1.168930e-01"
" 1";" 15";" 6.67";" -2.380";"2";"1.228857e-01"
" 0";"  7";" 0.00";" -2.145";"5";"1.430105e-01"
" 0";"  7";" 0.00";" -2.145";"ela";"1.430105e-01"
" 0";"  7";" 0.00";" -2.145";"ambos";"1.430105e-01"
"*";"*";"*";"*";"*";"*"
"19";"112";"16.96";"-3.414";"*tipo_proc_apelação_cível";"0.06462722"
"15";" 93";"16.13";"-3.408";"*rel_LUIZ_FELIPE_BRASIL_SANTOS";"0.06487971"
" 1";" 14";" 7.14";"-2.089";"*cod_10236451";"0.14837455"
"**";"classe";"2";"**";"";""
"****";"83";"372";"22.31";"****";""
" 4";"115";" 3.48";"-34.063";"agravo";"5.335651e-09"
" 3";"107";" 2.80";"-32.978";"instrumento";"9.322235e-09"
" 1";" 84";" 1.19";"-27.924";"julgar";"1.261521e-07"
" 1";" 79";" 1.27";"-25.630";"rs";"4.135205e-07"
" 1";" 78";" 1.28";"-25.181";"relator";"5.219936e-07"
" 1";" 78";" 1.28";"-25.181";"câmara";"5.219936e-07"
" 1";" 78";" 1.28";"-25.181";"tribunal";"5.219936e-07"
" 1";" 78";" 1.28";"-25.181";"justiça";"5.219936e-07"
" 6";" 92";" 6.52";"-17.581";"cível";"2.752771e-05"
" 2";" 54";" 3.70";"-12.619";"decisão";"3.818469e-04"
" 0";" 29";" 0.00";" -9.033";"melhor";"2.651639e-03"
