"";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol"
"1";2;5;7;8;11;12;12;17;19
"2";2;5;7;8;11;13;15;15;15
"3";3;3;3;3;3;3;3;3;3
"4";3;3;3;3;3;3;3;3;3
"5";2;5;7;8;11;12;12;17;19
"6";2;5;7;8;11;12;12;17;19
"7";2;5;7;8;11;13;14;14;14
"8";2;5;7;8;11;12;12;17;19
"9";2;5;7;8;11;12;12;16;16
"10";2;5;7;8;11;13;15;15;15
"11";2;5;7;8;11;13;14;14;14
"12";2;5;7;8;11;13;14;14;14
"13";2;5;7;8;11;12;12;17;19
"14";3;3;3;3;3;3;3;3;3
"15";2;5;7;8;11;12;12;17;19
"16";2;5;7;8;11;13;15;15;15
"17";2;5;7;8;11;12;12;16;16
"18";2;5;7;8;11;13;14;14;14
"19";2;5;7;8;11;13;15;15;15
"20";3;3;3;3;3;3;3;3;3
"21";2;5;7;8;11;12;12;17;19
"22";2;5;7;8;11;12;12;17;19
"23";2;5;7;8;11;13;15;15;15
"24";2;5;7;8;11;12;12;17;19
"25";2;5;7;8;11;12;12;17;19
"26";3;3;3;3;3;3;3;3;3
"27";2;5;7;8;11;12;12;17;19
"28";2;5;7;8;11;12;12;17;19
"29";3;3;3;3;3;3;3;3;3
"30";2;5;7;8;11;12;12;17;19
"31";2;5;7;8;11;12;12;17;19
"32";3;3;3;3;3;3;3;3;3
"33";2;5;7;8;11;12;12;17;19
"34";2;5;7;8;11;13;15;15;15
"35";2;5;7;8;11;13;15;15;15
"36";2;5;7;8;11;13;14;14;14
"37";2;5;7;8;11;13;14;14;14
"38";2;5;7;8;11;12;12;16;16
"39";2;5;7;8;11;12;12;16;16
"40";2;5;7;8;11;12;12;16;16
"41";2;5;7;8;11;13;15;15;15
"42";3;3;3;3;3;3;3;3;3
"43";2;5;7;8;11;13;15;15;15
"44";2;5;7;8;11;12;12;16;16
"45";2;5;7;8;11;12;12;16;16
"46";2;5;7;8;11;12;12;16;16
"47";2;5;7;8;11;12;12;16;16
"48";2;5;7;8;11;13;15;15;15
"49";2;5;7;8;11;13;14;14;14
"50";2;5;7;8;11;13;14;14;14
"51";2;5;7;8;11;13;15;15;15
"52";2;5;7;8;11;13;15;15;15
"53";2;5;7;8;11;13;15;15;15
"54";2;5;7;8;11;13;15;15;15
"55";2;5;7;8;11;13;15;15;15
"56";2;5;7;8;11;13;15;15;15
"57";2;5;7;8;11;13;15;15;15
"58";2;5;7;8;11;12;12;17;19
"59";3;3;3;3;3;3;3;3;3
"60";2;5;7;9;9;9;9;9;9
"61";2;5;7;9;9;9;9;9;9
"62";2;5;7;8;11;12;12;17;19
"63";2;5;7;8;11;12;12;17;19
"64";2;5;7;8;11;12;12;17;19
"65";3;3;3;3;3;3;3;3;3
"66";2;5;7;8;11;13;15;15;15
"67";2;5;7;9;9;9;9;9;9
"68";3;3;3;3;3;3;3;3;3
"69";2;5;7;8;11;12;12;17;19
"70";2;5;7;8;11;12;12;17;19
"71";2;5;7;8;11;13;15;15;15
"72";2;5;7;8;11;12;12;17;19
"73";2;5;7;8;11;12;12;17;19
"74";2;5;7;8;11;13;15;15;15
"75";3;3;3;3;3;3;3;3;3
"76";2;5;7;8;11;12;12;17;19
"77";2;5;7;8;11;13;15;15;15
"78";2;5;7;8;11;13;14;14;14
