"";"V1"
"1";4
"2";3
"3";1
"4";1
"5";4
"6";4
"7";2
"8";4
"9";0
"10";3
"11";2
"12";2
"13";4
"14";1
"15";4
"16";3
"17";0
"18";2
"19";3
"20";1
"21";4
"22";4
"23";3
"24";4
"25";4
"26";1
"27";4
"28";4
"29";1
"30";4
"31";4
"32";1
"33";4
"34";3
"35";3
"36";2
"37";2
"38";0
"39";0
"40";0
"41";3
"42";1
"43";3
"44";0
"45";0
"46";0
"47";0
"48";3
"49";2
"50";2
"51";3
"52";3
"53";3
"54";3
"55";3
"56";3
"57";3
"58";4
"59";1
"60";0
"61";0
"62";4
"63";4
"64";4
"65";1
"66";3
"67";0
"68";1
"69";4
"70";4
"71";3
"72";4
"73";4
"74";3
"75";1
"76";4
"77";3
"78";2
"79";2
"80";1
"81";4
"82";3
"83";1
"84";4
"85";4
"86";1
"87";0
"88";4
"89";0
"90";4
"91";1
"92";4
"93";3
"94";3
"95";2
"96";3
"97";1
"98";4
"99";2
"100";2
"101";3
"102";2
"103";1
"104";2
"105";3
"106";3
"107";3
"108";3
"109";3
"110";3
"111";2
"112";3
"113";2
"114";3
"115";3
"116";3
"117";1
"118";0
"119";4
"120";4
"121";0
"122";1
"123";4
"124";4
"125";2
"126";4
"127";1
"128";0
"129";3
"130";0
"131";1
"132";4
"133";4
"134";4
"135";2
"136";4
"137";2
"138";1
"139";0
"140";0
"141";4
"142";4
"143";4
"144";1
"145";0
"146";4
"147";4
"148";0
"149";1
"150";2
"151";2
"152";2
"153";3
"154";2
"155";2
"156";1
"157";4
"158";0
"159";0
"160";0
"161";4
"162";3
"163";4
"164";1
"165";4
"166";0
"167";0
"168";3
"169";1
"170";4
"171";0
"172";3
"173";3
"174";1
"175";4
"176";0
"177";0
"178";0
"179";1
"180";4
"181";0
"182";0
"183";3
"184";3
"185";1
"186";4
"187";0
"188";0
"189";0
"190";3
"191";1
"192";4
"193";1
"194";4
"195";2
"196";0
"197";1
"198";4
"199";0
"200";0
"201";0
"202";2
"203";4
"204";1
"205";2
"206";2
"207";3
"208";2
"209";2
"210";2
"211";3
"212";1
"213";0
"214";3
"215";4
"216";2
"217";3
"218";1
"219";0
"220";0
"221";0
"222";0
"223";0
"224";2
"225";2
"226";1
"227";4
"228";2
"229";1
"230";3
"231";0
"232";3
"233";3
"234";2
"235";3
"236";1
"237";4
"238";0
"239";0
"240";3
"241";3
"242";2
"243";1
"244";4
"245";0
"246";0
"247";2
"248";3
"249";1
"250";4
"251";3
"252";2
"253";4
"254";1
"255";1
"256";0
"257";4
"258";1
"259";4
"260";4
"261";0
"262";0
"263";1
"264";4
"265";0
"266";0
"267";3
"268";3
"269";3
"270";4
"271";1
"272";4
"273";4
"274";0
"275";1
"276";4
"277";1
"278";1
"279";2
"280";3
"281";4
"282";0
"283";1
"284";1
"285";0
"286";4
"287";1
"288";4
"289";2
"290";0
"291";1
"292";0
"293";0
"294";0
"295";4
"296";2
"297";2
"298";4
"299";1
"300";4
"301";4
"302";3
"303";0
"304";1
"305";4
"306";3
"307";2
"308";4
"309";1
"310";4
"311";0
"312";3
"313";1
"314";4
"315";0
"316";3
"317";1
"318";1
"319";4
"320";3
"321";3
"322";3
"323";3
"324";1
"325";4
"326";0
"327";0
"328";0
"329";3
"330";2
"331";0
"332";1
"333";4
"334";0
"335";0
"336";0
"337";3
"338";2
"339";0
"340";1
"341";4
"342";3
"343";3
"344";3
"345";3
"346";3
"347";1
"348";1
"349";4
"350";2
"351";0
"352";1
"353";4
"354";4
"355";3
"356";0
"357";1
"358";1
"359";4
"360";3
"361";3
"362";0
"363";3
"364";1
"365";2
"366";2
"367";0
"368";2
"369";3
"370";2
"371";0
"372";2
"373";1
"374";4
"375";3
"376";2
"377";0
"378";1
"379";4
"380";4
"381";2
"382";2
"383";1
"384";4
"385";3
"386";0
"387";0
"388";1
"389";0
"390";2
"391";4
"392";0
"393";2
"394";2
"395";1
"396";4
"397";0
"398";2
"399";0
"400";4
"401";1
"402";4
"403";0
"404";2
"405";2
"406";2
"407";1
"408";4
"409";4
"410";2
"411";3
"412";4
"413";1
"414";1
"415";0
"416";0
"417";4
"418";0
"419";2
"420";2
"421";1
"422";4
"423";2
"424";3
"425";0
"426";3
"427";1
"428";4
"429";2
"430";3
"431";3
"432";2
"433";0
"434";4
"435";1
"436";0
"437";2
"438";2
"439";2
"440";2
"441";1
"442";2
"443";0
"444";0
"445";0
"446";0
"447";0
"448";0
"449";0
"450";4
"451";0
"452";1
"453";2
"454";2
"455";2
"456";3
"457";2
"458";0
"459";3
"460";3
"461";1
"462";2
"463";3
"464";2
"465";3
"466";3
"467";1
"468";4
"469";3
"470";4
"471";2
"472";2
"473";2
"474";1
