"V1";"V2";"V3";"V4";"V5";"V6"
"***";"nb classes";"4";"***";"";""
"**";"classe";"1";"**";"";""
"****";"86";"372";"23.12";"****";""
"77";" 78";" 98.72";"317.359";"relator";"5.446074e-71"
"77";" 78";" 98.72";"317.359";"câmara";"5.446074e-71"
"77";" 78";" 98.72";"317.359";"tribunal";"5.446074e-71"
"77";" 78";" 98.72";"317.359";"justiça";"5.446074e-71"
"77";" 79";" 97.47";"311.951";"rs";"8.206887e-70"
"78";" 84";" 92.86";"296.894";"julgar";"1.565161e-66"
"75";" 92";" 81.52";"234.569";"cível";"6.010125e-53"
"39";" 49";" 79.59";"101.262";"desprover";"8.057109e-24"
"58";"115";" 50.43";" 69.884";"agravo";"6.288887e-17"
"54";"107";" 50.47";" 63.210";"instrumento";"1.858072e-15"
"19";" 20";" 95.00";" 61.445";"santo";"4.552181e-15"
"15";" 15";"100.00";" 51.980";"josé";"5.607809e-13"
"14";" 14";"100.00";" 48.379";"mauro";"3.513373e-12"
"14";" 14";"100.00";" 48.379";"luiz";"3.513373e-12"
"14";" 14";"100.00";" 48.379";"caum";"3.513373e-12"
"13";" 13";"100.00";" 44.798";"felipe";"2.184365e-11"
"13";" 13";"100.00";" 44.798";"daltoe";"2.184365e-11"
"13";" 13";"100.00";" 44.798";"cezar";"2.184365e-11"
"13";" 13";"100.00";" 44.798";"brasil";"2.184365e-11"
"13";" 13";"100.00";" 44.798";"antônio";"2.184365e-11"
"14";" 16";" 87.50";" 38.991";"gonçalves";"4.258598e-10"
" 9";"  9";"100.00";" 30.672";"sandra";"3.054946e-08"
" 9";"  9";"100.00";" 30.672";"medeiros";"3.054946e-08"
" 9";"  9";"100.00";" 30.672";"brisolara";"3.054946e-08"
"17";" 25";" 68.00";" 30.375";"recurso";"3.561191e-08"
" 7";"  7";"100.00";" 23.726";"ricardo";"1.110997e-06"
" 6";"  6";"100.00";" 20.281";"joão";"6.687543e-06"
" 6";"  6";"100.00";" 20.281";"costa";"6.687543e-06"
" 5";"  5";"100.00";" 16.854";"eduardo";"4.035869e-05"
"18";" 36";" 50.00";" 16.205";"apelação";"5.685212e-05"
"10";" 16";" 62.50";" 14.589";"unânime";"1.336970e-04"
" 4";"  4";"100.00";" 13.447";"roberto";"2.454093e-04"
" 4";"  4";"100.00";" 13.447";"lorea";"2.454093e-04"
" 4";"  4";"100.00";" 13.447";"execução";"2.454093e-04"
" 4";"  4";"100.00";" 13.447";"arriar";"2.454093e-04"
" 5";"  6";" 83.33";" 12.441";"interno";"4.200793e-04"
" 3";"  3";"100.00";" 10.058";"merecer";"1.516997e-03"
" 3";"  3";"100.00";" 10.058";"zietlow";"1.516997e-03"
" 3";"  3";"100.00";" 10.058";"penal";"1.516997e-03"
" 3";"  3";"100.00";" 10.058";"duro";"1.516997e-03"
" 3";"  3";"100.00";" 10.058";"carlos";"1.516997e-03"
" 3";"  3";"100.00";" 10.058";"augusto";"1.516997e-03"
" 5";"  7";" 71.43";"  9.368";"apelo";"2.208012e-03"
" 4";"  5";" 80.00";"  9.226";"assunto";"2.386016e-03"
" 5";"  9";" 55.56";"  5.460";"precedente";"1.945716e-02"
" 6";" 13";" 46.15";"  4.022";"especial";"4.491808e-02"
" 6";" 13";" 46.15";"  4.022";"provimento";"4.491808e-02"
" 3";"  5";" 60.00";"  3.879";"assegurar";"4.890126e-02"
" 3";"  5";" 60.00";"  3.879";"tjrs";"4.890126e-02"
" 2";"  3";" 66.67";"  3.227";"criminal";"7.243182e-02"
"*****";"*";"*";"*";"*";"*"
"76";" 81";" 93.83";"291.276";"n";"2.621738e-65"
"52";" 53";" 98.11";"195.575";"oitavo";"1.929843e-44"
"18";" 18";"100.00";" 62.904";"2023";"2.170070e-15"
"18";" 18";"100.00";" 62.904";"2024";"2.170070e-15"
"17";" 17";"100.00";" 59.242";"sétimo";"1.394127e-14"
"16";" 16";"100.00";" 55.601";"11";"8.879058e-14"
"14";" 15";" 93.33";" 43.356";"09";"4.563666e-11"
"13";" 14";" 92.86";" 39.807";"2022";"2.803435e-10"
"85";"277";" 30.69";" 34.950";"em";"3.383602e-09"
"10";" 11";" 90.91";" 29.308";"05";"6.172888e-08"
" 9";" 10";" 90.00";" 25.863";"08";"3.666213e-07"
" 7";"  7";"100.00";" 23.726";"02";"1.110997e-06"
" 8";"  9";" 88.89";" 22.447";"12";"2.159898e-06"
" 8";"  9";" 88.89";" 22.447";"04";"2.159898e-06"
" 9";" 11";" 81.82";" 21.975";"03";"2.762566e-06"
" 6";"  6";"100.00";" 20.281";"22";"6.687543e-06"
" 6";"  6";"100.00";" 20.281";"27";"6.687543e-06"
" 5";"  5";"100.00";" 16.854";"2016";"4.035869e-05"
" 6";"  7";" 85.71";" 15.728";"2020";"7.314858e-05"
" 6";"  7";" 85.71";" 15.728";"07";"7.314858e-05"
" 4";"  4";"100.00";" 13.447";"29";"2.454093e-04"
" 4";"  4";"100.00";" 13.447";"26";"2.454093e-04"
" 4";"  4";"100.00";" 13.447";"16";"2.454093e-04"
" 8";" 12";" 66.67";" 13.231";"primeiro";"2.753812e-04"
" 5";"  6";" 83.33";" 12.441";"2018";"4.200793e-04"
" 3";"  3";"100.00";" 10.058";"2021";"1.516997e-03"
" 3";"  3";"100.00";" 10.058";"2017";"1.516997e-03"
" 3";"  3";"100.00";" 10.058";"2013";"1.516997e-03"
" 3";"  3";"100.00";" 10.058";"20";"1.516997e-03"
" 3";"  3";"100.00";" 10.058";"15";"1.516997e-03"
" 5";"  7";" 71.43";"  9.368";"10";"2.208012e-03"
" 4";"  5";" 80.00";"  9.226";"18";"2.386016e-03"
" 4";"  6";" 66.67";"  6.507";"06";"1.074526e-02"
" 3";"  4";" 75.00";"  6.124";"30";"1.333905e-02"
" 3";"  4";" 75.00";"  6.124";"23";"1.333905e-02"
"*";"*";"*";"*";"*";"*"
" 4";" 6";"66.67";"6.507";"*tipo_proc_agravo_de_execução_penal";"0.01074526"
" 4";" 6";"66.67";"6.507";"*rel_MANUEL_JOSÉ_MARTINEZ_LUCAS";"0.01074526"
" 2";" 3";"66.67";"3.227";"*cod_9170892";"0.07243182"
" 2";" 3";"66.67";"3.227";"*cod_9071992";"0.07243182"
" 2";" 3";"66.67";"3.227";"*cod_9063519";"0.07243182"
"16";"51";"31.37";"2.266";"*ano_2022";"0.13227340"
"**";"classe";"2";"**";"";""
"****";"83";"372";"22.31";"****";""
"21";"29";" 72.41";"45.548";"extenso";"1.489678e-11"
"39";"81";" 48.15";"39.876";"família";"2.706761e-10"
"14";"17";" 82.35";"37.049";"biológico";"1.152257e-09"
"10";"10";"100.00";"35.781";"fato";"2.207753e-09"
"11";"13";" 84.62";"30.167";"abandono";"3.964633e-08"
"14";"20";" 70.00";"27.731";"mãe";"1.394289e-07"
"10";"12";" 83.33";"26.638";"nascimento";"2.454023e-07"
" 6";" 6";"100.00";"21.234";"inserir";"4.064786e-06"
"27";"61";" 44.26";"20.282";"menor";"6.682782e-06"
" 9";"12";" 75.00";"19.859";"encontrar";"8.336827e-06"
"12";"20";" 60.00";"17.320";"ano";"3.158287e-05"
" 8";"11";" 72.73";"16.621";"pai";"4.563509e-05"
" 6";" 7";" 85.71";"16.545";"autor";"4.750577e-05"
" 7";" 9";" 77.78";"16.370";"irmão";"5.211068e-05"
" 7";" 9";" 77.78";"16.370";"decorrência";"5.211068e-05"
" 4";" 4";"100.00";"14.079";"curador";"1.752808e-04"
" 4";" 4";"100.00";"14.079";"ademais";"1.752808e-04"
" 4";" 4";"100.00";"14.079";"adotar";"1.752808e-04"
" 4";" 4";"100.00";"14.079";"violação";"1.752808e-04"
" 4";" 4";"100.00";"14.079";"referência";"1.752808e-04"
" 4";" 4";"100.00";"14.079";"parente";"1.752808e-04"
" 4";" 4";"100.00";"14.079";"nascer";"1.752808e-04"
" 4";" 4";"100.00";"14.079";"jamais";"1.752808e-04"
" 4";" 4";"100.00";"14.079";"indenização";"1.752808e-04"
" 4";" 4";"100.00";"14.079";"colocar";"1.752808e-04"
"21";"49";" 42.86";"13.743";"situação";"2.096340e-04"
" 5";" 6";" 83.33";"13.101";"dano";"2.952122e-04"
" 6";" 8";" 75.00";"13.094";"meio";"2.962650e-04"
" 6";" 8";" 75.00";"13.094";"droga";"2.962650e-04"
"14";"29";" 48.28";"12.232";"cuidado";"4.697424e-04"
"22";"55";" 40.00";"11.650";"convivência";"6.420597e-04"
" 3";" 3";"100.00";"10.531";"perspectiva";"1.174072e-03"
" 3";" 3";"100.00";"10.531";"desenvolver";"1.174072e-03"
" 3";" 3";"100.00";"10.531";"responsabilidade";"1.174072e-03"
" 3";" 3";"100.00";"10.531";"proximidade";"1.174072e-03"
" 3";" 3";"100.00";"10.531";"passo";"1.174072e-03"
" 3";" 3";"100.00";"10.531";"isolado";"1.174072e-03"
" 3";" 3";"100.00";"10.531";"integrante";"1.174072e-03"
" 3";" 3";"100.00";"10.531";"exclusivo";"1.174072e-03"
" 3";" 3";"100.00";"10.531";"configuração";"1.174072e-03"
" 8";"14";" 57.14";"10.182";"razão";"1.418229e-03"
"13";"28";" 46.43";"10.160";"negligência";"1.435277e-03"
" 5";" 7";" 71.43";" 9.929";"trato";"1.626713e-03"
" 5";" 7";" 71.43";" 9.929";"mau";"1.626713e-03"
" 4";" 5";" 80.00";" 9.730";"usuário";"1.812457e-03"
" 4";" 5";" 80.00";" 9.730";"sofrer";"1.812457e-03"
" 4";" 5";" 80.00";" 9.730";"retornar";"1.812457e-03"
" 4";" 5";" 80.00";" 9.730";"inexistência";"1.812457e-03"
" 4";" 5";" 80.00";" 9.730";"indício";"1.812457e-03"
" 4";" 5";" 80.00";" 9.730";"destituir";"1.812457e-03"
"15";"35";" 42.86";" 9.408";"adoção";"2.159914e-03"
" 7";"12";" 58.33";" 9.282";"inviabilidade";"2.313794e-03"
" 7";"13";" 53.85";" 7.728";"especial";"5.436999e-03"
" 7";"13";" 53.85";" 7.728";"verificar";"5.436999e-03"
" 5";" 8";" 62.50";" 7.618";"pretendente";"5.779021e-03"
"23";"66";" 34.85";" 7.275";"infante";"6.991706e-03"
" 4";" 6";" 66.67";" 6.922";"tentativa";"8.516184e-03"
" 4";" 6";" 66.67";" 6.922";"mesmo";"8.516184e-03"
" 4";" 6";" 66.67";" 6.922";"processo";"8.516184e-03"
" 4";" 6";" 66.67";" 6.922";"longo";"8.516184e-03"
" 4";" 6";" 66.67";" 6.922";"casal";"8.516184e-03"
" 4";" 6";" 66.67";" 6.922";"ocorrer";"8.516184e-03"
" 3";" 4";" 75.00";" 6.476";"estabelecer";"1.093550e-02"
" 3";" 4";" 75.00";" 6.476";"instituição";"1.093550e-02"
" 8";"17";" 47.06";" 6.294";"origem";"1.211556e-02"
" 5";" 9";" 55.56";" 5.880";"além";"1.531019e-02"
" 5";" 9";" 55.56";" 5.880";"devidamente";"1.531019e-02"
" 6";"12";" 50.00";" 5.484";"vínculo";"1.918814e-02"
" 9";"21";" 42.86";" 5.420";"risco";"1.990859e-02"
" 9";"21";" 42.86";" 5.420";"idade";"1.990859e-02"
" 4";" 7";" 57.14";" 4.993";"histórico";"2.544513e-02"
" 5";"10";" 50.00";" 4.545";"apresentar";"3.301522e-02"
" 5";"10";" 50.00";" 4.545";"concreto";"3.301522e-02"
" 8";"19";" 42.11";" 4.526";"institucionalmente";"3.339178e-02"
" 6";"13";" 46.15";" 4.418";"considerar";"3.556973e-02"
" 3";" 5";" 60.00";" 4.153";"tratar";"4.155965e-02"
" 3";" 5";" 60.00";" 4.153";"existência";"4.155965e-02"
" 3";" 5";" 60.00";" 4.153";"aproximação";"4.155965e-02"
" 8";"20";" 40.00";" 3.815";"já";"5.079252e-02"
" 4";" 8";" 50.00";" 3.616";"relação";"5.722584e-02"
" 4";" 8";" 50.00";" 3.616";"ausência";"5.722584e-02"
" 2";" 3";" 66.67";" 3.433";"defesa";"6.391938e-02"
" 2";" 3";" 66.67";" 3.433";"reintegração";"6.391938e-02"
" 2";" 3";" 66.67";" 3.433";"réu";"6.391938e-02"
" 2";" 3";" 66.67";" 3.433";"cerceamento";"6.391938e-02"
" 2";" 3";" 66.67";" 3.433";"sogro";"6.391938e-02"
" 2";" 3";" 66.67";" 3.433";"quase";"6.391938e-02"
" 2";" 3";" 66.67";" 3.433";"quadro";"6.391938e-02"
" 2";" 3";" 66.67";" 3.433";"posteriormente";"6.391938e-02"
" 2";" 3";" 66.67";" 3.433";"partir";"6.391938e-02"
" 2";" 3";" 66.67";" 3.433";"parentesco";"6.391938e-02"
" 2";" 3";" 66.67";" 3.433";"notório";"6.391938e-02"
" 2";" 3";" 66.67";" 3.433";"necessitar";"6.391938e-02"
" 2";" 3";" 66.67";" 3.433";"moral";"6.391938e-02"
" 2";" 3";" 66.67";" 3.433";"habilitar";"6.391938e-02"
" 2";" 3";" 66.67";" 3.433";"fundamental";"6.391938e-02"
" 2";" 3";" 66.67";" 3.433";"expressamente";"6.391938e-02"
" 2";" 3";" 66.67";" 3.433";"educar";"6.391938e-02"
" 2";" 3";" 66.67";" 3.433";"denotar";"6.391938e-02"
