"";"classe 1";"classe 2";"classe 3";"classe 4"
"familiar";1;0,923;1;0
"agravo";0;1;1;0
"criança";1;1;1;0
"família";1;0;1;0,009
"instrumento";0;1;1;0
"acolhimento";1;1;1;0
"cível";0;1;1;1
"institucional";1;1;1;0
"convivência";1;0,001;1;0,194
"julgar";0;1;1;1
"relator";0;1;1;1
"câmara";0;1;1;1
"rs";0;1;1;1
"tribunal";0;1;1;1
"justiça";0;1;1;1
"infante";1;0,007;0,964;0,148
"eca";1;1;1;0
"decisão";1;1;1;0
"menor";1;0;1;0,052
"medida";1;1;1;0
"interesse";1;1;1;0
"direito";1;1;1;0,106
"adolescente";1;1;1;0
"situação";1;0;0,601;1
"ação";1;1;1;0
"desprover";0;1;1;1
"destituição";1;1;1;0
"proteção";1;1;1;0
"filho";1;1;0;1
"guarda";1;0,13;0,201;0,498
"substituto";1;0,532;1;0
"art";1;0,865;1;0,001
"dever";1;1;1;0,04
"manter";1;0,148;1;0,009
"apelação";0;1;1;0,832
"negligência";1;0,001;1;0,706
"manutenção";1;1;1;0
"genitor";1;0,903;0,117;0,081
"melhor";1;1;1;0
"caso";1;1;0;1
"materno";1;1;0;1
"adoção";1;0,002;1;0,267
"avô";1;1;0;1
"extenso";1;0;1;1
"auto";1;1;0;1
"recurso";0;1;1;1
"genitora";1;0,408;0,002;1
"condição";1;0,64;0;1
"cuidado";1;0;0,042;1
"colocação";1;1;1;0,001
"princípio";1;1;1;0
"prevalência";1;0,946;1;0
"forma";1;1;0,001;1
"assegurar";0,049;1;1;1
"sentença";1;1;0,399;0,346
"pedido";1;1;1;0
"risco";1;0,02;1;0,015
"além";1;0,015;0,587;1
"visita";1;1;0,042;0,012
"mãe";1;0;1;1
"idade";1;0,02;0,174;1
"ano";1;0;0,318;1
"agravante";1;1;0;1
"protetiva";1;0,396;1;0
"já";1;0,051;0,04;1
"acolher";1;0,161;0,127;1
"suspensão";1;1;1;0
"apelante";1;0,083;0,003;1
"santo";0;1;1;1
"prever";0,928;0,897;1;0,353
"exercer";1;1;0;1
"elemento";1;1;0,015;0,68
"vínculo";1;0,019;0,193;1
"institucionalmente";1;0,033;0,005;1
"demonstrar";1;1;0;1
"contexto";1;0,188;0,345;1
"bem";1;1;0,037;1
"origem";1;0,012;1;0,972
