a família;1;4;1;3
família natural;1;3;0;2
deve ser;1;0;2;6
ser mantida;1;0;1;4
mantida a;1;0;1;4
de colocação;1;0;1;2
em família;2;8;5;18
família substituta;2;10;5;22
agravo de;65;4;3;48
de instrumento;63;4;3;48
instrumento desprovido;9;1;0;2
desprovido agravo;27;1;0;0
instrumento n;54;1;0;1
oitava câmara;52;1;0;0
câmara cível;69;1;0;0
cível tribunal;75;1;0;0
tribunal de;77;1;0;0
de justiça;77;1;0;0
justiça do;77;1;0;0
do rs;77;1;0;0
rs relator;77;1;0;0
deve ser mantida;1;0;0;3
ser mantida a;1;0;1;4
em família substituta;2;8;5;18
agravo de instrumento;63;4;3;48
de instrumento desprovido;9;1;0;2
instrumento desprovido agravo;7;1;0;0
desprovido agravo de;27;1;0;0
de instrumento n;54;1;0;1
oitava câmara cível;52;1;0;0
câmara cível tribunal;69;1;0;0
cível tribunal de;75;1;0;0
tribunal de justiça;77;1;0;0
de justiça do;77;1;0;0
justiça do rs;77;1;0;0
do rs relator;77;1;0;0
deve ser mantida a;1;0;0;3
agravo de instrumento desprovido;9;1;0;2
de instrumento desprovido agravo;7;1;0;0
instrumento desprovido agravo de;7;1;0;0
desprovido agravo de instrumento;27;1;0;0
agravo de instrumento n;54;1;0;1
oitava câmara cível tribunal;52;1;0;0
câmara cível tribunal de;69;1;0;0
cível tribunal de justiça;75;1;0;0
tribunal de justiça do;77;1;0;0
de justiça do rs;77;1;0;0
justiça do rs relator;77;1;0;0
agravo de instrumento desprovido agravo;7;1;0;0
de instrumento desprovido agravo de;7;1;0;0
instrumento desprovido agravo de instrumento;7;1;0;0
desprovido agravo de instrumento n;27;1;0;0
oitava câmara cível tribunal de;52;1;0;0
câmara cível tribunal de justiça;69;1;0;0
cível tribunal de justiça do;75;1;0;0
tribunal de justiça do rs;77;1;0;0
de justiça do rs relator;77;1;0;0
agravo de instrumento desprovido agravo de;7;1;0;0
de instrumento desprovido agravo de instrumento;7;1;0;0
instrumento desprovido agravo de instrumento n;7;1;0;0
oitava câmara cível tribunal de justiça;52;1;0;0
câmara cível tribunal de justiça do;69;1;0;0
cível tribunal de justiça do rs;75;1;0;0
tribunal de justiça do rs relator;77;1;0;0
