"";"*ano_2013";"*ano_2014";"*ano_2015";"*ano_2016";"*ano_2017";"*ano_2018";"*ano_2019";"*ano_2020";"*ano_2021";"*ano_2022";"*ano_2023";"*ano_2024"
"agravo";2;0;2;6;0;13;2;8;11;30;46;37
"de";78;51;47;124;62;123;29;147;79;280;441;525
"instrumento";2;0;2;6;0;11;2;8;7;21;37;31
"eca";5;4;1;2;3;8;1;5;3;14;10;17
"ação";4;2;0;3;1;3;0;10;2;8;13;11
"destituição";7;0;2;7;2;3;1;5;1;5;8;13
"poder";10;1;3;6;3;12;1;12;3;15;20;28
"familiar";10;1;3;10;4;15;2;13;5;25;36;44
"colocação";0;0;0;5;0;6;0;6;1;1;3;8
"em";33;6;16;40;20;40;11;49;22;62;91;122
"família";7;1;8;21;9;12;0;10;5;10;26;26
"substituto";2;0;1;10;2;7;0;6;2;3;4;11
"manter";3;0;5;3;3;1;0;6;1;5;4;14
"o";21;5;13;24;15;23;5;28;10;59;85;99
"demonstrar";1;0;0;1;0;2;0;0;0;2;5;8
"que";16;6;11;22;8;21;3;32;10;60;61;79
"a";25;24;21;51;26;36;13;45;27;131;172;187
"genitora";0;0;1;1;0;2;3;5;2;5;4;8
"não";2;1;3;10;7;11;3;13;4;12;28;32
"condição";2;0;1;2;2;2;3;6;0;2;3;8
"para";3;4;4;7;2;8;2;9;1;13;18;18
"assumir";2;0;1;0;0;1;0;2;0;0;2;2
"cuidado";3;0;1;0;0;3;1;2;0;6;2;12
"com";8;3;8;10;4;10;0;8;3;25;27;43
"filho";1;0;1;1;1;3;2;3;0;6;10;23
"estar";5;2;5;3;1;3;2;2;3;6;7;11
"acolher";2;0;1;0;1;1;0;2;0;6;4;5
"institucionalmente";2;0;1;2;1;0;0;2;0;4;2;5
"desde";0;0;4;2;3;0;0;0;1;2;2;6
"ano";0;0;2;2;0;1;1;1;2;3;5;6
"modo";0;0;0;1;0;0;0;2;1;0;1;5
"ao";5;3;4;9;4;0;2;8;2;23;47;18
"direito";2;4;0;6;3;6;0;3;4;13;14;7
"convivência";4;1;2;6;3;6;1;8;3;16;23;21
"considerar";0;0;1;2;1;0;0;0;0;0;2;8
