"";"X.rel_CARLOS_EDUARDO_ZIETLOW_DURO";"X.rel_EDUARDO_AUGUSTO_DIAS_BAINY";"X.rel_GLAUCIA_DIPP_DREHER";"X.rel_JANE_MARIA_KÖHLER_VIDAL";"X.rel_JOSÉ_ANTÔNIO_DALTOE_CEZAR";"X.rel_JOÃO_RICARDO_DOS_SANTOS_COSTA";"X.rel_LEANDRO_FIGUEIRA_MARTINS";"X.rel_LISELENA_SCHIFINO_ROBLES_RIBEIRO";"X.rel_LUIZ_AUGUSTO_GUIMARAES_DE_SOUZA";"X.rel_LUIZ_FELIPE_BRASIL_SANTOS";"X.rel_MANUEL_JOSÉ_MARTINEZ_LUCAS";"X.rel_MAURO_CAUM_GONÇALVES";"X.rel_RICARDO_MOREIRA_LINS_PASTL";"X.rel_ROBERTO_ARRIADA_LOREA";"X.rel_ROSANA_BROGLIO_GARBIN";"X.rel_RUI_PORTANOVA";"X.rel_SANDRA_BRISOLARA_MEDEIROS";"X.rel_VERA_LUCIA_DEBONI"
"X.rel_CARLOS_EDUARDO_ZIETLOW_DURO";0;0,344924406047516;0,35397652058803;0,433551992225462;0,334338863750628;0,267953348487173;0,340440938280074;0,433248081841432;0,374602613917344;0,330240273241806;0,366039426523298;0,342093212414659;0,453586337760911;0,340752252014961;0,401617498391692;0,423847471512624;0,35354913776386;0,363898202605398
"X.rel_EDUARDO_AUGUSTO_DIAS_BAINY";0,344924406047516;0;0,305171530977983;0,367063492063492;0,304802770249925;0,263929193267557;0,333216619981326;0,408235294117647;0,390626916942706;0,296353972398359;0,362222222222222;0,352950188707447;0,421225832990539;0,355184815184815;0,350940170940171;0,403401143343672;0,355572623314559;0,37811209439528
"X.rel_GLAUCIA_DIPP_DREHER";0,35397652058803;0,305171530977983;0;0,399275593906466;0,329670842086663;0,291609720480033;0,366439193126915;0,408984334474531;0,416383701188455;0,303681657848325;0,466442953020134;0,353372027509234;0,409760348583878;0,405786149334536;0,388470142832559;0,41243986983588;0,339471105461094;0,425477985359991
"X.rel_JANE_MARIA_KÖHLER_VIDAL";0,433551992225462;0,367063492063492;0,399275593906466;0;0,333012717751416;0,371453357828128;0,394223263075722;0,386612576064909;0,497032053818757;0,349033774970824;0,49698275862069;0,414052410115402;0,478458417849899;0,421878346541015;0,445305039787798;0,370770676691729;0,369734629424552;0,46344217271895
"X.rel_JOSÉ_ANTÔNIO_DALTOE_CEZAR";0,334338863750628;0,304802770249925;0,329670842086663;0,333012717751416;0;0,276518074890568;0,33011707421861;0,382839856618942;0,38547240635732;0,261075063649791;0,382888349514563;0,291454673041231;0,335957377405676;0,3014971630537;0,285767630427825;0,349287468256134;0,283153432616254;0,337313242445986
"X.rel_JOÃO_RICARDO_DOS_SANTOS_COSTA";0,267953348487173;0,263929193267557;0,291609720480033;0,371453357828128;0,276518074890568;0;0,276002162741224;0,387137417714774;0,395283190675651;0,257660652946847;0,37512128072445;0,226574853831994;0,420840336134454;0,300204604041606;0,303383421235944;0,306179856483057;0,34859909333282;0,376766696671771
"X.rel_LEANDRO_FIGUEIRA_MARTINS";0,340440938280074;0,333216619981326;0,366439193126915;0,394223263075722;0,33011707421861;0,276002162741224;0;0,388758782201405;0,359402720283856;0,343118728973071;0,436182669789227;0,360361388802818;0,415633423180593;0,384403831462655;0,384579355071158;0,369434615951644;0,332005215879455;0,386327314362045
"X.rel_LISELENA_SCHIFINO_ROBLES_RIBEIRO";0,433248081841432;0,408235294117647;0,408984334474531;0,386612576064909;0,382839856618942;0,387137417714774;0,388758782201405;0;0,507405448294102;0,367642793157872;0,524978495335142;0,450187434560655;0,466331658291457;0,367264790830796;0,46017116524029;0,413608300463042;0,310916442048518;0,479877262418286
"X.rel_LUIZ_AUGUSTO_GUIMARAES_DE_SOUZA";0,374602613917344;0,390626916942706;0,416383701188455;0,497032053818757;0,38547240635732;0,395283190675651;0,359402720283856;0,507405448294102;0;0,417360044674019;0,443845835060091;0,386179079438168;0,380292837356549;0,358331060812653;0,397283531409168;0,441433066361556;0,403191994857031;0,318421052631579
"X.rel_LUIZ_FELIPE_BRASIL_SANTOS";0,330240273241806;0,296353972398359;0,303681657848325;0,349033774970824;0,261075063649791;0,257660652946847;0,343118728973071;0,367642793157872;0,417360044674019;0;0,395286602209945;0,294484479220089;0,392880467276825;0,369828972622289;0,343659870711089;0,311356868708089;0,299977982290203;0,400714650331802
"X.rel_MANUEL_JOSÉ_MARTINEZ_LUCAS";0,366039426523298;0,362222222222222;0,466442953020134;0,49698275862069;0,382888349514563;0,37512128072445;0,436182669789227;0,524978495335142;0,443845835060091;0,395286602209945;0;0,404614767255217;0,506438165817508;0,424006746626687;0,445276497695853;0,43718112244898;0,44209219038817;0,39174970385339
"X.rel_MAURO_CAUM_GONÇALVES";0,342093212414659;0,352950188707447;0,353372027509234;0,414052410115402;0,291454673041231;0,226574853831994;0,360361388802818;0,450187434560655;0,386179079438168;0,294484479220089;0,404614767255217;0;0,39986954459203;0,372582025717377;0,343836182786546;0,259635419015577;0,372467268290404;0,384861486428584
"X.rel_RICARDO_MOREIRA_LINS_PASTL";0,453586337760911;0,421225832990539;0,409760348583878;0,478458417849899;0,335957377405676;0,420840336134454;0,415633423180593;0,466331658291457;0,380292837356549;0,392880467276825;0,506438165817508;0,39986954459203;0;0,422025805140709;0,397126592572513;0,412308184143222;0,360674704664474;0,401411764705882
"X.rel_ROBERTO_ARRIADA_LOREA";0,340752252014961;0,355184815184815;0,405786149334536;0,421878346541015;0,3014971630537;0,300204604041606;0,384403831462655;0,367264790830796;0,358331060812653;0,369828972622289;0,424006746626687;0,372582025717377;0,422025805140709;0;0,344020297543536;0,445719797443935;0,368435343844632;0,335746431963005
"X.rel_ROSANA_BROGLIO_GARBIN";0,401617498391692;0,350940170940171;0,388470142832559;0,445305039787798;0,285767630427825;0,303383421235944;0,384579355071158;0,46017116524029;0,397283531409168;0,343659870711089;0,445276497695853;0,343836182786546;0,397126592572513;0,344020297543536;0;0,361577708006279;0,376318782880705;0,422902817992741
"X.rel_RUI_PORTANOVA";0,423847471512624;0,403401143343672;0,41243986983588;0,370770676691729;0,349287468256134;0,306179856483057;0,369434615951644;0,413608300463042;0,441433066361556;0,311356868708089;0,43718112244898;0,259635419015577;0,412308184143222;0,445719797443935;0,361577708006279;0;0,359077439933564;0,38895159833845
"X.rel_SANDRA_BRISOLARA_MEDEIROS";0,35354913776386;0,355572623314559;0,339471105461094;0,369734629424552;0,283153432616254;0,34859909333282;0,332005215879455;0,310916442048518;0,403191994857031;0,299977982290203;0,44209219038817;0,372467268290404;0,360674704664474;0,368435343844632;0,376318782880705;0,359077439933564;0;0,362698280180331
"X.rel_VERA_LUCIA_DEBONI";0,363898202605398;0,37811209439528;0,425477985359991;0,46344217271895;0,337313242445986;0,376766696671771;0,386327314362045;0,479877262418286;0,318421052631579;0,400714650331802;0,39174970385339;0,384861486428584;0,401411764705882;0,335746431963005;0,422902817992741;0,38895159833845;0,362698280180331;0
