"";"*rel_CARLOS_EDUARDO_ZIETLOW_DURO";"*rel_EDUARDO_AUGUSTO_DIAS_BAINY";"*rel_GLAUCIA_DIPP_DREHER";"*rel_JANE_MARIA_KÖHLER_VIDAL";"*rel_JOSÉ_ANTÔNIO_DALTOE_CEZAR";"*rel_JOÃO_RICARDO_DOS_SANTOS_COSTA";"*rel_LEANDRO_FIGUEIRA_MARTINS";"*rel_LISELENA_SCHIFINO_ROBLES_RIBEIRO";"*rel_LUIZ_AUGUSTO_GUIMARAES_DE_SOUZA";"*rel_LUIZ_FELIPE_BRASIL_SANTOS";"*rel_MANUEL_JOSÉ_MARTINEZ_LUCAS";"*rel_MAURO_CAUM_GONÇALVES";"*rel_RICARDO_MOREIRA_LINS_PASTL";"*rel_ROBERTO_ARRIADA_LOREA";"*rel_ROSANA_BROGLIO_GARBIN";"*rel_RUI_PORTANOVA";"*rel_SANDRA_BRISOLARA_MEDEIROS";"*rel_VERA_LUCIA_DEBONI"
"agravo";14;4;3;0;27;12;3;0;3;15;6;36;3;4;2;2;17;6
"de";94;51;46;22;296;192;45;24;14;457;27;334;12;67;24;36;227;18
"instrumento";6;4;3;0;23;12;3;0;3;15;0;32;3;4;2;2;11;4
"eca";0;2;2;2;15;5;1;1;1;21;2;7;1;1;1;1;8;2
"ação";3;0;1;1;14;2;2;1;1;7;0;11;1;2;2;3;5;1
"destituição";1;0;1;1;9;2;1;1;1;15;0;3;1;1;2;2;12;1
"poder";5;0;1;2;26;3;5;2;1;30;0;8;2;7;5;4;12;1
"familiar";6;5;3;5;37;12;4;2;1;34;2;22;2;7;6;3;15;2
"colocação";0;0;3;1;12;1;0;0;0;6;0;0;2;0;2;0;3;0
"em";19;14;11;10;95;42;9;8;2;123;7;65;4;9;7;13;67;7
"família";3;0;9;1;19;14;1;2;0;37;0;16;3;0;3;1;26;0
"substituto";0;0;4;1;13;1;0;0;0;11;0;1;3;0;2;0;12;0
"manter";1;0;0;1;9;2;0;1;0;3;0;4;2;9;0;1;12;0
"o";14;10;11;10;62;40;9;5;2;83;4;71;3;10;1;8;41;3
"demonstrar";0;1;0;1;1;3;2;0;1;5;0;3;1;0;0;0;1;0
"que";9;7;6;3;61;24;5;2;3;84;4;64;3;12;5;6;28;3
"a";28;15;16;7;92;70;11;3;4;201;6;187;4;22;10;26;49;7
"genitora";1;0;2;0;9;3;0;0;0;8;0;5;1;1;0;0;1;0
"não";6;3;0;4;17;12;7;2;0;46;0;8;1;2;0;2;16;0
"condição";0;1;2;1;8;3;0;2;0;7;0;1;1;0;0;1;4;0
"para";3;0;2;4;16;8;2;0;1;19;0;16;1;2;2;2;11;0
"assumir";0;0;1;0;2;0;0;0;0;4;0;1;1;0;0;0;1;0
"cuidado";0;0;1;1;3;3;1;0;0;11;0;6;1;1;0;0;2;0
"com";7;2;3;2;23;7;1;1;1;42;2;27;1;4;0;3;22;1
"filho";2;1;0;0;11;4;1;1;0;16;0;8;1;5;0;0;1;0
"estar";4;2;0;0;6;2;2;0;0;18;0;4;1;0;0;1;9;1
"acolher";0;0;0;0;7;1;0;0;0;5;0;2;1;0;0;0;5;1
"institucionalmente";0;1;0;0;5;0;0;0;0;5;0;2;1;0;0;0;5;0
"desde";0;1;0;0;3;0;0;2;0;5;0;0;1;1;0;0;7;0
"ano";2;0;0;0;4;0;1;0;1;7;0;4;1;0;1;0;2;0
"modo";1;0;0;1;2;1;0;0;0;3;0;0;1;0;0;0;1;0
"ao";3;1;1;1;8;17;6;0;1;20;0;45;1;2;2;5;12;0
