"";"*tipo_proc_agravo_de_execução_penal";"*tipo_proc_agravo_de_instrumento";"*tipo_proc_apelação_cível";"*tipo_proc_conflito_de_competência";"*tipo_proc_reexame_necessário"
"agravo";6;151;0;0;0
"de";27;1327;565;16;51
"instrumento";0;127;0;0;0
"eca";2;47;18;2;4
"ação";0;34;18;3;2
"destituição";0;28;26;0;0
"poder";0;68;45;0;1
"familiar";2;117;47;1;1
"colocação";0;26;4;0;0
"em";7;331;164;4;6
"família";0;86;48;0;1
"substituto";0;34;14;0;0
"manter";0;26;19;0;0
"o";4;265;111;2;5
"demonstrar";0;16;3;0;0
"que";4;219;98;2;6
"a";6;514;208;6;24
"genitora";0;21;10;0;0
"não";0;73;52;0;1
"condição";0;20;11;0;0
"para";0;53;28;4;4
"assumir";0;7;3;0;0
"cuidado";0;17;13;0;0
"com";2;93;49;2;3
"filho";0;34;17;0;0
"estar";0;36;12;0;2
"acolher";0;15;7;0;0
"institucionalmente";0;11;8;0;0
"desde";0;6;14;0;0
"ano";0;15;8;0;0
"modo";0;4;6;0;0
"ao";0;91;31;0;3
"direito";2;44;10;2;4
"convivência";4;67;21;1;1
"considerar";0;8;6;0;0
"natural";0;7;7;0;0
"extenso";0;16;18;0;0
"dever";0;37;7;0;2
"ser";2;119;58;1;5
"desprover";0;42;14;0;0
"n";2;58;19;1;1
"oitavo";0;40;11;1;1
"câmara";2;58;19;1;1
"cível";0;56;56;1;1
"tribunal";2;55;19;1;1
"justiça";2;55;19;1;1
"rs";2;56;19;1;1
"relator";2;62;19;1;1
"julgar";2;63;22;2;1
"12";0;9;2;0;0
"2024";0;13;5;0;0
"criança";4;111;30;2;7
"adolescente";4;41;9;1;7
"menor";0;43;28;1;0
"situação";0;32;25;0;1
"risco";0;17;7;0;1
"manutenção";0;32;9;0;0
"acolhimento";2;92;23;1;3
"institucional";2;82;19;1;2
"melhor";0;30;10;0;0
"interesse";0;44;21;2;0
"recurso";0;26;5;0;0
"i";0;5;4;1;1
"caso";0;28;12;0;0
"1";0;20;10;0;2
"por";6;93;62;2;0
"materno";0;34;5;0;0
"decisão";0;71;2;0;0
"determinar";0;12;0;0;0
"infante";0;57;21;0;0
"adoção";0;21;16;0;0
"agravante";0;23;0;0;0
"possuir";0;10;4;0;0
"suspensão";0;20;1;0;0
"sua";0;36;15;0;0
"questão";0;6;5;0;0
"2";0;14;8;0;1
"haver";0;14;14;0;0
"se";0;61;20;0;2
"atender";0;6;4;0;1
"razão";0;10;6;0;0
"3";0;9;8;0;0
"estatuto";2;10;4;0;0
"prevalência";0;8;20;0;0
"possível";0;7;7;0;0
"vínculo";0;11;8;0;0
"art";2;28;12;1;5
"único";0;4;6;0;0
"4";2;9;2;0;0
"psicológico";0;11;1;0;0
"protetiva";0;10;11;1;0
"entre";0;6;6;0;0
"outro";0;9;6;1;0
"um";0;17;7;0;1
"ambiente";0;8;3;0;0
"elemento";0;17;3;0;0
"auto";0;21;11;0;0
"como";0;18;11;0;0
"forma";0;18;9;0;1
"seu";0;26;12;1;0
"desenvolvimento";0;11;4;0;0
"primeiro";2;8;2;0;1
"especial";0;6;10;0;0
"09";0;14;2;0;0
"medida";0;43;24;2;1
"proteção";0;42;9;0;2
"paterno";0;11;3;0;0
"observar";0;8;2;0;0
"dar";0;12;3;0;0
"após";0;5;5;0;0
"equipa";0;9;3;0;0
"técnica";0;9;3;0;0
"ter";0;19;8;0;0
"acolhido";0;8;3;0;0
"visita";2;19;3;0;0
"momento";0;12;0;0;0
"juízo";0;12;3;0;0
"origem";0;17;1;0;0
"2023";0;16;3;0;0
"fato";0;3;8;0;0
"pretensão";0;14;2;0;0
"respeito";0;10;3;0;1
"contexto";0;15;3;1;0
"guarda";0;30;20;0;0
"avô";0;28;7;0;0
"quando";0;10;3;0;1
"social";0;8;8;0;0
"bem";0;15;4;0;0
"evidenciar";0;6;4;0;0
"também";0;8;2;0;0
"afetivo";0;7;10;0;0
"princípio";0;17;10;1;0
"prioridade";0;11;1;0;2
"19";2;9;2;0;0
"227";0;15;1;0;1
"salvo";0;11;2;0;1
"sob";0;9;9;0;0
"11";0;14;2;0;0
"prova";0;10;2;0;0
"tentativa";0;4;6;0;0
"retorno";0;7;3;0;0
"proteger";0;10;2;0;0
"mãe";2;7;14;0;0
"já";0;14;8;0;0
"agravar";0;17;1;0;0
"sétimo";0;11;6;0;0
"luiz";0;9;4;0;1
"genitor";0;30;11;0;0
"inviabilidade";0;8;4;0;0
"autorizar";0;7;3;0;0
"reforma";0;12;0;0;0
"concreto";0;7;3;0;0
"qual";0;8;8;0;0
"precedente";0;8;4;1;0
"pedido";0;22;5;0;0
"exercer";0;12;7;1;0
"mais";0;9;3;0;0
"vida";0;14;2;0;1
"03";0;11;0;0;0
"sem";0;8;4;0;0
"apresentar";0;9;4;0;0
"além";1;16;7;0;1
"uma";0;9;13;0;0
"saúde";0;13;2;0;1
"justificar";0;8;2;0;0
"pai";2;8;7;0;0
"artigo";0;11;6;0;0
"visitação";2;10;0;0;0
"quanto";0;7;3;0;0
"ir";0;24;28;0;0
"tender";0;6;7;0;0
"santo";0;14;5;0;1
"08";0;7;2;0;1
"apelação";0;1;43;0;0
"realizar";0;1;11;0;0
"ré";0;0;10;0;0
"integral";0;10;3;0;2
"sentença";0;0;26;0;1
"assegurar";0;23;3;0;2
"comunitário";2;9;3;1;1
"aplicação";0;8;7;1;1
"inc";0;3;6;0;2
"possibilidade";0;15;1;1;0
"apelante";0;0;21;0;0
"liberdade";2;9;4;0;1
"negligência";0;25;15;0;1
"ele";0;18;4;0;1
"unânime";0;11;4;0;1
"felipe";0;8;4;0;1
"brasil";0;8;4;0;1
"interno";0;15;0;0;0
"julgamento";0;14;0;1;0
"ausente";0;10;2;0;0
"prejuízo";0;11;2;0;0
"qualquer";0;11;5;0;1
"determinado";0;12;2;1;0
"abandono";0;4;10;0;0
"pleito";0;9;3;0;0
"confirmar";0;4;6;0;1
"vulnerabilidade";0;5;5;0;0
"descabimento";0;10;4;0;0
"assim";0;7;3;0;0
"restar";0;9;4;0;0
"04";0;3;8;0;0
"verificar";0;5;9;0;1
"idade";0;11;12;0;0
"relação";0;5;5;0;0
"nascimento";0;3;9;0;0
"josé";2;11;2;0;0
"antônio";0;11;2;0;0
"daltoe";0;11;2;0;0
"cezar";0;11;2;0;0
"público";0;8;4;0;2
"fazer";0;2;8;0;0
"negar";0;8;2;0;0
"provimento";0;11;4;0;0
"impossibilidade";0;6;4;0;0
"imediato";0;11;1;1;0
"todo";0;13;8;0;1
"fim";0;8;2;2;0
"preliminar";0;2;13;0;0
"ausência";0;8;2;0;0
"rejeitar";0;1;11;0;0
"biológico";0;7;11;0;0
"desacolhimento";0;15;0;0;0
"maior";0;7;3;0;0
"atendimento";0;6;1;0;5
"constituição";0;15;1;0;1
"federal";0;15;1;0;1
"sociedade";0;9;2;0;1
"estado";0;12;2;0;1
"jovem";0;11;1;0;0
"absoluto";0;11;3;0;2
"alimentação";0;9;2;0;1
"educação";0;9;3;0;1
"lazer";0;10;2;0;1
"profissionalização";0;9;2;0;1
"cultura";0;9;2;0;1
"dignidade";0;9;2;0;1
"colocá";0;9;2;0;1
"discriminação";0;9;2;0;1
"exploração";0;9;2;0;1
"violência";0;11;2;0;1
"crueldade";0;9;2;0;1
"opressão";0;9;2;0;1
"prever";0;18;0;0;2
"mauro";0;12;1;1;0
"caum";0;12;1;1;0
"gonçalves";0;14;1;1;0
"05";1;10;1;2;1
"encontrar";0;10;5;0;0
"2022";2;11;1;1;0
"inserção";0;7;4;0;0
"citação";0;0;14;0;0
"edital";0;0;11;0;0
