"";"Valeurs propres";"Pourcentages";"Pourcentage cumules"
"facteur 1";0,0902694525920774;22,936657402316;22,936657402316
"facteur 2";0,0584532990050892;14,852458443207;37,789115845523
"facteur 3";0,0527231414233007;13,3964768509767;51,1855926964997
"facteur 4";0,0384607802362716;9,77253893065653;60,9581316271563
"facteur 5";0,0313783701604981;7,97296212115911;68,9310937483154
"facteur 6";0,0277659666241049;7,0550828172091;75,9861765655245
"facteur 7";0,0249344796127852;6,33562739067373;82,3218039561982
"facteur 8";0,0222159007583754;5,64486091304192;87,9666648692401
"facteur 9";0,0196115376922552;4,9831156417065;92,9497805109466
"facteur 10";0,0167537116316586;4,25696769924001;97,2067482101866
"facteur 11";0,0109931148900899;2,79325178981335;100
