"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Coord. facteur 4";"Coord. facteur 5";"Coord. facteur 6";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"Corr. facteur 4";"Corr. facteur 5";"Corr. facteur 6";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"COR -facteur 4";"COR -facteur 5";"COR -facteur 6";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"CTR -facteur 4";"CTR -facteur 5";"CTR -facteur 6";"mass";"chi.distance";"inertie"
"agravo";-0,806489760929147;-1,04657754518284;-0,00504735822450958;0,222092096487371;0,585350548501109;1,06366690067159;-0,446049661014343;-0,578836312461309;-0,00279156975590946;0,122833678927338;0,323742998835688;0,58828801487837;0,306156992168225;0,333854711598162;7,00382352198254e-06;0,00989213319614935;0,0560619369786137;0,163805977218162;0,00884205042115488;0,0148901165138721;3,46324749528475e-07;0,000670535041438951;0,00465786964646256;0,0153803621323696;0,0135942505844662;0,437922411083723;0,00260705151842695
"de";-0,123343942136178;-0,192894808866634;0,153397080729557;0,106481885285214;-0,0155574129762441;-0,179828353810599;-0,356254143575368;-0,557137819197047;0,443056583694523;0,307551487260661;-0,04493445515128;-0,519397994484664;0,173540427032688;0,274836437947887;0,156768813821415;0,0551053490590712;0,000959686413392129;0,1134627586296;0,00261619741367408;0,00639846712904689;0,00404640223841298;0,00194978321077777;4,16207233221604e-05;0,00556097829706302;0,17196294051433;0,0889585915196228;0,00136085125779185
"instrumento";-0,545861952179787;-0,980503411849353;0,0303931793240245;0,190305663976288;0,674498293065788;0,935794609338988;-0,336775313015041;-0,60493196515943;0,0187513939000449;0,117411095054745;0,416138866004944;0,57734839590748;0,196140711297596;0,409796773271563;0,000355152464774144;0,0101574059007639;0,104100635519328;0,177310789872479;0,00327661177559668;0,0105720098244285;1,01580794334257e-05;0,000398256403945355;0,00500289109994631;0,00962986985541817;0,0109966230842497;0,370313338590737;0,0015079885730153
"eca";-0,325075943620005;-0,165001021040028;-0,244402522605845;-1,38550910366588;-1,09601966915843;-0,580301316465669;-0,170146080898242;-0,0863622105085273;-0,127921281777891;-0,725181142020002;-0,573661185807964;-0,303732086838578;0,0519243089102035;0,00866248594078404;0,0171424503317285;0,401880663069669;0,205176364553003;0,0508955909422175;0,000667956441751828;0,000172088457609349;0,000377563364195632;0,0121338115657542;0,00759303103370835;0,00212855849909954;0,00632089358386007;0,428617475283619;0,00116122994446712
"ação";0,0203181179565586;-0,499320906400373;-1,30382088073371;0,129008255316908;-0,585494474195421;-0,0936053581492937;0,0133455624913831;-0,327969272245968;-0,856389508054077;0,084736575351968;-0,384570712230375;-0,0614828676248755;0,000177274209220601;0,0693276247180392;0,426358510627435;0,00304502517529426;0,0511698067184495;0,00115731613829882;2,03749911558645e-06;0,00123052367749623;0,00839008456793851;8,21420388410258e-05;0,00169190539621285;4,3244600851388e-05;0,00493549225041129;0,458491304326838;0,0010375109308312
"destituição";1,22792658599614;0,688184262479353;0,440410645060709;-0,672843369949802;-0,0927659183772507;0,940986605839555;0,654287994988096;0,366691874266002;0,234668262104956;-0,358517638176517;-0,0494293611934807;0,501394991090577;0,452947224989848;0,0921256341479454;0,0340313269911892;0,0579439416079748;0,000898605905422566;0,0818166456488988;0,007050082243674;0,00221441417202438;0,000906911677138338;0,00211678784537293;4,02370632148443e-05;0,0041401517696727;0,00467572950038964;0,548174722237881;0,00140503579612358
"poder";0,522527476769532;-0,324807273593197;-0,215807624163823;-0,725023078392404;-0,696246066971285;0,841733741678762;0,356855709881221;-0,221824373541619;-0,147383987144332;-0,495148364100488;-0,475495348143448;0,574854922031663;0,241505166582751;0,0604265600541832;0,0240603642952505;0,198102111497559;0,149047001739334;0,192765639267538;0,00269512389762068;0,00104138654494859;0,000459720676576731;0,00518876655286018;0,00478504448680579;0,0069937474131423;0,00987098450082258;0,319459879726375;0,00100737952048195
"familiar";0,107836759746688;-0,420242882625216;0,114491270033754;-0,281880156545959;-0,16267947708266;0,652883757727151;0,125910238647125;-0,490675737711247;0,133680047201206;-0,32912337002671;-0,189944614717489;0,762307305387872;0,0283426286088115;0,278724675296406;0,0186600018530078;0,0825111719905694;0,0224213405426815;0,319558360074793;0,000169160344137822;0,00256900904898445;0,000190681977101242;0,00115582985591263;0,000384973145755746;0,006200641595416;0,0145467140012122;0,192449670223251;0,000538764836401281
"colocação";1,81840028088236;-1,40276904876;-1,56501142095313;-0,344352185566195;0,891655383825357;0,167442150206193;0,617729783900519;-0,47653546387068;-0,53165091153534;-0,116980074965815;0,302904752795629;0,0568818671830162;0,334045950533934;0,128726452142772;0,144518260165647;0,00510399453592524;0,0279197083463652;0,00087122194242985;0,00858926205259253;0,00511151009825706;0,00636226707346198;0,0003080225847369;0,00206524198676442;7,28293540540475e-05;0,00259762750021647;0,945271988509545;0,00232108182248019
"em";0,514243325706385;-0,0226279850070887;-0,0649961719285371;-0,33886196796093;0,188602388805298;0,24474981575408;0,742645978430969;-0,0326782696545983;-0,0938644087015258;-0,489368486024988;0,272370682451406;0,353456150630272;0,641926451134139;0,000804836987524071;0,00598940901433539;0,118760189775557;0,0300145540709292;0,0447264758044184;0,0117236516921971;2,26995550442712e-05;0,000187284198724249;0,00509062653607598;0,00157695738715812;0,00265564688055831;0,0443328426703611;0,192839693440266;0,00164861195354243
