"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Coord. facteur 4";"Coord. facteur 5";"Coord. facteur 6";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"Corr. facteur 4";"Corr. facteur 5";"Corr. facteur 6";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"COR -facteur 4";"COR -facteur 5";"COR -facteur 6";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"CTR -facteur 4";"CTR -facteur 5";"CTR -facteur 6";"mass";"chi.distance";"inertie"
"classe 1";0,661400652207728;-0,772805863900328;-1,08508894037113;0,480353584828245;0,467874647652798;1,83525573104773;0,269345231234411;-0,314713288256885;-0,441885762553455;0,19561660084243;0,190534745830855;0,747379636840874;0,121960974023612;0,113056674707812;0,122490828355333;0,0221258896173999;0,0168790638543966;0,188664314429857;0,0202974479178919;0,0277110521438938;0,0546314681858456;0,0107061733326306;0,0101571349858808;0,156280710110412;0,0463993821996267;0,148707865979668;0,00102607730230051
"classe 2";0,795968592095;1,87887517238306;-1,60127561169227;0,971414885238746;-0,280644838138188;-3,66977914893378;0,172801988122374;0,407897206555621;-0,34763131608498;0,210890762685883;-0,0609270095179492;-0,796696175205496;0,0698194976541134;0,264146253895797;0,105438273624721;0,0357669071839932;0,00240047207431385;0,298173918001401;0,0125171994258138;0,069744692542186;0,0506579355474828;0,0186433870862903;0,00155607106173487;0,266069544603796;0,0197567411030311;0,236530601429199;0,00110532496953631
"classe 3";-0,213996329574648;-0,468719530818162;-2,7970503258136;0,693311385566903;-3,33110812751885;1,55995056720429;-0,0455214590844455;-0,0997063687336587;-0,594990634730695;0,147481715848097;-0,708595809255774;0,331833849953845;0,00599499496903383;0,0195283710429659;0,382171226470521;0,0216431196914918;0,401745774624086;0,064003361521138;0,00144700847378003;0,00694199866774344;0,247205988019872;0,0151885071486028;0,350619354295391;0,0768918124790139;0,0315979149237403;0,217015961622553;0,00148813311352662
"classe 4";-0,661356676653507;-1,44288701999741;2,58602216320865;-0,057621639732833;-0,565482324084259;0,567665574896882;-0,21070264778825;-0,459691610147653;0,823884805675941;-0,0183577674350287;-0,180157889332733;0,180853454590097;0,0882047512140701;0,28506827749868;0,503229661137367;0,000230291942509694;0,0178343073498352;0,0130560122294371;0,0292458309576282;0,139205737024493;0,447153841503442;0,000222005485987188;0,021381124843745;0,021546542822254;0,0668640195636785;0,174851562342507;0,00204423827394985
"classe 5";-0,205589890861239;0,442076384631656;0,669611139319816;-1,12776091368507;0,132358546545152;0,649757760647962;-0,13277337598239;0,285500292761237;0,432446027333674;-0,728326782915675;0,0854793540251613;0,419624384694163;0,0255861187200315;0,080326579494752;0,101280885407454;0,264802449765101;0,0029329358302345;0,0513462566086013;0,00138995693723121;0,0064267656704316;0,0147449455439542;0,0418246110226322;0,000576105222668871;0,0138835581687285;0,0328849990346869;0,100920481809681;0,00033493186205578
"classe 6";0,382052553147424;-1,27207007240121;-0,617440096228738;-1,88629651005256;0,413409478290655;-0,496753416916883;0,154421151913891;-0,51415577327547;-0,249562030437928;-0,762418880684905;0,167095252534878;-0,200781893028906;0,0461569064931617;0,347437183285887;0,0449843438739437;0,386987936092868;0,0149468275572638;0,0156775121154022;0,00925250602136353;0,102573514065405;0,0241658915209787;0,225544938926503;0,0108336305933099;0,015642093948151;0,0633888924641225;0,13963186022026;0,00123589681078201
"classe 7";-7,71128321684557;0,63068925308016;-1,64976686519422;0,0556106842594223;1,76341952373265;-0,348545941830782;-0,950507586886193;0,0777399692324495;-0,203353433905131;0,0068546798002494;0,217362478985278;-0,0429624425367785;0,963628150461344;0,00437674027590917;0,0164582090796708;1,72369201973737e-05;0,0139368666174639;0,00039553158451772;0,880152804916207;0,00588756385923717;0,0402856080303322;4,57742510376644e-05;0,0460273592790232;0,00179814549973246;0,0148014672758865;0,61681038808273;0,00563129304426004
"classe 8";-0,317615590427647;-1,66366022993494;-0,168401506624225;0,736628138191747;-1,34344488106851;-1,14029292453203;-0,124152567572773;-0,650307149082419;-0,0658263638833673;0,287940130960574;-0,525138363493366;-0,445728417094082;0,028279288987216;0,526814688490181;0,00296645700680828;0,0523176819410002;0,139927234642396;0,0732322973659619;0,00765410406141363;0,210000344953125;0,00215170477533119;0,041170614291622;0,136940038036242;0,0986560214593525;0,075873608340305;0,148302111191841;0,00166872743296773
"classe 9";0,352254713371181;-0,629445188466432;-0,674060905157489;-2,97495194806586;0,356412001762449;-1,92216187961863;0,0953548330613348;-0,170389887173011;-0,182467296091894;-0,805315118876478;0,0964802049172381;-0,520326395050279;0,0239280143189215;0,0518767324986716;0,0326943391675238;0,587002522297483;0,0067747825082075;0,143145563203233;0,00432802584696437;0,0138194912763807;0,0158480013059437;0,30869964531624;0,00443078686724831;0,128871279359726;0,0348799794066542;0,178806477472967;0,00111517420434838
"classe 10";0,15417565586975;0,651236079748558;0,676053491857243;1,02207451909608;-0,146871694612831;-0,93260412409841;0,0914721697863689;0,386377323460813;0,401101454331265;0,606395175799096;-0,0871387412665616;-0,553312533692522;0,0195560048713312;0,236913155784684;0,140311057954931;0,295597442787876;0,00490820193958776;0,143763331472355;0,00343572420426027;0,0613004400088707;0,0660615570739703;0,150991259445717;0,00311790513210545;0,125713335210305;0,144539545659309;0,0865676246195445;0,00108317265320029
