"";"Valeurs propres";"Pourcentages";"Pourcentage cumules"
"facteur 1";0,00616537545598431;30,9905320708266;30,9905320708266
"facteur 2";0,00418623180342938;21,0422790771272;52,0328111479538
"facteur 3";0,00230059822459538;11,5640585995792;63,596869747533
"facteur 4";0,0021205404045184;10,658990013321;74,255859760854
"facteur 5";0,00170512889010065;8,57090568624917;82,8267654471032
"facteur 6";0,00123869523406821;6,22635631056506;89,0531217576682
"facteur 7";0,000817021033983728;4,10679231734968;93,1599140750179
"facteur 8";0,000623622196497621;3,13466451777564;96,2945785927935
"facteur 9";0,000412256827553354;2,07222715419685;98,3668057469904
"facteur 10";0,000239435915517567;1,20353520588151;99,5703409528719
"facteur 11";8,54780207565066e-05;0,429659047128117;100
