"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Coord. facteur 4";"Coord. facteur 5";"Coord. facteur 6";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"Corr. facteur 4";"Corr. facteur 5";"Corr. facteur 6";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"COR -facteur 4";"COR -facteur 5";"COR -facteur 6";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"CTR -facteur 4";"CTR -facteur 5";"CTR -facteur 6";"mass";"chi.distance";"inertie"
"nom";0,0229290291455543;0,0819905797392552;0,190385243293545;-0,494521469606605;-0,166684001828058;-0,424914738640868;0,0325444935568065;0,116373958840747;0,270224756763378;-0,701902844605835;-0,236584217721567;-0,603105996599559;0,00291471748334914;0,0253056088803525;0,0749847505489352;0,466318299281643;0,0426001034922862;0,201109997881301;0,000165344824321023;0,00211420544411739;0,0113995009461411;0,0769111977494351;0,00873790079454849;0,0567835921940458;0,314499002509814;0,0333478007480807;0,000349746734449035
"pre";0,128437949496055;-0,272899689938883;-0,122107356699941;-0,23883455156184;0,380707069751626;-0,574769496702111;0,160771096357099;-0,341599834933007;-0,152846831383894;-0,298959091555197;0,476546793490712;-0,719462763925969;0,0734441026354939;0,225133451730851;0,0247705193942363;0,0873477123168068;0,17846364914016;0,295503455057916;0,00317951213578095;0,0143542281422467;0,00287380582070521;0,0109943123331062;0,0279354481956248;0,0636738608112424;0,192740845614261;0,0372129983454703;0,000266908919579807
"ver_sup";-0,529163540422605;-2,09228698581969;-1,63870054361638;0,601944981664091;-1,3452837734059;0,61630088698417;-0,168221942422125;-0,665141405203445;-0,520945544122684;0,191359279904119;-0,427667879934757;0,195923045344654;0,0550481532952025;0,584344792769149;0,196989634298851;0,0244998568169168;0,0983984865093664;0,0150021481617724;0,00859557906226293;0,134380984902602;0,0824317477299953;0,0111226663217342;0,0555549959187755;0,0116595260720056;0,0306969560460776;0,177091738316889;0,000962702089137424
"adj";0,315712331977454;-0,375653206873725;0,111889424609754;-0,131654543651776;0,62722446026588;1,51428732757058;0,183593452544481;-0,218450349333451;0,0650660860747977;-0,0765599242221672;0,364744397088628;0,880590368047111;0,119128606891155;0,114517251428489;0,00558331721612799;0,00712511203614402;0,130039900147724;0,550623172301874;0,0113022765495447;0,0160013652546762;0,00141958342005292;0,00196541624548847;0,0446096494308103;0,260015605032292;0,1133921101744;0,0718229566360296;0,000584937407175238
"nr";0,248064419824335;1,19030756368076;-1,52580917580994;0,337748500874263;-1,33382110489069;-1,08928356894165;0,0945314104628022;0,453597710461522;-0,581449341217654;0,128707866254865;-0,508287284567689;-0,415099885098105;0,0173922200554554;0,271899367378725;0,245531808493542;0,0110891931939627;0,139065345903677;0,0673771923564571;0,00168304147388398;0,0387511191753743;0,063674612099811;0,00311998656176042;0,0486587595364582;0,0324524708646413;0,0273505373576163;0,147695318981153;0,000596622085127833
"ver";-0,0792653379132758;-0,995976580188927;-0,284391364278232;0,473535566668667;0,522950309592628;1,18321012520848;-0,045941619669889;-0,577260861452692;-0,164831189004281;0,274457808126162;0,303098237666521;0,685780077306471;0,00444556997148354;0,476565737587703;0,0213537856949947;0,0545698864286044;0,0535154709779299;0,19901669592126;0,000474287387924275;0,0748812694213337;0,00610531048286168;0,0169270061967921;0,020644092403208;0,105681434652446;0,075487483107021;0,0933467828614779;0,000657769383756973
"art_def";0,0214530361429148;1,27165197180261;0,556707632183399;0,630474709521078;0,294489994250029;-0,620444326489659;0,0128283033543559;0,760411586815712;0,332895275883477;0,377005882855279;0,176096611961826;-0,371008000064692;0,000293568747759077;0,700378124697774;0,0737679803251316;0,0872076642492236;0,0152992824361626;0,0493336063508591;3,53341709492764e-05;0,124152055711798;0,0237942339637929;0,0305177645086174;0,00665822495392657;0,0295544588835791;0,0767745672179677;0,0983136044572844;0,000742069556078921
"pro_rel";0,477998414551484;-0,846280110681236;0,427490219407014;1,92124881300753;-1,29249720593474;-1,79560799051323;0,153370343361797;-0,271537032768674;0,137164307952327;0,616450978003552;-0,414710037175288;-0,576137923609238;0,054314903194649;0,115600073319309;0,0162106233254744;0,301800770808671;0,109830511701073;0,153990558371825;0,00483755308187258;0,0151635574018082;0,00386923579699905;0,0781519926306622;0,0353697554538812;0,0682646534713134;0,0211725336250724;0,161044803493831;0,000549118736916699
"adv_sup";-2,01235717410033;1,89131662265119;1,37874291135828;0,111655652408093;-1,25794749420273;1,22812315219888;-0,566226285859599;0,532168543641902;0,387943297492738;0,0314170695798722;-0,353954529849922;0,34556271620054;0,436443240840725;0,261763965989179;0,076447885149796;0,000462132050067985;0,0471672277749386;0,0326592655539917;0,0774004552839604;0,0683694146620544;0,0363328919904337;0,000238283960374481;0,0302453358489455;0,0288281796550081;0,0191131990475578;0,239177842997705;0,00109339044034798
"adv";-0,169878434022982;-1,42322140215627;-0,439639900393707;1,52375168910828;1,52516215242375;0,446166816740691;-0,06377802797125;-0,534324765342046;-0,165055476440254;0,572067186798063;0,572596721752299;0,167505898447838;0,00713672155148304;0,340119028744232;0,0178360100097512;0,197486620266101;0,159093331865906;0,0098905792213971;0,000618440132650202;0,0434076324172746;0,00414205029873589;0,0497564706190936;0,0498486275735171;0,00426594940755863;0,0214299504472617;0,157895094402819;0,00053426711233324
"nom_sup";-1,48098348977637;3,16971174912993;3,02074271428757;-0,128931086922921;-0,913470481969791;2,40949311340318;-0,27976978489627;0,59878424058;0,570642782473438;-0,0243561273328675;-0,172561977911294;0,45517277856193;0,154156283120607;0,479472915113227;0,239314779822792;0,00040184919899444;0,0162198754935919;0,0819817364254305;0,0223015194880269;0,102158277010517;0,0927815222508264;0,000169024363065182;0,00848443753046909;0,0590317147846647;0,0101679644764785;0,296175660970425;0,000891934069110003
"conj";0,680922528448634;1,83643942740622;-0,381920788457519;2,53746087581613;2,03952665322276;-0,105540400679307;0,178257198054028;0,480757403446772;-0,0999821958955178;0,664276253166772;0,533923157731776;-0,027629187345961;0,0726724022794246;0,358914554921337;0,00853103960070936;0,347104179049369;0,180314463603017;0,000350765220409999;0,0141731358279631;0,103091713817024;0,00445879124213954;0,196820011309694;0,127153791130245;0,00034049286848482;0,0305682476349829;0,198331962577943;0,00120241936453497
"num";0,969511415085199;1,03487944252644;-1,7277898645171;-0,661705805176235;-1,66949445954128;1,44821386484454;0,301816554006888;0,322166136773593;-0,53787461894995;-0,205994238723939;-0,51972679936735;0,45084040409567;0,19670593978388;0,152179055370303;0,233117413409424;0,031515814287118;0,161316677365222;0,0881824092107931;0,0327855197964755;0,0373556020094983;0,104125731143123;0,0152723584755345;0,097217888457298;0,0731545969427733;0,0348799794066542;0,171642153343784;0,00102760007799949
"adj_num";-0,177689119770688;1,22289660798183;1,39795370338802;-3,90607426704514;0,638137667814979;-1,02586683920669;-0,0395369125775175;0,272101951675582;0,311053222783688;-0,869125341026819;0,141989522022404;-0,228261626768326;0,00397459086887522;0,127824464751037;0,091798923315426;0,660600311178482;0,0141774199451154;0,0266169126408241;0,000253985321488528;0,0120300221524348;0,0157207233156597;0,122734862118478;0,00327578739851616;0,00846581803674564;0,00804427569341657;0,221306609836193;0,000393981398072501
