"";"X.ano_2013";"X.ano_2014";"X.ano_2015";"X.ano_2016";"X.ano_2017";"X.ano_2018";"X.ano_2019";"X.ano_2020";"X.ano_2021";"X.ano_2022";"X.ano_2023";"X.ano_2024"
"agravo";3,96;0;5,57;7,67;0;17,17;11,83;8,59;27,09;17,66;18,47;13,13
"de";154,46;218,88;130,92;158,57;155,78;162,48;171,6;157,89;194,58;164,8;177,04;186,24
"instrumento";3,96;0;5,57;7,67;0;14,53;11,83;8,59;17,24;12,36;14,85;11
"eca";9,9;17,17;2,79;2,56;7,54;10,57;5,92;5,37;7,39;8,24;4,01;6,03
"ação";7,92;8,58;0;3,84;2,51;3,96;0;10,74;4,93;4,71;5,22;3,9
"destituição";13,86;0;5,57;8,95;5,03;3,96;5,92;5,37;2,46;2,94;3,21;4,61
"poder";19,8;4,29;8,36;7,67;7,54;15,85;5,92;12,89;7,39;8,83;8,03;9,93
"familiar";19,8;4,29;8,36;12,79;10,05;19,82;11,83;13,96;12,32;14,71;14,45;15,61
"colocação";0;0;0;6,39;0;7,93;0;6,44;2,46;0,59;1,2;2,84
"em";65,35;25,75;44,57;51,15;50,25;52,84;65,09;52,63;54,19;36,49;36,53;43,28
"família";13,86;4,29;22,28;26,85;22,61;15,85;0;10,74;12,32;5,89;10,44;9,22
"substituto";3,96;0;2,79;12,79;5,03;9,25;0;6,44;4,93;1,77;1,61;3,9
"manter";5,94;0;13,93;3,84;7,54;1,32;0;6,44;2,46;2,94;1,61;4,97
"o";41,58;21,46;36,21;30,69;37,69;30,38;29,59;30,08;24,63;34,73;34,12;35,12
"demonstrar";1,98;0;0;1,28;0;2,64;0;0;0;1,18;2,01;2,84
"que";31,68;25,75;30,64;28,13;20,1;27,74;17,75;34,37;24,63;35,31;24,49;28,02
"a";49,5;103;58,5;65,22;65,33;47,56;76,92;48,34;66,5;77,1;69,05;66,34
"genitora";0;0;2,79;1,28;0;2,64;17,75;5,37;4,93;2,94;1,61;2,84
