"";"X.ano_2013";"X.ano_2014";"X.ano_2015";"X.ano_2016";"X.ano_2017";"X.ano_2018";"X.ano_2019";"X.ano_2020";"X.ano_2021";"X.ano_2022";"X.ano_2023";"X.ano_2024"
"nom";296,81;312,7;293,28;310,88;320,94;334,01;304,35;319,76;330,26;317,01;322,8;304,24
"pre";187,24;208,47;179,23;191,53;191,78;203,05;182,61;198,47;210,33;187;186,52;197,02
"ver_sup";37,45;26,06;46,84;32,72;27,4;36,55;39,13;39,86;27,68;27,16;25,27;30,02
"adj";126,21;91,21;114,05;122,23;113,5;113,71;91,3;104,33;110,7;103,29;112,52;121,09
"nr";31,9;42,35;32,59;19,25;27,4;21,32;26,09;28,84;31,37;28,5;29,48;24,97
"ver";80,44;48,86;83,5;77;82,19;81,22;78,26;80,58;64,58;71,68;67,99;81,23
"art_def";65,19;97,72;69,25;74,11;80,23;63,96;78,26;64,46;70,11;85,93;80,93;77,45
"pro_rel";22,19;19,54;22,4;21,17;15,66;21,32;13,04;27,14;18,45;26,71;18,35;19,93
"adv_sup";13,87;13,03;16,29;19,25;23,48;13,2;39,13;20,36;11,07;19,59;24,37;16,65
"adv";30,51;19,54;18,33;23,1;17,61;18,27;26,09;24,6;22,14;20,48;17,45;23,71
"nom_sup";8,32;6,51;8,15;12,51;11,74;5,08;17,39;5,94;7,38;12,02;13,84;8,58
"conj";30,51;42,35;26,48;22,14;25,44;22,34;26,09;21,2;20,3;36,95;30,69;35,82
"num";45,77;39,09;50,92;25,99;29,35;34,52;17,39;28,84;38,75;34,28;40,01;32,04
"adj_num";5,55;9,77;4,07;8,66;11,74;10,15;8,7;5,94;11,07;7,12;9,63;7,06
"sw";0;3,26;2,04;0;0;0;0;1,7;0;0,89;0,3;1,01
"pro_pos";2,77;0;6,11;11,55;5,87;4,06;17,39;10,18;7,38;5,34;4,51;4,79
"pro_per";4,16;9,77;20,37;9,62;7,83;7,11;21,74;8,48;7,38;7,12;8,72;6,56
"pro_ind";9,71;9,77;6,11;14,44;7,83;8,12;8,7;6,79;9,23;7,12;6,32;6,56
"pro_dem";1,39;0;0;2,89;0;1,02;0;2,54;0;1,34;0,3;1,01
"ono";0;0;0;0;0;1,02;0;0;1,85;0;0;0,25
"pro_int";0;0;0;0,96;0;0;0;0;0;0,45;0;0
"adj_sup";0;0;0;0;0;0;4,35;0;0;0;0;0
