"";"X.ano_2013";"X.ano_2014";"X.ano_2015";"X.ano_2016";"X.ano_2017";"X.ano_2018";"X.ano_2019";"X.ano_2020";"X.ano_2021";"X.ano_2022";"X.ano_2023";"X.ano_2024"
"agravo";-1,5312;-1,3992;-0,8885;-1,0657;-2,4078;0,639;-0,225;-0,9789;1,6441;1,1157;1,8681;-0,3517
"de";-0,8037;1,4369;-1,7203;-0,7855;-0,6729;-0,594;-0,264;-0,8984;0,9089;-0,6801;0,633;1,9335
"instrumento";-1,1005;-1,1304;-0,6204;-0,6292;-1,9451;0,6771;0,2537;-0,5298;0,7964;0,501;1,5683;0,2721
"eca";0,6692;1,2235;-0,4784;-0,9211;0,3345;0,9829;-0,1485;-0,3393;0,3223;0,7494;-1,2083;-0,3237
"ação";0,6234;0,495;-0,7836;-0,3421;-0,3867;-0,3178;-0,3658;1,8319;-0,1703;-0,2719;0,3359;-0,6353
"destituição";2,0581;-0,4791;0,2976;1,1518;0,2518;-0,2807;0,2599;0,3538;-0,3675;-0,7589;-0,8319;-0,2589
"poder";1,5613;-0,4863;-0,28;-0,4687;-0,3532;1,1563;-0,3005;0,6841;-0,3691;-0,4221;-0,7562;0,283
"familiar";0,6974;-0,8437;-0,6408;-0,3881;-0,5117;0,861;-0,2574;-0,2918;-0,3399;0,2935;-0,2783;0,4925
"colocação";-0,5833;-0,2659;-0,412;1,3109;-0,4575;1,9243;-0,1923;1,5217;-0,1455;-1,2844;-1,0644;0,3415
"em";1,7852;-0,9872;0,2771;0,7198;0,5044;0,855;0,8841;0,9332;0,7159;-1,3162;-1,7651;-0,3977
"família";0,4229;-0,6207;1,225;3,5545;1,3593;0,7584;-0,8694;-0,3289;0,2864;-2,14;-0,5293;-1,0248
"substituto";-0,1875;-0,4257;-0,2537;2,9263;0,3041;1,4487;-0,3079;0,7281;0,2949;-1,2006;-1,8727;-0,3165
"manter";0,5027;-0,3991;1,9052;-0,1963;0,6953;-0,7075;-0,2886;0,8208;-0,2782;-0,4775;-1,6599;0,7239
"o";0,7429;-0,6946;0,3691;-0,4292;0,4472;-0,4469;-0,3023;-0,5076;-0,712;0,394;0,3524;0,5073
