"";"X.ano_2013";"X.ano_2014";"X.ano_2015";"X.ano_2016";"X.ano_2017";"X.ano_2018";"X.ano_2019";"X.ano_2020";"X.ano_2021";"X.ano_2022";"X.ano_2023";"X.ano_2024"
"nom";-0,8039;-0,3007;-0,786;-0,385;0,4073;1,0331;-0,3984;0,4513;0,6502;0,3984;0,8968;-1,2561
"pre";-0,4297;0,5838;-0,6206;-0,3203;-0,2969;0,6788;-0,4148;0,5037;0,8006;-0,6246;-0,7998;0,6561
"ver_sup";0,7792;-0,4015;1,526;0,4274;-0,4067;0,8031;0,5593;1,4107;-0,3982;-0,7893;-1,6658;-0,3862
"adj";0,8335;-0,9072;0,2983;0,724;0,2854;0,2982;-0,7722;-0,7819;-0,343;-1,267;-0,3541;1,3832
"nr";0,5993;1,0977;0,567;-1,2654;0,2707;-0,8715;-0,2528;0,3992;0,5011;0,4195;0,6705;-0,8038
"ver";0,4904;-1,3881;0,5678;0,354;0,5182;0,5888;0,3257;0,5827;-0,7301;-0,6108;-1,4664;1,2132
"art_def";-0,8893;0,99;-0,528;-0,4007;0,3905;-1,1922;0,2993;-1,2772;-0,5082;1,3542;0,7849;0,3579
"pro_rel";0,3373;-0,2799;0,3301;0,2741;-0,6175;0,2843;-0,5547;1,0565;-0,3982;1,4948;-0,9484;-0,5405
"adv_sup";-0,7404;-0,5257;-0,3961;0,2836;0,5633;-1,0201;1,4809;0,3933;-0,9886;0,3424;2,0489;-0,9774
"adv";1,2138;-0,2905;-0,4092;0,4187;-0,4685;-0,5473;0,4303;0,6118;0,3047;-0,3924;-1,3946;0,8572
"nom_sup";-0,4021;-0,4057;-0,3584;0,5874;0,3777;-1,2247;0,6844;-1,094;-0,4554;0,6988;1,876;-0,845
"conj";-0,2573;0,8284;-0,4482;-1,2455;-0,5242;-1,1667;-0,3549;-1,5641;-1,0282;1,4476;0,3003;1,7968
"num";1,171;0,4146;1,4179;-1,2321;-0,5334;-0,284;-1,0329;-0,8669;0,4671;-0,3337;1,3946;-0,8544
"adj_num";-0,5149;0,3467;-0,6203;0,338;0,6395;0,5704;0,2559;-0,5866;0,5671;-0,451;0,8274;-0,6102
"sw";-0,227;0,7052;0,5263;-0,3307;-0,1598;-0,313;-0,0713;0,6967;-0,1697;0,3127;-0,5486;0,5217
"pro_pos";-0,6867;-0,7822;0,2639;1,7839;0,2426;-0,4982;1,3509;1,4094;0,4151;-0,3438;-0,7775;-0,6937
"pro_per";-0,8138;0,3369;2,1536;0,4644;-0,2264;-0,356;1,3923;0,3016;-0,2646;-0,4847;0,4214;-0,9495
"pro_ind";0,5119;0,3836;-0,3141;1,9186;0,2624;0,3234;0,281;-0,3407;0,4043;-0,3429;-0,6962;-0,6483
"pro_dem";0,2736;-0,1387;-0,2232;1,0606;-0,2325;-0,1364;-0,1037;0,9341;-0,2468;0,3835;-0,9443;-0,2134
"ono";-0,0619;-0,026;-0,0418;-0,0902;-0,0436;0,7487;-0,0194;-0,1028;0,9955;-0,2034;-0,3136;0,2316
"pro_int";-0,0413;-0,0173;-0,0279;0,8885;-0,029;-0,0569;-0,013;-0,0685;-0,0308;0,5715;-0,2091;-0,2558
"adj_sup";-0,0206;-0,0087;-0,0139;-0,0301;-0,0145;-0,0284;1,8297;-0,0343;-0,0154;-0,0678;-0,1045;-0,1279
